stock_code,historical_name,corp_code,dart_corp_name,mapping_method,mapped
000030,,00254045,우리은행,stock_code,True
000060,,00117744,메리츠화재해상보험,stock_code,True
000070,,00126937,삼양홀딩스,stock_code,True
000080,,00150244,하이트진로,stock_code,True
000100,,00145109,유한양행,stock_code,True
000120,,00113410,CJ대한통운,stock_code,True
000150,,00117212,두산,stock_code,True
000210,,00109693,DL,stock_code,True
000240,,00160047,한국앤컴퍼니,stock_code,True
000250,,00128546,삼천당제약,stock_code,True
000270,,00106641,기아,stock_code,True
000370,,00135917,한화손해보험,stock_code,True
000400,,00113562,롯데손해보험,stock_code,True
000500,,00104768,가온전선,stock_code,True
000640,,00116824,동아쏘시오홀딩스,stock_code,True
000660,,00164779,SK하이닉스,stock_code,True
000670,,00141307,영풍,stock_code,True
000720,,00164478,현대건설,stock_code,True
000810,,00139214,삼성화재해상보험,stock_code,True
000880,,00160588,한화,stock_code,True
000990,,00160843,DB하이텍,stock_code,True
001040,,00148540,CJ,stock_code,True
001060,,00149947,JW중외제약,stock_code,True
001120,,00120076,LX인터내셔널,stock_code,True
001230,,00114792,동국홀딩스,stock_code,True
001430,,00106669,세아베스틸지주,stock_code,True
001440,,00113207,대한전선,stock_code,True
001450,,00164973,현대해상,stock_code,True
001520,,00117337,동양,stock_code,True
001530,,00118345,디아이동일,stock_code,True
001570,,00106119,금양,stock_code,True
001630,,00149354,종근당홀딩스,stock_code,True
001680,,00121941,대상,stock_code,True
001720,,00136721,신영증권,stock_code,True
001740,,00131780,SK네트웍스,stock_code,True
001800,,00117577,오리온홀딩스,stock_code,True
001820,,00129350,삼화콘덴서공업,stock_code,True
002020,,00152862,코오롱,stock_code,True
002270,,00120508,롯데푸드,stock_code,True
002320,,00163512,한진,stock_code,True
002350,,00173874,넥센타이어,stock_code,True
002380,,00105271,케이씨씨,stock_code,True
002710,,00117300,TCC스틸,stock_code,True
002790,,00154462,아모레퍼시픽홀딩스,stock_code,True
003000,,00123718,부광약품,stock_code,True
003030,,00124197,세아제강지주,stock_code,True
003090,,00111810,대웅,stock_code,True
003100,,00131896,선광,stock_code,True
003230,,00126955,삼양식품,stock_code,True
003240,,00153393,태광산업,stock_code,True
003300,,00162993,한일홀딩스,stock_code,True
003380,,00148364,하림지주,stock_code,True
003410,,00138224,쌍용씨앤이,stock_code,True
003470,,00117601,유안타증권,stock_code,True
003490,,00113526,대한항공,stock_code,True
003520,,00141149,영진약품,stock_code,True
003530,,00148610,한화투자증권,stock_code,True
003540,,00110893,대신증권,stock_code,True
003550,,00120021,LG,stock_code,True
003570,,00134477,SNT다이내믹스,stock_code,True
003620,,00138242,KG모빌리티,stock_code,True
003670,,00155276,포스코퓨처엠,stock_code,True
003690,,00113191,코리안리,stock_code,True
003850,,00123143,보령,stock_code,True
004000,,00157681,롯데정밀화학,stock_code,True
004020,,00145880,현대제철,stock_code,True
004170,,00136378,신세계,stock_code,True
004360,,00133812,세방,stock_code,True
004370,,00108241,농심,stock_code,True
004430,,00134963,송원산업,stock_code,True
004490,,00133858,세방전지,stock_code,True
004690,,00128555,삼천리,stock_code,True
004800,,00117188,효성,stock_code,True
004990,,00120562,롯데지주,stock_code,True
005070,,00129989,코스모신소재,stock_code,True
005180,,00124726,빙그레,stock_code,True
005250,,00108135,녹십자홀딩스,stock_code,True
005290,,00118804,동진쎄미켐,stock_code,True
005300,,00120571,롯데칠성음료,stock_code,True
005380,,00164742,현대자동차,stock_code,True
005420,,00160302,코스모화학,stock_code,True
005440,,00105280,현대지에프홀딩스,stock_code,True
005490,,00155319,POSCO홀딩스,stock_code,True
005500,,00128412,삼진제약,stock_code,True
005610,,00125530,삼립,stock_code,True
005690,,00145163,파미셀,stock_code,True
005830,,00159102,DB손해보험,stock_code,True
005850,,00125521,에스엘,stock_code,True
005880,,00113535,대한해운,stock_code,True
005930,,00126380,삼성전자,stock_code,True
005940,,00120182,NH투자증권,stock_code,True
005950,,00145552,이수화학,stock_code,True
006040,,00118026,동원산업,stock_code,True
006060,,00166227,화승인더스트리,stock_code,True
006110,,00126779,삼아알미늄,stock_code,True
006120,,00131832,SK디스커버리,stock_code,True
006260,,00105952,LS,stock_code,True
006280,,00129679,녹십자,stock_code,True
006360,,00120030,GS건설,stock_code,True
006400,,00126362,삼성SDI,stock_code,True
006650,,00260383,대한유화,stock_code,True
006730,,00130383,서부T&D,stock_code,True
006800,,00111722,미래에셋증권,stock_code,True
006840,,00125080,AK홀딩스,stock_code,True
007070,,00140177,GS리테일,stock_code,True
007310,,00141529,오뚜기,stock_code,True
007340,,00116949,DN오토모티브,stock_code,True
007390,,00117276,네이처셀,stock_code,True
007460,,00152385,에이프로젠,stock_code,True
007570,,00146454,일양약품,stock_code,True
007660,,00107613,이수페타시스,stock_code,True
007700,,00126487,F&F 홀딩스,stock_code,True
007810,,00152686,코리아써키트,stock_code,True
008060,,00109189,대덕,stock_code,True
008350,,00107224,남선알미늄,stock_code,True
008560,,00163682,메리츠증권,stock_code,True
008730,,00145260,율촌화학,stock_code,True
008770,,00165680,호텔신라,stock_code,True
008930,,00161426,한미사이언스,stock_code,True
