stock_code,period_key,rcept_no,rcept_dt,is_correction,source_type,zip_path,document_member,table_index,row_index,account_family,matched_account_name,statement_score,statement_score_reason,unit_hint,heading_context,columns_json,row_cells_json,numeric_candidates_json,row_text
000030,반기보고서_(2018.06),20180814002502,2018-08-14,False,document,C:\code\portfolio_optimization\data\raw\dart\pit_source_audit\000030\반기보고서_(2018.06)\20180814_original_20180814002502_document.zip,20180814002502.xml,65,42,operating_income,영업이익,-4,note_penalty=부문별,억원,(단위 : 억원) || (1) 부문별 수지상황 || 가. 영업실적,"[""0"", ""1"", ""2"", ""3"", ""4"", ""5""]","[""중단영업이익"", ""중단영업이익"", ""중단영업이익"", ""-"", ""-"", ""-""]",[],중단영업이익 | 중단영업이익 | 중단영업이익 | - | - | -
000030,반기보고서_(2018.06),20180814002502,2018-08-14,False,document,C:\code\portfolio_optimization\data\raw\dart\pit_source_audit\000030\반기보고서_(2018.06)\20180814_original_20180814002502_document.zip,20180814002502.xml,65,43,net_income,당기순이익,-4,note_penalty=부문별,억원,(단위 : 억원) || (1) 부문별 수지상황 || 가. 영업실적,"[""0"", ""1"", ""2"", ""3"", ""4"", ""5""]","[""당기순이익"", ""당기순이익"", ""당기순이익"", ""13163"", ""15301"", ""12775""]","[{""column"": ""3"", ""raw"": ""13163"", ""numeric"": 13163.0}, {""column"": ""4"", ""raw"": ""15301"", ""numeric"": 15301.0}, {""column"": ""5"", ""raw"": ""12775"", ""numeric"": 12775.0}]",당기순이익 | 당기순이익 | 당기순이익 | 13163 | 15301 | 12775
000030,반기보고서_(2018.06),20180814002502,2018-08-14,False,document,C:\code\portfolio_optimization\data\raw\dart\pit_source_audit\000030\반기보고서_(2018.06)\20180814_original_20180814002502_document.zip,20180814002502.xml,84,6,revenue,매출액,0,,나,품 || 1)기업수신상 || 2) 기업상품 || (,"[""0"", ""1"", ""2""]","[""우리동네사장님 적금"", ""신용카드 가맹점 결제계좌 이용 고객에게 우대금리 및 부대서비스를 제공하는 적립식 예금 상품 (우대금리 제공 및 가맹점 매출액 일정비율 자동 적립 서비스 등 혜택 제공)"", ""-가입대상 : 실명의 개인사업자(1인 1계좌) -정기적립식 및 자유적립식 계좌 운용""]",[],우리동네사장님 적금 | 신용카드 가맹점 결제계좌 이용 고객에게 우대금리 및 부대서비스를 제공하는 적립식 예금 상품 (우대금리 제공 및 가맹점 매출액 일정비율 자동 적립 서비스 등 혜택 제공) | -가입대상 : 실명의 개인사업자(1인 1계좌) -정기적립식 및 자유적립식 계좌 운용
000030,반기보고서_(2018.06),20180814002502,2018-08-14,False,document,C:\code\portfolio_optimization\data\raw\dart\pit_source_audit\000030\반기보고서_(2018.06)\20180814_original_20180814002502_document.zip,20180814002502.xml,85,6,revenue,매출액,3,"statement_heading=손익계산서 | separate_hint=개별,별도",,) 기업여신상품 || 2 || 2 ) 기업여신상품 || -가입대상 : 사업자 등록증이 있는 개인사업자 및 중소기업기본법 제2조의 중소기업에 해당 하는 법인(1인 1계좌),"[""0"", ""1"", ""2"", ""3""]","[""우리 상생파트너론"", ""-주계약업체: 당행 신용등급 A- 이상인 구매기업 -협력업체 : 구매기업의 1차, 2차, 3차 협력기업"", ""-주계약업체:최근 결산일 현재 손익계산서의 과거 1년간 매출액의 1/2 범위 이내 -협력업체:수취한 외상매출채권 금액 범위내"", ""-주계약업체 : 1년 -협력업체:주계약업체 약정기일까지""]",[],"우리 상생파트너론 | -주계약업체: 당행 신용등급 A- 이상인 구매기업 -협력업체 : 구매기업의 1차, 2차, 3차 협력기업 | -주계약업체:최근 결산일 현재 손익계산서의 과거 1년간 매출액의 1/2 범위 이내 -협력업체:수취한 외상매출채권 금액 범위내 | -주계약업체 : 1년 -협력업체:주계약업체 약정기일까지"
000030,반기보고서_(2018.06),20180814002502,2018-08-14,False,document,C:\code\portfolio_optimization\data\raw\dart\pit_source_audit\000030\반기보고서_(2018.06)\20180814_original_20180814002502_document.zip,20180814002502.xml,85,10,revenue,매출액,3,"statement_heading=손익계산서 | separate_hint=개별,별도",,) 기업여신상품 || 2 || 2 ) 기업여신상품 || -가입대상 : 사업자 등록증이 있는 개인사업자 및 중소기업기본법 제2조의 중소기업에 해당 하는 법인(1인 1계좌),"[""0"", ""1"", ""2"", ""3""]","[""결제성대출 조달청 네트워크론"", ""-조달청과 납품계약을 체결한 협력기업"", ""-한도거래: 연간 매출액의 1/2 이내 外 -건별거래 : 개별 계약서(발주서 포함) 근거 (계약금액 - 납품금액 - 감가액 - 선금미청산액)의 80% 이내"", ""- 한도 : 1년 이내 - 건별 : 납품기한으로부터 60일""]",[],결제성대출 조달청 네트워크론 | -조달청과 납품계약을 체결한 협력기업 | -한도거래: 연간 매출액의 1/2 이내 外 -건별거래 : 개별 계약서(발주서 포함) 근거 (계약금액 - 납품금액 - 감가액 - 선금미청산액)의 80% 이내 | - 한도 : 1년 이내 - 건별 : 납품기한으로부터 60일
000030,반기보고서_(2018.06),20180814002502,2018-08-14,False,document,C:\code\portfolio_optimization\data\raw\dart\pit_source_audit\000030\반기보고서_(2018.06)\20180814_original_20180814002502_document.zip,20180814002502.xml,85,12,revenue,매출액,3,"statement_heading=손익계산서 | separate_hint=개별,별도",,) 기업여신상품 || 2 || 2 ) 기업여신상품 || -가입대상 : 사업자 등록증이 있는 개인사업자 및 중소기업기본법 제2조의 중소기업에 해당 하는 법인(1인 1계좌),"[""0"", ""1"", ""2"", ""3""]","[""결제성대출 우리전자어음 대출"", ""-대상어음: 경상적 영업활동으로 이루어지는 재화 및 용역의 거래에 수반하여 발행된 전자상업어음 -발행인: 자산 100억원 이상 외감 기업으로 신용등급 BBB-이상 기업 -할인의뢰인 : 신용등급 BB(소호6 등급) 이상 기업"", ""- 과거 1년간 받을어음금액 범위 내 - 과거 1년간 매출액의 1/2 범위 내 - 부가가치세 확정(예정)신고서에 의한 최근 6개월 매출액 범위 내 -납품계약서 등에 의해 확인된 금액 범위 내 -보증기금 보증서상 대출예정금액 범위 내"", ""- 우리은행에서 정한 여신업무지침 준용""]",[],결제성대출 우리전자어음 대출 | -대상어음: 경상적 영업활동으로 이루어지는 재화 및 용역의 거래에 수반하여 발행된 전자상업어음 -발행인: 자산 100억원 이상 외감 기업으로 신용등급 BBB-이상 기업 -할인의뢰인 : 신용등급 BB(소호6 등급) 이상 기업 | - 과거 1년간 받을어음금액 범위 내 - 과거 1년간 매출액의 1/2 범위 내 - 부가가치세 확정(예정)신고서에 의한 최근 6개월 매출액 범위 내 -납품계약서 등에 의해 확인된 금액 범위 내 -보증기금 보증서상 대출예정금액 범위 내 | - 우리은행에서 정한 여신업무지침 준용
000030,반기보고서_(2018.06),20180814002502,2018-08-14,False,document,C:\code\portfolio_optimization\data\raw\dart\pit_source_audit\000030\반기보고서_(2018.06)\20180814_original_20180814002502_document.zip,20180814002502.xml,135,12,equity,자본총계,0,,백만원,(단위 : 백만원) || (단위 : 백만원) || 다. 자금조달 및 운영실적,"[""0"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10"", ""11""]","[""조달"", ""기타"", ""자본총계"", ""1585123"", ""17.2"", ""-"", ""1538755"", ""18.5"", ""-"", ""1370683"", ""18.8"", ""-""]","[{""column"": ""3"", ""raw"": ""1585123"", ""numeric"": 1585123.0}, {""column"": ""4"", ""raw"": ""17.2"", ""numeric"": 17.2}, {""column"": ""6"", ""raw"": ""1538755"", ""numeric"": 1538755.0}, {""column"": ""7"", ""raw"": ""18.5"", ""numeric"": 18.5}, {""column"": ""9"", ""raw"": ""1370683"", ""numeric"": 1370683.0}, {""column"": ""10"", ""raw"": ""18.8"", ""numeric"": 18.8}]",조달 | 기타 | 자본총계 | 1585123 | 17.2 | - | 1538755 | 18.5 | - | 1370683 | 18.8 | -
000030,반기보고서_(2018.06),20180814002502,2018-08-14,False,document,C:\code\portfolio_optimization\data\raw\dart\pit_source_audit\000030\반기보고서_(2018.06)\20180814_original_20180814002502_document.zip,20180814002502.xml,137,1,revenue,영업수익,0,,억원,(단위 : 억원) || (단위 : 억원) || 가.영업실적,"[""구 분"", ""2018년 6월 (제6기 반기)"", ""2017년 (제5기)"", ""2016년 (제4기)""]","[""영업수익"", ""9447"", ""17670"", ""15515""]","[{""column"": ""2018년 6월 (제6기 반기)"", ""raw"": ""9447"", ""numeric"": 9447.0}, {""column"": ""2017년 (제5기)"", ""raw"": ""17670"", ""numeric"": 17670.0}, {""column"": ""2016년 (제4기)"", ""raw"": ""15515"", ""numeric"": 15515.0}]",영업수익 | 9447 | 17670 | 15515
000030,반기보고서_(2018.06),20180814002502,2018-08-14,False,document,C:\code\portfolio_optimization\data\raw\dart\pit_source_audit\000030\반기보고서_(2018.06)\20180814_original_20180814002502_document.zip,20180814002502.xml,137,2,net_income,당기순이익,0,,억원,(단위 : 억원) || (단위 : 억원) || 가.영업실적,"[""구 분"", ""2018년 6월 (제6기 반기)"", ""2017년 (제5기)"", ""2016년 (제4기)""]","[""당기순이익"", ""676"", ""1012"", ""1094""]","[{""column"": ""2018년 6월 (제6기 반기)"", ""raw"": ""676"", ""numeric"": 676.0}, {""column"": ""2017년 (제5기)"", ""raw"": ""1012"", ""numeric"": 1012.0}, {""column"": ""2016년 (제4기)"", ""raw"": ""1094"", ""numeric"": 1094.0}]",당기순이익 | 676 | 1012 | 1094
000030,반기보고서_(2018.06),20180814002502,2018-08-14,False,document,C:\code\portfolio_optimization\data\raw\dart\pit_source_audit\000030\반기보고서_(2018.06)\20180814_original_20180814002502_document.zip,20180814002502.xml,164,0,revenue,영업수익,0,,백만원,(단위 : 백만원) || 가.영업실적 || 업 종류별 현황,"[""구 분"", ""2018년 6월 (제47기 반기)"", ""2017년 (제46기)"", ""2016년 (제45기)""]","[""영업수익"", ""108452"", ""183595"", ""177379""]","[{""column"": ""2018년 6월 (제47기 반기)"", ""raw"": ""108452"", ""numeric"": 108452.0}, {""column"": ""2017년 (제46기)"", ""raw"": ""183595"", ""numeric"": 183595.0}, {""column"": ""2016년 (제45기)"", ""raw"": ""177379"", ""numeric"": 177379.0}]",영업수익 | 108452 | 183595 | 177379
