stock_code,corp_code,corp_name,rcept_no,rcept_dt,report_nm,report_type,period_key,is_correction
000060,00117744,메리츠화재해상보험,20241230000300,2024-12-30,[기재정정]분기보고서 (2024.09),Q3,분기보고서 (2024.09),True
000060,00117744,메리츠화재해상보험,20250515001678,2025-05-15,분기보고서 (2025.03),Q1,분기보고서 (2025.03),False
000060,00117744,메리츠화재해상보험,20250530002001,2025-05-30,[기재정정]분기보고서 (2025.03),Q1,분기보고서 (2025.03),True
000060,00117744,메리츠화재해상보험,20251114001832,2025-11-14,분기보고서 (2025.09),Q3,분기보고서 (2025.09),False
000060,00117744,메리츠화재해상보험,20251128001722,2025-11-28,[기재정정]분기보고서 (2025.09),Q3,분기보고서 (2025.09),True
000060,00117744,메리츠화재해상보험,20260515001370,2026-05-15,분기보고서 (2026.03),Q1,분기보고서 (2026.03),False
000060,00117744,메리츠화재해상보험,20260529001425,2026-05-29,[기재정정]분기보고서 (2026.03),Q1,분기보고서 (2026.03),True
000060,00117744,메리츠화재해상보험,20200330004218,2020-03-30,사업보고서 (2019.12),FY,사업보고서 (2019.12),False
000060,00117744,메리츠화재해상보험,20210115000064,2021-01-15,[기재정정]사업보고서 (2019.12),FY,사업보고서 (2019.12),True
000060,00117744,메리츠화재해상보험,20220316001144,2022-03-16,사업보고서 (2021.12),FY,사업보고서 (2021.12),False
000060,00117744,메리츠화재해상보험,20221130001307,2022-11-30,[기재정정]사업보고서 (2021.12),FY,사업보고서 (2021.12),True
000060,00117744,메리츠화재해상보험,20240401003572,2024-04-01,사업보고서 (2023.12),FY,사업보고서 (2023.12),False
000060,00117744,메리츠화재해상보험,20240430000865,2024-04-30,[기재정정]사업보고서 (2023.12),FY,사업보고서 (2023.12),True
000060,00117744,메리츠화재해상보험,20260331003916,2026-03-31,사업보고서 (2025.12),FY,사업보고서 (2025.12),False
000060,00117744,메리츠화재해상보험,20260401000251,2026-04-01,[첨부정정]사업보고서 (2025.12),FY,사업보고서 (2025.12),True
000060,00117744,메리츠화재해상보험,20260401000273,2026-04-01,[첨부정정]사업보고서 (2025.12),FY,사업보고서 (2025.12),True
000070,00126937,삼양홀딩스,20220816002215,2022-08-16,반기보고서 (2022.06),H1,반기보고서 (2022.06),False
000070,00126937,삼양홀딩스,20220816002633,2022-08-16,[기재정정]반기보고서 (2022.06),H1,반기보고서 (2022.06),True
000070,00126937,삼양홀딩스,20190401004413,2019-04-01,사업보고서 (2018.12),FY,사업보고서 (2018.12),False
