stock_code,period_key,rcept_no,rcept_dt,table_index,ranking_score,base_statement_score,balance_coverage,income_coverage,families,unit_hints,false_positive_hits,score_reason,heading_context,columns_json,assets_rows,liabilities_rows,equity_rows,revenue_rows,operating_income_rows,net_income_rows,rank_within_receipt
000030,반기보고서_(2018.06),20180814002502,2018-08-14,498,2.0,0.0,0,1,net_income,백만원,,,"(2) 대손준비금 전입액 및 대손준비금 반영후 조정이익 등 당반기 및 전반기 중 대손준비금 전입필요액 및 대손준비금 반영후 조정이익 등은 다음과 같습니다. || 2,578,457 || 2,353,543 || 대손준비금 잔액 || 140,266 || (224,914) || 예정액 || 대손준비금 전입(환입)","[""(단위:백만원) | 구 분 | 구 분"", ""(단위:백만원) | 제185(당)기 반기 | 3개월"", ""(단위:백만원) | 제185(당)기 반기 | 누적"", ""(단위:백만원) | 제184(전)기 반기 | 3개월"", ""(단위:백만원) | 제184(전)기 반기 | 누적""]",,,,,,대손준비금 반영전 반기순이익 | 721796 | 1316316 | 466284 | 1109015,9
000030,반기보고서_(2018.06),20180814002502,2018-08-14,566,2.0,0.0,0,1,net_income,백만원,,,(단위:백만원) || 주식회사 우리은행 || 제183(전전)기 2016년 01월 01일부터 2016년 12월 31일까지 || 제184(전)기 2017년 01월 01일부터 2017년 12월 31일까지 || 제184(전) 반기 2017년 01월 01일부터 2017년 6월 30일까지 || 제185(당) 반기 2018년 01월 01일부터 2018년 6월 30일까지 || 자 본 변 동 표,"[""과 목"", ""자 본 금"", ""신종자본증권"", ""자본잉여금"", ""기타자본"", ""이익잉여금"", ""총 계""]",,,,,,당기순이익 | - | - | - | - | 1065602 | 1065602 || 당기순이익 | - | - | - | - | 1276112 | 1276112 || 반기순이익 | - | - | - | - | 1004426 | 1004426 || 반기순이익 | - | - | - | - | 1204815 | 1204815,9
000030,반기보고서_(2018.06),20180814002502,2018-08-14,764,2.0,0.0,0,1,net_income,백만원,,,"(2) 대손준비금 전입액 및 대손준비금 반영후 조정이익 등 당반기 및 전반기 중 대손준비금 전입필요액 및 대손준비금 반영후 조정이익 등은 다음과 같습니다. || 2,091,721 || 1,912,848 || 대손준비금 잔액 || 74,379 || (178,873) || 예정액 || 대손준비금 전입(환입)","[""(단위:백만원) | 구 분 | 구 분"", ""(단위:백만원) | 제185(당)기 반기 | 3개월"", ""(단위:백만원) | 제185(당)기 반기 | 누적"", ""(단위:백만원) | 제184(전)기 반기 | 3개월"", ""(단위:백만원) | 제184(전)기 반기 | 누적""]",,,,,,대손준비금 반영전 반기순이익 | 658828 | 1204815 | 402523 | 1004426,9
000030,반기보고서_(2018.06),20180814002502,2018-08-14,85,0.0,3.0,0,1,revenue,,여신상품,"statement_heading=손익계산서 | separate_hint=개별,별도",) 기업여신상품 || 2 || 2 ) 기업여신상품 || -가입대상 : 사업자 등록증이 있는 개인사업자 및 중소기업기본법 제2조의 중소기업에 해당 하는 법인(1인 1계좌),"[""0"", ""1"", ""2"", ""3""]",,,,"우리 상생파트너론 | -주계약업체: 당행 신용등급 A- 이상인 구매기업 -협력업체 : 구매기업의 1차, 2차, 3차 협력기업 | -주계약업체:최근 결산일 현재 손익계산서의 과거 1년간 매출액의 1/2 범위 이내 -협력업체:수취한 외상매출채권 금액 범위내 | -주계약업체 : 1년 -협력업체:주계약업체 약정기일까지 || 결제성대출 조달청 네트워크론 | -조달청과 납품계약을 체결한 협력기업 | -한도거래: 연간 매출액의 1/2 이내 外 -건별거래 : 개별 계약서(발주서 포함) 근거 (계약금액 - 납품금액 - 감가액 - 선금미청산액)의 80% 이내 | - 한도 : 1년 이내 - 건별 : 납품기한으로부터 60일 || 결제성대출 우리전자어음 대출 | -대상어음: 경상적 영업활동으로 이루어지는 재화 및 용역의 거래에 수반하여 발행된 전자상업어음 -발행인: 자산 100억원 이상 외감 기업으로 신용등급 BBB-이상 기업 -할인의뢰인 : 신용등급 BB(소호6 등급) 이상 기업 | - 과거 1년간 받을어음금액 범위 내 - 과거 1년간 매출액의 1/2 범위 내 - 부가가치세 확정(예정)신고서에 의한 최근 6개월 매출액 범위 내 -납품계약서 등에 의해 확인된 금액 범위 내 -보증기금 보증서상 대출예정금액 범위 내 | - 우리은행에서 정한 여신업무지침 준용",,,10
000030,반기보고서_(2018.06),20180814002502,2018-08-14,573,0.0,-2.0,0,1,net_income,백만원,,separate_hint=별도,(단위: 백만원) || 주식회사 우리은행 || 처분확정일 : 2017년 3월 24일 || 제 183(전전)기 2016년 1월 1일부터 2016년 12월 31일까지 || 처분확정일 : 2018년 3월 23일 || 제 184(전)기 2017년 1월 1일부터 2017년 12월 31일까지,"[""구 분"", ""제184(전)기"", ""제184(전)기.1"", ""제183(전전)기"", ""제183(전전)기.1""]",,,,,,2. 당기순이익 | 1276112 | nan | 1065602 | nan,10
000030,반기보고서_(2018.06),20180814002502,2018-08-14,760,0.0,-2.0,0,1,net_income,,,separate_hint=별도,"은행은 2001년 귀속 조세감면분까지 조세특례제한법에 따라 기업합리화적립금을 적립하였으나, 2002년부터 동 규정이 삭제되어 더이상 적립의무는 없습니다. || 기업합리화적립금 || 3) || 기타준비금은 일본, 베트남 및 방글라데시 소재지점에서 현지 법규에 따라 적립한 준비금으로 현지소재지점의 결손보전을 위해 사용할 수 있습니다. || 기타준비금 || 2)","[""0"", ""1""]",,,,,,"nan | 은행은 2002년부터 2014년까지 금융감독원의 권고에 따라 단순자기자본비율이 100분의 5.5에 달할 때까지 매 보고기간의 당기순이익에서 이월결손금을 차감한 금액의 100분의 10이상을 재무구조개선적립금으로 적립하였고, 동 적립금은 결손보전과 자본전입 이외의 사용이 제한되었습니다. 한편, 2015년부터 동 적립금의 적립 및 처분은 은행의 자율적 판단사항입니다.",10
000030,반기보고서_(2018.06),20180814002502,2018-08-14,53,-2.0,1.0,0,1,net_income,,배당,consolidated_hint=연결 | separate_hint=별도,"나. 최근 3사업연도 배당에 관한 사항 || 사업년도 개시일 이후 제1항의 기준일 이전에 신주를 발행한 경우(준비금의 자본전입, 주식배당, 전환사채의 전환청구, 신주인수권부사채의 신주인수권 행사. 주식매수선택 권 행사의 경우를 포함한다)에는 중간배당에 관해서는 당해 신주는 직전사업년도 말 에 발행된 것으로 봅니다. 4) 중간배당을 할 때에는 정관 제6조의 우선주식에 대하여도 보통주식과 동일한 배 당률을 적용합니다. 5) 당해 결산기에 이익이 예상되지 않는 경우에는 중간배당을 하여서는 아니됩니다. || 3) || 5. 중간배당에 따라 당해 결산기에 적립하여야 할 이익준비금","[""구 분 | 구 분"", ""주식의 종류 | 주식의 종류"", ""당기 | 제185기 반기"", ""전기 | 제184기"", ""전전기 | 제183기""]",,,,,,(연결)당기순이익(백만원) | (연결)당기순이익(백만원) | nan | nan | nan || (별도)당기순이익(백만원) | (별도)당기순이익(백만원) | nan | nan | nan,11
000030,반기보고서_(2018.06),20180814002502,2018-08-14,525,-2.0,-4.0,0,1,net_income,백만원,,note_penalty=주석,"당반기 및 전반기 지배기업소유주지분 기본주당순이익은 지배기업소유주지분순이익을 가중평균유통보통주식수로 나누어 산정하였습니다. || 43. 주당이익 || 주석 - 계속 || (43,199) || 106,218 || 합 계 || (248) || 1,735","[""(단위:백만원, 백만주) | 구 분 | 구 분"", ""(단위:백만원, 백만주) | 제185(당)기 반기 | 3개월"", ""(단위:백만원, 백만주) | 제185(당)기 반기 | 누적"", ""(단위:백만원, 백만주) | 제184(전)기 반기 | 3개월"", ""(단위:백만원, 백만주) | 제184(전)기 반기 | 누적""]",,,,,,지배기업 보통주에 귀속되는 반기순이익 | 716142 | 1305878 | 460888 | 1098361,11
000030,반기보고서_(2018.06),20180814002502,2018-08-14,791,-2.0,-4.0,0,1,net_income,백만원,,note_penalty=주석,"당반기 및 전반기 기본주당순이익은 보통주에 귀속되는 당기순이익을 가중평균유통보통주식수로 나누어 산정하였습니다. || 43. 주당이익 || 주석 - 계속 || (40,582) || 111,122 || 합 계 || 52,298 || 74,429","[""(단위:백만원, 백만주) | 구 분 | 구 분"", ""(단위:백만원, 백만주) | 제185(당)기 반기 | 3개월"", ""(단위:백만원, 백만주) | 제185(당)기 반기 | 누적"", ""(단위:백만원, 백만주) | 제184(전)기 반기 | 3개월"", ""(단위:백만원, 백만주) | 제184(전)기 반기 | 누적""]",,,,,,보통주에 귀속되는 반기순이익 | 658828 | 1204815 | 402523 | 1004426,11
000030,반기보고서_(2018.06),20180814002502,2018-08-14,338,-5.0,-4.0,0,2,net_income | operating_income,백만원,영업부문,"note_penalty=부문별,영업부문,주석","<제185(당)기 반기> || 주석 - 계속 당반기 및 전반기 중 영업부문별 손익의 구성내용은 다음과 같습니다. || 상기 영업부문에 해당되지 않는 부문 || 본사/기타 || 신용카드, 현금서비스 및 카드론 등 || 신용카드 || 자금관리, 유가증권 및 파생상품 투자업무 등 || 자금시장","[""(단위:백만원) | 영업부문항목명"", ""(단위:백만원) | 개인금융"", ""(단위:백만원) | 기업금융"", ""(단위:백만원) | 투자금융"", ""(단위:백만원) | 자금시장"", ""(단위:백만원) | 신용카드"", ""(단위:백만원) | 본사/기타"", ""(단위:백만원) | 보고부문합계"", ""(단위:백만원) | 조정"", ""(단위:백만원) | 합 계""]",,,,,"영업이익 | 357260 | 958285 | 140320 | 44409 | 93147 | 226138 | 1819559 | (11,844) | 1807715","반기순이익 | 251843 | 698770 | 114354 | 32197 | 67618 | 191433 | 1356215 | (39,899) | 1316316",12
000030,반기보고서_(2018.06),20180814002502,2018-08-14,606,-5.0,-4.0,0,2,net_income | operating_income,백만원,영업부문,"note_penalty=부문별,영업부문,주석","주석 - 계속 당반기 및 전반기 중 영업부문별 손익의 구성내용은 다음과 같습니다. <제185(당)기 반기> || 상기 영업부문에 해당되지 않는 부문 || 본사/기타 || 자금관리, 유가증권 및 파생상품 투자업무 등 || 자금시장 || 국내외투자, 구조화 금융, M&A, Equity 및 펀드 투자 관련 업무, Venture 자문관련업무, 부동산 SOC 개발 업무 등 || 투자금융","[""(단위:백만원) | 영업부문항목명"", ""(단위:백만원) | 개인금융"", ""(단위:백만원) | 기업금융"", ""(단위:백만원) | 투자금융"", ""(단위:백만원) | 자금시장"", ""(단위:백만원) | 본사/기타"", ""(단위:백만원) | 보고부문 합계"", ""(단위:백만원) | 조정"", ""(단위:백만원) | 합 계""]",,,,,영업이익 | 357260 | 958285 | 140320 | 44409 | 122765 | 1623039 | - | 1623039,반기순이익 | 251843 | 698770 | 114354 | 32197 | 107651 | 1204815 | - | 1204815,12
000030,반기보고서_(2018.06),20180814002502,2018-08-14,495,-7.0,-4.0,0,1,net_income,백만원,배당,note_penalty=주석,"(2) 당반기 및 전반기 중 이익잉여금의 변동내용은 다음과 같습니다. || 주석 - 계속 || 주석 - 계속 || 한국채택국제회계기준 도입 시 전환일에 발생한 부동산에 대한 재평가차익을 보완자본으로 인정받기 위하여 은행업감독업무시행세칙 별표3에 따라 이사회의 결의로 배당제한한 금액입니다. || 재평가차액준비금 || 7) || 은행업감독규정 제29조 제1항 및 제2항에 따라 한국채택국제회계기준에 따른 대손충당금이 은행업감독규정에서 정한 대손충당금에 미달하는 경우, 적립하는 준비금으로 배당이 제한됩니다.","[""(단위:백만원) | 구 분"", ""(단위:백만원) | 제185(당)기 반기(*)"", ""(단위:백만원) | 제184(전)기 반기""]",,,,,,지배기업소유주지분 반기순이익 | 1305878 | 1098361,13
