stock_code,historical_name,corp_code,dart_corp_name,mapping_method,mapped,periods,correction_periods,correction_filings,correction_period_rate
336260,,01412725,두산퓨얼셀,stock_code,True,27,1,1,0.037037037037037035
336370,,01412822,솔루스첨단소재,stock_code,True,27,6,6,0.2222222222222222
336570,,01407909,원텍,stock_code,True,27,8,9,0.2962962962962963
344820,,01428203,케이씨씨글라스,stock_code,True,27,6,8,0.2222222222222222
347700,,01336762,스피어,stock_code,True,23,3,4,0.13043478260869565
347850,,01376715,디앤디파마텍,stock_code,True,9,0,0,0.0
348210,,01080252,넥스틴,stock_code,True,24,4,5,0.16666666666666666
348370,,01011526,엔켐,stock_code,True,20,3,4,0.15
352480,,01226410,씨앤씨인터내셔널,stock_code,True,21,1,1,0.047619047619047616
352820,,01204056,하이브,stock_code,True,23,7,7,0.30434782608695654
353200,,01478712,대덕전자,stock_code,True,25,0,0,0.0
357780,,01489648,솔브레인,stock_code,True,24,1,1,0.041666666666666664
358570,,01351080,지아이이노베이션,stock_code,True,23,1,1,0.043478260869565216
361610,,01386916,SK아이이테크놀로지,stock_code,True,21,1,1,0.047619047619047616
363280,,01497869,티와이홀딩스,stock_code,True,24,3,4,0.125
365340,,01274329,성일하이텍,stock_code,True,16,3,4,0.1875
372170,,00925374,윤성에프앤씨,stock_code,True,15,1,1,0.06666666666666667
373220,,01515323,LG에너지솔루션,stock_code,True,23,1,1,0.043478260869565216
375500,,01524093,DL이앤씨,stock_code,True,22,5,7,0.22727272727272727
376300,,01456011,디어유,stock_code,True,19,1,1,0.05263157894736842
376900,,01335143,로킷헬스케어,stock_code,True,23,3,3,0.13043478260869565
377300,,01244601,카카오페이,stock_code,True,19,8,8,0.42105263157894735
381970,,01323032,케이카,stock_code,True,20,6,8,0.3
383220,,01568413,F&F,stock_code,True,21,1,1,0.047619047619047616
383310,,01566248,에코프로에이치엔,stock_code,True,21,3,5,0.14285714285714285
383800,,01562589,LX홀딩스,stock_code,True,21,0,0,0.0
388720,,01152586,유일로보틱스,stock_code,True,19,2,2,0.10526315789473684
393890,,01291317,더블유씨피,stock_code,True,16,1,2,0.0625
397030,,01375822,에이프릴바이오,stock_code,True,16,0,0,0.0
399720,,01364747,가온칩스,stock_code,True,17,1,1,0.058823529411764705
402340,,01596425,SK스퀘어,stock_code,True,19,5,7,0.2631578947368421
403870,,01288827,HPSP,stock_code,True,16,4,4,0.25
417200,,01528141,LS머트리얼즈,stock_code,True,11,2,3,0.18181818181818182
418550,,00411808,제이오,stock_code,True,15,3,3,0.2
420770,,00765569,기가비스,stock_code,True,13,3,5,0.23076923076923078
437730,,00262266,삼현,stock_code,True,11,0,0,0.0
439260,,00182696,대한조선,stock_code,True,5,0,0,0.0
443060,,01194689,HD현대마린솔루션,stock_code,True,9,3,4,0.3333333333333333
445680,,01498974,큐리옥스바이오시스템즈,stock_code,True,12,2,2,0.16666666666666666
446070,,01702017,유니드비티플러스,stock_code,True,15,1,1,0.06666666666666667
450080,,01311408,에코프로머티,stock_code,True,15,6,6,0.4
452260,,01722437,한화갤러리아,stock_code,True,14,1,1,0.07142857142857142
453340,,01721809,현대그린푸드,stock_code,True,14,0,0,0.0
454910,,01105153,두산로보틱스,stock_code,True,12,0,0,0.0
456040,,01760738,OCI,stock_code,True,13,0,0,0.0
456160,,01577952,지투지바이오,stock_code,True,9,1,2,0.1111111111111111
457190,,01762569,이수스페셜티케미컬,stock_code,True,13,1,1,0.07692307692307693
458870,,01514227,씨어스,stock_code,True,9,1,1,0.1111111111111111
460850,,01765256,동국씨엠,stock_code,True,13,1,1,0.07692307692307693
460860,,01765265,동국제강,stock_code,True,13,3,4,0.23076923076923078
462870,,01384787,시프트업,stock_code,True,8,0,0,0.0
466100,,01784914,클로봇,stock_code,True,7,1,1,0.14285714285714285
475150,,01817081,SK이터닉스,stock_code,True,10,0,0,0.0
475830,,01658831,오름테라퓨틱,stock_code,True,7,0,0,0.0
483650,,01649204,달바글로벌,stock_code,True,8,3,3,0.375
484870,,01519790,엠앤씨솔루션,stock_code,True,7,0,0,0.0
487570,,01854763,HS효성,stock_code,True,8,1,1,0.125
489790,,01867758,한화비전,stock_code,True,8,1,1,0.125
499790,,01882845,GS피앤엘,stock_code,True,7,0,0,0.0
