stock_code,corp_name,year,report_code,period,fs_div,fs_rows,rcept_no,rcept_match,rcept_dt,report_nm,is_correction,status,assets_account_id,assets_account_nm,liabilities_account_id,liabilities_account_nm,equity_account_id,equity_account_nm,revenue_account_id,revenue_account_nm,operating_income_account_id,operating_income_account_nm,net_income_account_id,net_income_account_nm
005930,삼성전자,2018,11013,Q1,CFS,205,20180515001699,True,2018-05-15,분기보고서 (2018.03),False,ok,ifrs_Assets,자산총계,ifrs_Liabilities,부채총계,ifrs_Equity,자본총계,ifrs_Revenue,수익(매출액),dart_OperatingIncomeLoss,영업이익(손실),-표준계정코드 미사용-,당기순이익
005930,삼성전자,2018,11012,H1,CFS,205,20180814001113,True,2018-08-14,반기보고서 (2018.06),False,ok,ifrs_Assets,자산총계,ifrs_Liabilities,부채총계,ifrs_Equity,자본총계,ifrs_Revenue,수익(매출액),dart_OperatingIncomeLoss,영업이익(손실),-표준계정코드 미사용-,당기순이익
005930,삼성전자,2018,11014,Q3,CFS,205,20181114001530,True,2018-11-14,분기보고서 (2018.09),False,ok,ifrs_Assets,자산총계,ifrs_Liabilities,부채총계,ifrs_Equity,자본총계,ifrs_Revenue,수익(매출액),dart_OperatingIncomeLoss,영업이익(손실),-표준계정코드 미사용-,당기순이익
005930,삼성전자,2018,11011,FY,CFS,218,20190401004781,True,2019-04-01,사업보고서 (2018.12),False,ok,ifrs_Assets,자산총계,ifrs_Liabilities,부채총계,ifrs_Equity,자본총계,ifrs_Revenue,수익(매출액),dart_OperatingIncomeLoss,영업이익(손실),-표준계정코드 미사용-,당기순이익
005930,삼성전자,2025,11013,Q1,CFS,223,20250515001922,True,2025-05-15,분기보고서 (2025.03),False,ok,ifrs-full_Assets,자산총계,ifrs-full_Liabilities,부채총계,ifrs-full_Equity,자본총계,ifrs-full_Revenue,매출액,dart_OperatingIncomeLoss,영업이익,ifrs-full_ProfitLoss,분기순이익
005930,삼성전자,2025,11012,H1,CFS,223,20250814003156,True,2025-08-14,반기보고서 (2025.06),False,ok,ifrs-full_Assets,자산총계,ifrs-full_Liabilities,부채총계,ifrs-full_Equity,자본총계,ifrs-full_Revenue,매출액,dart_OperatingIncomeLoss,영업이익,ifrs-full_ProfitLoss,반기순이익
005930,삼성전자,2025,11014,Q3,CFS,225,20251114002447,True,2025-11-14,분기보고서 (2025.09),False,ok,ifrs-full_Assets,자산총계,ifrs-full_Liabilities,부채총계,ifrs-full_Equity,자본총계,ifrs-full_Revenue,매출액,dart_OperatingIncomeLoss,영업이익,ifrs-full_ProfitLoss,분기순이익
005930,삼성전자,2025,11011,FY,CFS,229,20260310002820,True,2026-03-10,사업보고서 (2025.12),False,ok,ifrs-full_Assets,자산총계,ifrs-full_Liabilities,부채총계,ifrs-full_Equity,자본총계,ifrs-full_Revenue,매출액,dart_OperatingIncomeLoss,영업이익,ifrs-full_ProfitLoss,당기순이익
000660,SK하이닉스,2018,11013,Q1,CFS,130,20180515001966,True,2018-05-15,분기보고서 (2018.03),False,ok,ifrs_Assets,자산총계,ifrs_Liabilities,부채총계,ifrs_Equity,자본총계,ifrs_Revenue,매출액,dart_OperatingIncomeLoss,영업이익,ifrs_ProfitLoss,당기순이익
000660,SK하이닉스,2018,11012,H1,CFS,136,20180814001540,True,2018-08-14,반기보고서 (2018.06),False,ok,ifrs_Assets,자산총계,ifrs_Liabilities,부채총계,ifrs_Equity,자본총계,ifrs_Revenue,매출액,dart_OperatingIncomeLoss,영업이익,ifrs_ProfitLoss,당기순이익
000660,SK하이닉스,2018,11014,Q3,CFS,140,20181114002438,True,2018-11-14,분기보고서 (2018.09),False,ok,ifrs_Assets,자산총계,ifrs_Liabilities,부채총계,ifrs_Equity,자본총계,ifrs_Revenue,매출액,dart_OperatingIncomeLoss,영업이익,ifrs_ProfitLoss,당기순이익
000660,SK하이닉스,2018,11011,FY,CFS,152,20190404002329,True,2019-04-04,[기재정정]사업보고서 (2018.12),True,ok,ifrs_Assets,자산총계,ifrs_Liabilities,부채총계,ifrs_Equity,자본총계,ifrs_Revenue,매출액,dart_OperatingIncomeLoss,영업이익,ifrs_ProfitLoss,당기순이익
000660,SK하이닉스,2025,11013,Q1,CFS,215,20250515002103,True,2025-05-15,분기보고서 (2025.03),False,ok,ifrs-full_Assets,자산총계,ifrs-full_Liabilities,부채총계,ifrs-full_Equity,자본총계,ifrs-full_Revenue,매출액,dart_OperatingIncomeLoss,영업이익,ifrs-full_ProfitLoss,분기순이익
000660,SK하이닉스,2025,11012,H1,CFS,238,20250814003049,True,2025-08-14,반기보고서 (2025.06),False,ok,ifrs-full_Assets,자산총계,ifrs-full_Liabilities,부채총계,ifrs-full_Equity,자본총계,ifrs-full_Revenue,매출액,dart_OperatingIncomeLoss,영업이익,ifrs-full_ProfitLoss,반기순이익
000660,SK하이닉스,2025,11014,Q3,CFS,236,20251114001805,True,2025-11-14,분기보고서 (2025.09),False,ok,ifrs-full_Assets,자산총계,ifrs-full_Liabilities,부채총계,ifrs-full_Equity,자본총계,ifrs-full_Revenue,매출액,dart_OperatingIncomeLoss,영업이익,ifrs-full_ProfitLoss,분기순이익
000660,SK하이닉스,2025,11011,FY,CFS,230,20260317000635,True,2026-03-17,사업보고서 (2025.12),False,ok,ifrs-full_Assets,자산총계,ifrs-full_Liabilities,부채총계,ifrs-full_Equity,자본총계,ifrs-full_Revenue,매출액,dart_OperatingIncomeLoss,영업이익(손실),ifrs-full_ProfitLoss,당기순이익(손실)
035420,NAVER,2018,11013,Q1,CFS,184,20180515002682,True,2018-05-15,분기보고서 (2018.03),False,ok,ifrs_Assets,자산총계,ifrs_Liabilities,부채총계,ifrs_Equity,자본총계,ifrs_Revenue,영업수익,dart_OperatingIncomeLoss,영업이익(손실),ifrs_ProfitLoss,당기순이익(손실)
