stock_code,period_key,rcept_no,rcept_dt,is_correction,role,period_end_expected,selection_status,concept_local_name,concept_namespace,context_ref,unit_ref,decimals,scale,raw_value,numeric_value,selected_value,start_date,end_date,instant,duration_days,dimension_count,dimension_text,candidate_count_final
000070,반기보고서_(2022.06),20220816002633,2022-08-16,True,assets_total,2022-06-30,selected,Assets,http://xbrl.ifrs.org/taxonomy/2019-03-27/ifrs-full,CFY2022eHYA_ifrs-full_ConsolidatedAndSeparateFinancialStatementsAxis_ifrs-full_ConsolidatedMember,KRW,-6,,4513523000000,4513523000000.0,4513523000000.0,,,2022-06-30,,1,ifrs-full:ConsolidatedAndSeparateFinancialStatementsAxis=ifrs-full:ConsolidatedMember,1
000070,반기보고서_(2022.06),20220816002633,2022-08-16,True,liabilities_total,2022-06-30,selected,Liabilities,http://xbrl.ifrs.org/taxonomy/2019-03-27/ifrs-full,CFY2022eHYA_ifrs-full_ConsolidatedAndSeparateFinancialStatementsAxis_ifrs-full_ConsolidatedMember,KRW,-6,,2042285000000,2042285000000.0,2042285000000.0,,,2022-06-30,,1,ifrs-full:ConsolidatedAndSeparateFinancialStatementsAxis=ifrs-full:ConsolidatedMember,1
000070,반기보고서_(2022.06),20220816002633,2022-08-16,True,equity_total,2022-06-30,selected,Equity,http://xbrl.ifrs.org/taxonomy/2019-03-27/ifrs-full,CFY2022eHYA_ifrs-full_ConsolidatedAndSeparateFinancialStatementsAxis_ifrs-full_ConsolidatedMember,KRW,-6,,2471238000000,2471238000000.0,2471238000000.0,,,2022-06-30,,1,ifrs-full:ConsolidatedAndSeparateFinancialStatementsAxis=ifrs-full:ConsolidatedMember,1
000070,반기보고서_(2022.06),20220816002633,2022-08-16,True,equity_parent,2022-06-30,selected,EquityAttributableToOwnersOfParent,http://xbrl.ifrs.org/taxonomy/2019-03-27/ifrs-full,CFY2022eHYA_ifrs-full_ConsolidatedAndSeparateFinancialStatementsAxis_ifrs-full_ConsolidatedMember,KRW,-6,,1767096000000,1767096000000.0,1767096000000.0,,,2022-06-30,,1,ifrs-full:ConsolidatedAndSeparateFinancialStatementsAxis=ifrs-full:ConsolidatedMember,1
000070,반기보고서_(2022.06),20220816002633,2022-08-16,True,revenue_cumulative,2022-06-30,selected,Revenue,http://xbrl.ifrs.org/taxonomy/2019-03-27/ifrs-full,CFY2022dHYA_ifrs-full_ConsolidatedAndSeparateFinancialStatementsAxis_ifrs-full_ConsolidatedMember,KRW,-6,,1685137000000,1685137000000.0,1685137000000.0,2022-01-01,2022-06-30,,181.0,1,ifrs-full:ConsolidatedAndSeparateFinancialStatementsAxis=ifrs-full:ConsolidatedMember,1
000070,반기보고서_(2022.06),20220816002633,2022-08-16,True,operating_income_cumulative,2022-06-30,selected,OperatingIncomeLoss,http://dart.fss.or.kr/taxonomy/2019-10-01/ifrs/dart,CFY2022dHYA_ifrs-full_ConsolidatedAndSeparateFinancialStatementsAxis_ifrs-full_ConsolidatedMember,KRW,-6,,100427000000,100427000000.0,100427000000.0,2022-01-01,2022-06-30,,181.0,1,ifrs-full:ConsolidatedAndSeparateFinancialStatementsAxis=ifrs-full:ConsolidatedMember,1
000070,반기보고서_(2022.06),20220816002633,2022-08-16,True,net_income_total_cumulative,2022-06-30,selected,ProfitLoss,http://xbrl.ifrs.org/taxonomy/2019-03-27/ifrs-full,CFY2022dHYA_ifrs-full_ConsolidatedAndSeparateFinancialStatementsAxis_ifrs-full_ConsolidatedMember,KRW,-6,,90144000000,90144000000.0,90144000000.0,2022-01-01,2022-06-30,,181.0,1,ifrs-full:ConsolidatedAndSeparateFinancialStatementsAxis=ifrs-full:ConsolidatedMember,1
000070,반기보고서_(2022.06),20220816002633,2022-08-16,True,net_income_parent_cumulative,2022-06-30,selected,ProfitLossAttributableToOwnersOfParent,http://xbrl.ifrs.org/taxonomy/2019-03-27/ifrs-full,CFY2022dHYA_ifrs-full_ConsolidatedAndSeparateFinancialStatementsAxis_ifrs-full_ConsolidatedMember,KRW,-6,,68024000000,68024000000.0,68024000000.0,2022-01-01,2022-06-30,,181.0,1,ifrs-full:ConsolidatedAndSeparateFinancialStatementsAxis=ifrs-full:ConsolidatedMember,1
000070,반기보고서_(2022.06),20220816002215,2022-08-16,False,assets_total,2022-06-30,selected,Assets,http://xbrl.ifrs.org/taxonomy/2019-03-27/ifrs-full,CFY2022eHYA_ifrs-full_ConsolidatedAndSeparateFinancialStatementsAxis_ifrs-full_ConsolidatedMember,KRW,-6,,4513523000000,4513523000000.0,4513523000000.0,,,2022-06-30,,1,ifrs-full:ConsolidatedAndSeparateFinancialStatementsAxis=ifrs-full:ConsolidatedMember,1
000070,반기보고서_(2022.06),20220816002215,2022-08-16,False,liabilities_total,2022-06-30,selected,Liabilities,http://xbrl.ifrs.org/taxonomy/2019-03-27/ifrs-full,CFY2022eHYA_ifrs-full_ConsolidatedAndSeparateFinancialStatementsAxis_ifrs-full_ConsolidatedMember,KRW,-6,,2042285000000,2042285000000.0,2042285000000.0,,,2022-06-30,,1,ifrs-full:ConsolidatedAndSeparateFinancialStatementsAxis=ifrs-full:ConsolidatedMember,1
000070,반기보고서_(2022.06),20220816002215,2022-08-16,False,equity_total,2022-06-30,selected,Equity,http://xbrl.ifrs.org/taxonomy/2019-03-27/ifrs-full,CFY2022eHYA_ifrs-full_ConsolidatedAndSeparateFinancialStatementsAxis_ifrs-full_ConsolidatedMember,KRW,-6,,2471238000000,2471238000000.0,2471238000000.0,,,2022-06-30,,1,ifrs-full:ConsolidatedAndSeparateFinancialStatementsAxis=ifrs-full:ConsolidatedMember,1
000070,반기보고서_(2022.06),20220816002215,2022-08-16,False,equity_parent,2022-06-30,selected,EquityAttributableToOwnersOfParent,http://xbrl.ifrs.org/taxonomy/2019-03-27/ifrs-full,CFY2022eHYA_ifrs-full_ConsolidatedAndSeparateFinancialStatementsAxis_ifrs-full_ConsolidatedMember,KRW,-6,,1767096000000,1767096000000.0,1767096000000.0,,,2022-06-30,,1,ifrs-full:ConsolidatedAndSeparateFinancialStatementsAxis=ifrs-full:ConsolidatedMember,1
000070,반기보고서_(2022.06),20220816002215,2022-08-16,False,revenue_cumulative,2022-06-30,selected,Revenue,http://xbrl.ifrs.org/taxonomy/2019-03-27/ifrs-full,CFY2022dHYA_ifrs-full_ConsolidatedAndSeparateFinancialStatementsAxis_ifrs-full_ConsolidatedMember,KRW,-6,,1685137000000,1685137000000.0,1685137000000.0,2022-01-01,2022-06-30,,181.0,1,ifrs-full:ConsolidatedAndSeparateFinancialStatementsAxis=ifrs-full:ConsolidatedMember,1
000070,반기보고서_(2022.06),20220816002215,2022-08-16,False,operating_income_cumulative,2022-06-30,selected,OperatingIncomeLoss,http://dart.fss.or.kr/taxonomy/2019-10-01/ifrs/dart,CFY2022dHYA_ifrs-full_ConsolidatedAndSeparateFinancialStatementsAxis_ifrs-full_ConsolidatedMember,KRW,-6,,100427000000,100427000000.0,100427000000.0,2022-01-01,2022-06-30,,181.0,1,ifrs-full:ConsolidatedAndSeparateFinancialStatementsAxis=ifrs-full:ConsolidatedMember,1
000070,반기보고서_(2022.06),20220816002215,2022-08-16,False,net_income_total_cumulative,2022-06-30,selected,ProfitLoss,http://xbrl.ifrs.org/taxonomy/2019-03-27/ifrs-full,CFY2022dHYA_ifrs-full_ConsolidatedAndSeparateFinancialStatementsAxis_ifrs-full_ConsolidatedMember,KRW,-6,,90144000000,90144000000.0,90144000000.0,2022-01-01,2022-06-30,,181.0,1,ifrs-full:ConsolidatedAndSeparateFinancialStatementsAxis=ifrs-full:ConsolidatedMember,1
000070,반기보고서_(2022.06),20220816002215,2022-08-16,False,net_income_parent_cumulative,2022-06-30,selected,ProfitLossAttributableToOwnersOfParent,http://xbrl.ifrs.org/taxonomy/2019-03-27/ifrs-full,CFY2022dHYA_ifrs-full_ConsolidatedAndSeparateFinancialStatementsAxis_ifrs-full_ConsolidatedMember,KRW,-6,,68024000000,68024000000.0,68024000000.0,2022-01-01,2022-06-30,,181.0,1,ifrs-full:ConsolidatedAndSeparateFinancialStatementsAxis=ifrs-full:ConsolidatedMember,1
000080,반기보고서_(2016.06),20210210001188,2021-02-10,True,assets_total,2016-06-30,selected,Assets,http://xbrl.iasb.org/taxonomy/2010-04-30/ifrs,CFY2016eHYA_ifrs_ConsolidatedAndSeparateFinancialStatementsAxis_ifrs_ConsolidatedMember,KRW,0,,3410383526656,3410383526656.0,3410383526656.0,,,2016-06-30,,1,ifrs:ConsolidatedAndSeparateFinancialStatementsAxis=ifrs:ConsolidatedMember,1
000080,반기보고서_(2016.06),20210210001188,2021-02-10,True,liabilities_total,2016-06-30,selected,Liabilities,http://xbrl.iasb.org/taxonomy/2010-04-30/ifrs,CFY2016eHYA_ifrs_ConsolidatedAndSeparateFinancialStatementsAxis_ifrs_ConsolidatedMember,KRW,0,,2124720308402,2124720308402.0,2124720308402.0,,,2016-06-30,,1,ifrs:ConsolidatedAndSeparateFinancialStatementsAxis=ifrs:ConsolidatedMember,1
000080,반기보고서_(2016.06),20210210001188,2021-02-10,True,equity_total,2016-06-30,selected,Equity,http://xbrl.iasb.org/taxonomy/2010-04-30/ifrs,CFY2016eHYA_ifrs_ConsolidatedAndSeparateFinancialStatementsAxis_ifrs_ConsolidatedMember,KRW,0,,1285663218254,1285663218254.0,1285663218254.0,,,2016-06-30,,1,ifrs:ConsolidatedAndSeparateFinancialStatementsAxis=ifrs:ConsolidatedMember,1
000080,반기보고서_(2016.06),20210210001188,2021-02-10,True,equity_parent,2016-06-30,selected,EquityAttributableToOwnersOfParent,http://xbrl.iasb.org/taxonomy/2010-04-30/ifrs,CFY2016eHYA_ifrs_ConsolidatedAndSeparateFinancialStatementsAxis_ifrs_ConsolidatedMember,KRW,0,,1285072178987,1285072178987.0,1285072178987.0,,,2016-06-30,,1,ifrs:ConsolidatedAndSeparateFinancialStatementsAxis=ifrs:ConsolidatedMember,1
000080,반기보고서_(2016.06),20210210001188,2021-02-10,True,revenue_cumulative,2016-06-30,selected,Revenue,http://xbrl.iasb.org/taxonomy/2010-04-30/ifrs,CFY2016dHYA_ifrs_ConsolidatedAndSeparateFinancialStatementsAxis_ifrs_ConsolidatedMember,KRW,0,,909787648044,909787648044.0,909787648044.0,2016-01-01,2016-06-30,,182.0,1,ifrs:ConsolidatedAndSeparateFinancialStatementsAxis=ifrs:ConsolidatedMember,1
000080,반기보고서_(2016.06),20210210001188,2021-02-10,True,operating_income_cumulative,2016-06-30,selected,OperatingIncomeLoss,http://dart.fss.or.kr/taxonomy/2013-03-31/ifrs/dart,CFY2016dHYA_ifrs_ConsolidatedAndSeparateFinancialStatementsAxis_ifrs_ConsolidatedMember,KRW,0,,54798054333,54798054333.0,54798054333.0,2016-01-01,2016-06-30,,182.0,1,ifrs:ConsolidatedAndSeparateFinancialStatementsAxis=ifrs:ConsolidatedMember,1
000080,반기보고서_(2016.06),20210210001188,2021-02-10,True,net_income_total_cumulative,2016-06-30,selected,ProfitLoss,http://xbrl.iasb.org/taxonomy/2010-04-30/ifrs,CFY2016dHYA_ifrs_ConsolidatedAndSeparateFinancialStatementsAxis_ifrs_ConsolidatedMember,KRW,0,,16269787876,16269787876.0,16269787876.0,2016-01-01,2016-06-30,,182.0,1,ifrs:ConsolidatedAndSeparateFinancialStatementsAxis=ifrs:ConsolidatedMember,1
000080,반기보고서_(2016.06),20210210001188,2021-02-10,True,net_income_parent_cumulative,2016-06-30,selected,ProfitLossAttributableToOwnersOfParent,http://xbrl.iasb.org/taxonomy/2010-04-30/ifrs,CFY2016dHYA_ifrs_ConsolidatedAndSeparateFinancialStatementsAxis_ifrs_ConsolidatedMember,KRW,0,,16233610786,16233610786.0,16233610786.0,2016-01-01,2016-06-30,,182.0,1,ifrs:ConsolidatedAndSeparateFinancialStatementsAxis=ifrs:ConsolidatedMember,1
000080,반기보고서_(2016.06),20210210001252,2021-02-10,True,assets_total,2016-06-30,selected,Assets,http://xbrl.iasb.org/taxonomy/2010-04-30/ifrs,CFY2016eHYA_ifrs_ConsolidatedAndSeparateFinancialStatementsAxis_ifrs_ConsolidatedMember,KRW,0,,3410383526656,3410383526656.0,3410383526656.0,,,2016-06-30,,1,ifrs:ConsolidatedAndSeparateFinancialStatementsAxis=ifrs:ConsolidatedMember,1
000080,반기보고서_(2016.06),20210210001252,2021-02-10,True,liabilities_total,2016-06-30,selected,Liabilities,http://xbrl.iasb.org/taxonomy/2010-04-30/ifrs,CFY2016eHYA_ifrs_ConsolidatedAndSeparateFinancialStatementsAxis_ifrs_ConsolidatedMember,KRW,0,,2124720308402,2124720308402.0,2124720308402.0,,,2016-06-30,,1,ifrs:ConsolidatedAndSeparateFinancialStatementsAxis=ifrs:ConsolidatedMember,1
000080,반기보고서_(2016.06),20210210001252,2021-02-10,True,equity_total,2016-06-30,selected,Equity,http://xbrl.iasb.org/taxonomy/2010-04-30/ifrs,CFY2016eHYA_ifrs_ConsolidatedAndSeparateFinancialStatementsAxis_ifrs_ConsolidatedMember,KRW,0,,1285663218254,1285663218254.0,1285663218254.0,,,2016-06-30,,1,ifrs:ConsolidatedAndSeparateFinancialStatementsAxis=ifrs:ConsolidatedMember,1
000080,반기보고서_(2016.06),20210210001252,2021-02-10,True,equity_parent,2016-06-30,selected,EquityAttributableToOwnersOfParent,http://xbrl.iasb.org/taxonomy/2010-04-30/ifrs,CFY2016eHYA_ifrs_ConsolidatedAndSeparateFinancialStatementsAxis_ifrs_ConsolidatedMember,KRW,0,,1285072178987,1285072178987.0,1285072178987.0,,,2016-06-30,,1,ifrs:ConsolidatedAndSeparateFinancialStatementsAxis=ifrs:ConsolidatedMember,1
000080,반기보고서_(2016.06),20210210001252,2021-02-10,True,revenue_cumulative,2016-06-30,selected,Revenue,http://xbrl.iasb.org/taxonomy/2010-04-30/ifrs,CFY2016dHYA_ifrs_ConsolidatedAndSeparateFinancialStatementsAxis_ifrs_ConsolidatedMember,KRW,0,,909787648044,909787648044.0,909787648044.0,2016-01-01,2016-06-30,,182.0,1,ifrs:ConsolidatedAndSeparateFinancialStatementsAxis=ifrs:ConsolidatedMember,1
000080,반기보고서_(2016.06),20210210001252,2021-02-10,True,operating_income_cumulative,2016-06-30,selected,OperatingIncomeLoss,http://dart.fss.or.kr/taxonomy/2013-03-31/ifrs/dart,CFY2016dHYA_ifrs_ConsolidatedAndSeparateFinancialStatementsAxis_ifrs_ConsolidatedMember,KRW,0,,54798054333,54798054333.0,54798054333.0,2016-01-01,2016-06-30,,182.0,1,ifrs:ConsolidatedAndSeparateFinancialStatementsAxis=ifrs:ConsolidatedMember,1
000080,반기보고서_(2016.06),20210210001252,2021-02-10,True,net_income_total_cumulative,2016-06-30,selected,ProfitLoss,http://xbrl.iasb.org/taxonomy/2010-04-30/ifrs,CFY2016dHYA_ifrs_ConsolidatedAndSeparateFinancialStatementsAxis_ifrs_ConsolidatedMember,KRW,0,,16269787876,16269787876.0,16269787876.0,2016-01-01,2016-06-30,,182.0,1,ifrs:ConsolidatedAndSeparateFinancialStatementsAxis=ifrs:ConsolidatedMember,1
