signal_date,execution_date,ticker,name,market,liquidity_rank,return_1d,return_5d,momentum_20d,momentum_60d,volatility_20d,drawdown_20d,trading_value_ma20,trading_value_ratio_20d,log_market_cap,market_return_1d,market_return_5d,market_return_20d,market_volatility_20d,market_drawdown,volume_change_1d,trading_value_change_1d,market_trading_value_ratio_20d,base_rate,usdkrw,bond3y,usdkrw_return_1d,usdkrw_return_5d,usdkrw_return_20d,bond3y_change_1d,bond3y_change_5d,bond3y_change_20d,base_rate_change,rate_spread_3y,next_signal_date,next_execution_date,execution_open,next_execution_open,target_return,missing_reason
2018-09-28,2018-10-01,035420,NAVER,KOSPI,23,0.0042,-0.012438178282856871,-0.05308007975860618,-0.04696793131267407,0.1420823530655075,-0.05175673979878104,48255915593.35,1.4447810302786546,30.792321985985065,-0.0070447040443135,0.0138934209285968,0.0146291552678747,0.1065465660042154,-0.0697815211027728,-0.0381293446145329,-0.0481772509059421,1.1766080153466074,1.5,1109.3,2.005,-0.002876404494382,-0.0123753561253562,-0.0006306306306306,-0.0009999999999998,0.0249999999999999,0.0399999999999998,0.0,0.5049999999999999,2018-10-05,2018-10-08,0.7929232912893505,,,missing_exit_open
2018-10-05,2018-10-08,035420,NAVER,KOSPI,24,0.0129,-0.01273688777951143,-0.06653793320232149,-0.060573644300278784,0.18724986178056865,-0.06774985838641889,53193393151.35,1.1310578144322248,30.77542017518246,-0.0033053461022001,-0.0406561800944501,-0.0221710712036654,0.1235432603131877,-0.1012693597317577,-0.0244018218563868,-0.1057813094906549,1.0334254306542738,1.5,1130.4,2.084,0.000442517036906,0.0160898876404496,0.0181032153472036,0.0180000000000002,0.0780000000000002,0.1620000000000001,0.0,0.5840000000000001,2018-10-12,2018-10-15,,0.7635716236971296,,missing_entry_open
2018-11-09,2018-11-12,207940,삼성바이오로직스,KOSPI,7,-0.0429,-0.08346503643330971,-0.22429331224092008,-0.1998958829142795,0.5615876828946191,-0.212713908405752,107676950262.5,1.0211134716571904,30.823500397340354,-0.0036718538888271,-0.0055923531511523,-0.0330443367992349,0.2124053093585411,-0.1660013837883868,-0.1851527892454872,-0.1164900426756396,0.9220571046378286,1.5,1128.3,1.96,0.0098451624451803,0.0059736091298145,-0.0027399681810147,-0.006,-0.022,-0.0899999999999998,0.0,0.4599999999999999,2018-11-16,2018-11-19,0.7750495524407044,,,missing_exit_open
2019-01-04,2019-01-07,000030,우리은행,KOSPI,46,-0.016,-0.04654113367461432,-0.028545711073685753,-0.08887071627462262,0.18830968670056017,-0.06674395452400572,24792000578.35,1.6518047694691318,29.97382642240896,0.0087083586728833,-0.0133918244605267,-0.0575613374685323,0.1462451348223674,-0.2054992282718611,-0.0691830143005686,0.0244879880986184,1.039935845035788,1.75,1124.5,1.797,-0.0028376341225503,-0.0007997156566554,0.0173708495431104,0.0009999999999998,-0.01,-0.1169999999999999,0.0,0.0469999999999999,2019-01-11,2019-01-14,0.9227504128958308,,,missing_exit_open
2020-04-29,2020-05-04,215600,신라젠,KOSDAQ,29,-0.0195,0.003931620315331452,-0.0491254824756191,-0.0769457494441318,0.48338658442286225,-0.07705007903691763,71808912500.0,0.3183417176802392,27.52829687225008,0.0061771808668389,0.0231436006134864,0.0900545284300586,0.3043132098124701,-0.2100164990153812,-0.0145731476769233,0.0215579177965008,0.8050696206616064,0.75,1218.2,1.006,-0.0057133529219719,-0.0113617919168965,0.0006571381632987,-0.0269999999999999,-0.04,-0.064,0.0,0.256,2020-05-08,2020-05-11,0.11700558968123184,,,missing_exit_open
2020-12-11,2020-12-14,003090,대웅,KOSPI,18,0.163,0.6262051447048693,1.2800615002775606,0.4931338245396968,1.2567684322562334,0.0,161348338820.0,6.908389238785471,28.690144620955692,0.0077138767656856,0.0133013236439138,0.1231138366589084,0.192242998178913,0.0,-0.1032891706654277,-0.1365921217524964,1.127221832694534,0.5,1090.3,0.98,0.0023903649903465,0.0075778578689584,-0.0226783793474363,0.007,0.014,0.015,0.0,0.48,2020-12-18,2020-12-21,2.9304230952627064,,,missing_exit_open
2020-12-18,2020-12-21,003090,대웅,KOSPI,10,0.1142,0.35666126693942335,1.9002873040142996,1.2234205397074591,1.5753692956523595,0.0,250177951422.5,2.336772438082338,28.995314023875494,-0.0009893499388931,-0.0007392876061634,0.0954340959127022,0.1849828358192741,-0.0023711555896507,0.2519293828864299,0.1206166685385512,1.042236631879072,0.5,1099.7,0.963,0.0058538370072258,0.0086214803265156,-0.0131023961231265,-0.036,-0.017,0.0,0.0,0.4629999999999999,2020-12-24,2020-12-28,,2.5636049081199896,,missing_entry_open
2021-04-02,2021-04-05,035720,카카오,KOSPI,10,0.004,0.012028906235573622,0.06362707738314333,0.2747903388676747,0.31916160433894686,0.0,238343132977.9,0.628746677647706,31.425658317813188,0.0094873475809622,0.0256186193226624,0.0279629154917542,0.1403669923209884,-0.0361245480675821,-0.0338803662168394,0.0080349417884197,0.9711530794042856,0.5,1127.5,1.151,-0.0038872691933917,-0.0015939077304524,0.0012432288429091,0.0130000000000001,0.034,0.0849999999999999,0.0,0.651,2021-04-09,2021-04-12,3.505270896815047,,,missing_exit_open
2021-04-09,2021-04-12,035720,카카오,KOSPI,7,0.0182,0.11376644182966511,0.15992899028387253,0.21957136628576923,0.3357763071168849,0.0,268675289577.9,1.6312440630046334,31.53358186382396,-0.0051245000645078,0.0015481806280002,0.0198810733028609,0.1047912985953684,-0.0346322947650953,-0.2772486753207696,-0.1895006714014648,0.998240404877956,0.5,1121.2,1.168,0.0035803795202291,-0.0055875831485586,-0.0111130710883753,0.016,0.0169999999999999,-0.0550000000000001,0.0,0.6679999999999999,2021-04-16,2021-04-19,,4.166496288997396,,missing_entry_open
2021-06-25,2021-06-28,042670,두산인프라코어,KOSPI,15,0.019299999999999998,0.02594374585125858,0.2780840437513752,0.3965499137387529,0.8268770989948289,-0.07585769500322481,169162137320.0,1.2898741370667377,28.92969883719692,0.0038824377675479,0.0113838401284174,0.0354262118603962,0.0815892951815628,-0.0029995292892267,0.2637298825058611,-0.1017613147686882,1.2079306418134657,0.5,1127.7,1.441,-0.0063441712926249,-0.0040625275986928,0.0109367996414164,0.0570000000000001,0.1280000000000001,0.2790000000000001,0.0,0.941,2021-07-02,2021-07-05,1.4860016153410236,,,missing_exit_open
