BAS_DD,ISU_CD,ISU_NM,MKT_NM,SECT_TP_NM,TDD_CLSPRC,CMPPREVDD_PRC,FLUC_RT,TDD_OPNPRC,TDD_HGPRC,TDD_LWPRC,ACC_TRDVOL,ACC_TRDVAL,MKTCAP,LIST_SHRS
20180913,095570,AJ네트웍스,KOSPI,,6000,200,3.45,5700,6170,5700,204013,1224912770,280933770000,46822295
20180913,068400,AJ렌터카,KOSPI,,14150,-50,-0.35,14300,14600,14000,292357,4187093850,313370145000,22146300
20180913,006840,AK홀딩스,KOSPI,,62400,200,0.32,62200,62800,61200,36494,2267465600,826647806400,13247561
20180913,027410,BGF,KOSPI,,9850,140,1.44,9720,9860,9670,275154,2693203950,939386413150,95369179
20180913,282330,BGF리테일,KOSPI,,198500,5000,2.58,197000,199000,193000,36796,7240296000,3430855341000,17283906
20180913,138930,BNK금융지주,KOSPI,,8390,60,0.72,8380,8440,8340,777847,6531097090,2734596713940,325935246
20180913,001460,BYC,KOSPI,,274500,-6000,-2.14,280000,280000,273000,430,118703500,171456817500,624615
20180913,001465,BYC우,KOSPI,,130000,-3500,-2.62,134500,134500,128000,318,41284000,28000050000,215385
20180913,001040,CJ,KOSPI,,134000,500,0.37,134000,135500,132500,161235,21622008000,3909717732000,29176998
20180913,079160,CJ CGV,KOSPI,,52900,1000,1.93,52300,53000,52000,113698,5984165300,1119433457700,21161313
20180913,000120,CJ대한통운,KOSPI,,166000,-500,-0.30,166500,168500,165000,41177,6860041500,3786849104000,22812344
20180913,011150,CJ씨푸드,KOSPI,,2865,65,2.32,2830,3110,2830,2429998,7252149570,102941664645,35930773
20180913,011155,CJ씨푸드1우,KOSPI,,29700,1000,3.48,30950,32800,29150,42372,1305619400,5940000000,200000
20180913,001045,CJ우,KOSPI,,60600,-200,-0.33,60800,61000,60200,1509,91580200,136969513800,2260223
20180913,097950,CJ제일제당,KOSPI,,332000,5500,1.68,328500,334000,326000,51720,17095413000,4997657752000,15053186
20180913,097955,CJ제일제당 우,KOSPI,,124500,1000,0.81,124500,124500,123500,3550,440471500,165265408500,1327433
20180913,037560,CJ헬로,KOSPI,,9550,110,1.17,9700,9830,9310,602877,5764417880,739617560750,77446865
20180913,000590,CS홀딩스,KOSPI,,69700,-500,-0.71,70200,72400,68900,1608,112027900,80467395400,1154482
20180913,012030,DB,KOSPI,,800,2,0.25,810,811,790,993099,796853360,160939146400,201173933
20180913,016610,DB금융투자,KOSPI,,4170,25,0.60,4150,4175,4115,38355,158771290,177001442130,42446389
20180913,005830,DB손해보험,KOSPI,,62400,-1300,-2.04,64000,64000,62300,206180,12934373500,4417920000000,70800000
20180913,000990,DB하이텍,KOSPI,,17000,-150,-0.87,17000,17200,16850,141242,2404642600,754775996000,44398588
20180913,000995,DB하이텍1우,KOSPI,,38050,-200,-0.52,38150,38150,37550,75,2855800,4273623800,112316
20180913,139130,DGB금융지주,KOSPI,,10000,-100,-0.99,10150,10150,9980,588648,5895211560,1691458330000,169145833
20180913,004840,DRB동일,KOSPI,,7070,-10,-0.14,7110,7110,6960,15733,110287600,137723600000,19480000
20180913,155660,DSR,KOSPI,,4645,15,0.32,4660,4695,4605,29210,135599190,74320000000,16000000
20180913,069730,DSR제강,KOSPI,,5290,-10,-0.19,5290,5350,5200,66808,351530330,76176000000,14400000
20180913,017940,E1,KOSPI,,65500,200,0.31,66100,66100,64000,9867,641422800,449330000000,6860000
20180913,007700,F&F,KOSPI,,94000,-1800,-1.88,96000,96800,92700,66374,6237079900,1447600000000,15400000
20180913,114090,GKL,KOSPI,,24300,600,2.53,24250,24850,24150,671050,16405975150,1503092781000,61855670
20180913,078930,GS,KOSPI,,52200,-900,-1.69,52900,53000,52200,274499,14380680800,4850182731600,92915378
20180913,006360,GS건설,KOSPI,,52600,-400,-0.75,53000,53200,51800,560427,29450093100,4111973597800,78174403
20180913,001250,GS글로벌,KOSPI,,3410,310,10.00,3100,3560,3100,5212685,17671058680,281440135240,82533764
20180913,007070,GS리테일,KOSPI,,39800,2200,5.85,37900,39800,37150,386288,15138053600,3064600000000,77000000
20180913,078935,GS우,KOSPI,,37400,0,0.00,37400,37400,37250,1296,48431000,66752492400,1784826
20180913,012630,HDC,KOSPI,,25650,-100,-0.39,25400,25900,25200,457325,11695421600,806588874000,31445960
20180913,039570,HDC아이콘트롤스,KOSPI,,13800,0,0.00,13750,13850,13600,21887,300792950,227148000000,16460000
20180913,089470,HDC현대EP,KOSPI,,6030,-60,-0.99,6060,6090,5990,23579,141989280,192357000000,31900000
20180913,294870,HDC현대산업개발,KOSPI,,60200,-700,-1.15,61000,61000,58900,405655,24214428900,2645080844000,43938220
20180913,082740,HSD엔진,KOSPI,,4130,110,2.74,4040,4260,3970,184532,762207195,136071696460,32947142
20180913,003560,IHQ,KOSPI,,2100,20,0.96,2080,2125,2080,489857,1031048725,307095070800,146235748
20180913,175330,JB금융지주,KOSPI,,6140,-20,-0.32,6150,6160,6090,87137,534702560,954398057220,155439423
20180913,234080,JW생명과학,KOSPI,,25750,-250,-0.96,26100,26250,25400,69553,1784805950,407739765500,15834554
20180913,001060,JW중외제약,KOSPI,,45600,-350,-0.76,47000,47150,45450,240853,11105744450,898731950400,19709034
20180913,001067,JW중외제약2우B,KOSPI,,47400,-150,-0.32,47550,48350,47050,1092,51896050,4081045200,86098
20180913,001065,JW중외제약우,KOSPI,,29900,100,0.34,29850,30300,29500,5745,170915600,4906918900,164111
20180913,096760,JW홀딩스,KOSPI,,8220,-110,-1.32,8330,8380,8200,118321,979162410,519985338540,63258557
20180913,105560,KB금융,KOSPI,,52200,800,1.56,51600,52200,51300,1186254,61494585851,21825422231400,418111537
20180913,002380,KCC,KOSPI,,346000,-3000,-0.86,352500,355000,341500,42190,14638139000,3652553498000,10556513
20180913,009070,KCTC,KOSPI,,2960,85,2.96,2875,3000,2875,108687,321730565,88800000000,30000000
20180913,009440,KC그린홀딩스,KOSPI,,4540,25,0.55,4480,4560,4450,128511,576926475,101854809200,22434980
20180913,119650,KC코트렐,KOSPI,,4350,-40,-0.91,4350,4400,4250,473550,2046792000,56550000000,13000000
20180913,092220,KEC,KOSPI,,1275,-15,-1.16,1290,1295,1270,764288,976579730,143375816775,112451621
20180913,001390,KG케미칼,KOSPI,,27300,-600,-2.15,27700,28150,27250,24324,667934500,339623848200,12440434
20180913,001940,KISCO홀딩스,KOSPI,,13100,600,4.80,12350,13100,12300,29363,374080400,242040578000,18476380
20180913,025000,KPX케미칼,KOSPI,,63800,-800,-1.24,64000,64500,63200,3044,194112200,308792000000,4840000
20180913,092230,KPX홀딩스,KOSPI,,63000,100,0.16,63500,63500,62600,307,19264600,266152698000,4224646
20180913,000040,KR모터스,KOSPI,,613,7,1.16,606,665,603,1838743,1163047980,73412675871,119759667
20180913,044450,KSS해운,KOSPI,,7270,120,1.68,7150,7270,7140,32227,232165740,168561347600,23185880
20180913,030200,KT,KOSPI,,28850,-300,-1.03,29000,29200,28850,992660,29018882861,7533075660800,261111808
20180913,033780,KT&G,KOSPI,,102500,0,0.00,103000,103000,102000,184526,18932585000,14072480942500,137292497
20180913,030210,KTB투자증권,KOSPI,,3940,25,0.64,3905,3970,3905,139883,550949205,237637522480,60314092
20180913,058850,KTcs,KOSPI,,2500,20,0.81,2465,2525,2465,216878,542090220,106712500000,42685000
20180913,093050,LF,KOSPI,,26550,100,0.38,26800,26800,26350,65581,1738141400,776322000000,29240000
20180913,003550,LG,KOSPI,,71400,-200,-0.28,72000,72100,71000,237747,16995695100,12320579153400,172557131
20180913,034220,LG디스플레이,KOSPI,,20250,-100,-0.49,20350,20650,20250,1612980,32917464400,7245767925000,357815700
20180913,001120,LG상사,KOSPI,,21850,600,2.82,21250,21950,21250,137590,2991155600,846906000000,38760000
20180913,051900,LG생활건강,KOSPI,,1182000,-19000,-1.58,1201000,1202000,1172000,45429,53754727000,18460708854000,15618197
20180913,051905,LG생활건강우,KOSPI,,750000,0,0.00,750000,750000,740000,3313,2472349400,1574772750000,2099697
20180913,003555,LG우,KOSPI,,41900,750,1.82,41050,41900,41000,5132,212421100,138884966300,3314677
