BAS_DD,ISU_CD,ISU_NM,MKT_NM,SECT_TP_NM,TDD_CLSPRC,CMPPREVDD_PRC,FLUC_RT,TDD_OPNPRC,TDD_HGPRC,TDD_LWPRC,ACC_TRDVOL,ACC_TRDVAL,MKTCAP,LIST_SHRS
20221108,095570,AJ네트웍스,KOSPI,,6240,110,1.79,6140,6270,6090,85919,528067480,292171120800,46822295
20221108,006840,AK홀딩스,KOSPI,,13250,250,1.92,13000,13400,13000,10511,139005400,175530183250,13247561
20221108,027410,BGF,KOSPI,,3415,-20,-0.58,3445,3460,3410,90114,308643775,326872841265,95716791
20221108,282330,BGF리테일,KOSPI,,181500,-4500,-2.42,189000,189000,180000,53923,9794026000,3137028939000,17283906
20221108,138930,BNK금융지주,KOSPI,,6560,10,0.15,6580,6610,6500,1070545,7015667800,2138135213760,325935246
20221108,001460,BYC,KOSPI,,371000,1500,0.41,374000,374000,368000,27,9971000,231732165000,624615
20221108,001465,BYC우,KOSPI,,137500,-1500,-1.08,138000,139000,137500,68,9409500,29615437500,215385
20221108,001040,CJ,KOSPI,,75300,1200,1.62,74400,76000,74000,29361,2211114300,2197027949400,29176998
20221108,079160,CJ CGV,KOSPI,,15150,250,1.68,15100,15350,15000,194668,2949349900,722825073900,47711226
20221108,00104K,CJ4우(전환),KOSPI,,69700,800,1.16,68900,69700,68100,5964,412001100,294587886400,4226512
20221108,000120,CJ대한통운,KOSPI,,88500,600,0.68,88500,89400,86900,83995,7420057100,2018892444000,22812344
20221108,011150,CJ씨푸드,KOSPI,,2770,70,2.59,2720,2770,2705,52716,143919000,99528241210,35930773
20221108,011155,CJ씨푸드1우,KOSPI,,25100,250,1.01,25100,25150,25050,48,1204750,5020000000,200000
20221108,001045,CJ우,KOSPI,,47850,500,1.06,47500,47900,47350,516,24554850,108151670550,2260223
20221108,097950,CJ제일제당,KOSPI,,415500,-2000,-0.48,418500,419500,413000,40167,16669022500,6255014283000,15054186
20221108,097955,CJ제일제당 우,KOSPI,,171500,-1000,-0.58,172500,174000,171500,1155,199106000,227654759500,1327433
20221108,000590,CS홀딩스,KOSPI,,57400,500,0.88,56800,57800,56400,3104,176505000,66267266800,1154482
20221108,012030,DB,KOSPI,,767,2,0.26,762,773,759,254783,194884380,154300406611,201173933
20221108,016610,DB금융투자,KOSPI,,4190,90,2.20,4115,4245,4115,54112,225310740,177850369910,42446389
20221108,005830,DB손해보험,KOSPI,,54800,-2200,-3.86,56600,56700,53500,368942,20156748700,3879840000000,70800000
20221108,000990,DB하이텍,KOSPI,,44150,600,1.38,43850,44900,43750,729071,32262231650,1960197660200,44398588
20221108,000995,DB하이텍1우,KOSPI,,98400,-1400,-1.40,100000,100000,98400,403,39881600,11051894400,112316
20221108,139130,DGB금융지주,KOSPI,,6810,40,0.59,6800,6830,6770,526635,3581690160,1151883122730,169145833
20221108,001530,DI동일,KOSPI,,16000,-150,-0.93,16150,16450,15650,44051,700507100,409092320000,25568270
20221108,000210,DL,KOSPI,,63600,200,0.32,63900,63900,62400,47965,3043036400,1332794222400,20955884
20221108,001880,DL건설,KOSPI,,14500,400,2.84,14450,14800,14200,47310,686802150,319772618000,22053284
20221108,000215,DL우,KOSPI,,36250,0,0.00,36450,36500,35700,3348,121053850,61121668750,1686115
20221108,375500,DL이앤씨,KOSPI,,37650,400,1.07,37300,38000,37050,169109,6349326300,1456814905950,38693623
20221108,37550L,DL이앤씨2우(전환),KOSPI,,28250,0,0.00,27750,28550,27750,2565,72618600,59662615750,2111951
20221108,37550K,DL이앤씨우,KOSPI,,23650,250,1.07,23400,24000,23400,2679,63326550,49993380250,2113885
20221108,007340,DN오토모티브,KOSPI,,58900,1600,2.79,58100,59000,57300,18793,1093509900,588646894500,9994005
20221108,004840,DRB동일,KOSPI,,4245,65,1.56,4185,4260,4185,3975,16769055,84602850000,19930000
20221108,155660,DSR,KOSPI,,5050,65,1.30,4990,5060,4945,17960,89719965,80800000000,16000000
20221108,069730,DSR제강,KOSPI,,4705,50,1.07,4680,4735,4660,29116,137142345,67752000000,14400000
20221108,017940,E1,KOSPI,,43100,50,0.12,43150,43600,42900,13299,573724550,295666000000,6860000
20221108,365550,ESR켄달스퀘어리츠,KOSPI,,3595,-5,-0.14,3640,3640,3545,434603,1555803265,766054955000,213089000
20221108,383220,F&F,KOSPI,,150500,2500,1.69,148500,154000,148000,140834,21279625000,5765214787500,38307075
20221108,007700,F&F홀딩스,KOSPI,,14500,200,1.40,14500,14700,14300,18152,262681650,567158321500,39114367
20221108,114090,GKL,KOSPI,,15700,100,0.64,15550,15900,15550,187846,2967213150,971134019000,61855670
