BAS_DD,ISU_CD,ISU_NM,MKT_NM,SECT_TP_NM,TDD_CLSPRC,CMPPREVDD_PRC,FLUC_RT,TDD_OPNPRC,TDD_HGPRC,TDD_LWPRC,ACC_TRDVOL,ACC_TRDVAL,MKTCAP,LIST_SHRS
20220617,095570,AJ네트웍스,KOSPI,,6750,-60,-0.88,6610,6850,6530,140939,937272870,316050491250,46822295
20220617,006840,AK홀딩스,KOSPI,,17050,350,2.10,16550,17150,16100,42072,689997850,225870915050,13247561
20220617,027410,BGF,KOSPI,,4270,-95,-2.18,4300,4345,4245,228636,979533785,408710697570,95716791
20220617,282330,BGF리테일,KOSPI,,174500,0,0.00,177500,178000,170500,53682,9345751000,3016041597000,17283906
20220617,138930,BNK금융지주,KOSPI,,7290,-110,-1.49,7340,7350,7240,2025318,14766919140,2376067943340,325935246
20220617,001460,BYC,KOSPI,,400000,-6500,-1.60,400000,403500,399000,267,107155500,249846000000,624615
20220617,001465,BYC우,KOSPI,,165000,0,0.00,162000,165000,162000,93,15202500,35538525000,215385
20220617,001040,CJ,KOSPI,,79300,600,0.76,78300,80300,77600,48895,3869531600,2313735941400,29176998
20220617,079160,CJ CGV,KOSPI,,24550,-650,-2.58,24350,24800,24200,323654,7928405450,1003050004700,40857434
20220617,00104K,CJ4우(전환),KOSPI,,71800,900,1.27,70100,71800,69800,5792,412671100,303463561600,4226512
20220617,000120,CJ대한통운,KOSPI,,111000,-3000,-2.63,111500,111500,109500,93726,10389155500,2532170184000,22812344
20220617,011150,CJ씨푸드,KOSPI,,3395,20,0.59,3320,3405,3255,145683,485116935,121984974335,35930773
20220617,011155,CJ씨푸드1우,KOSPI,,33850,-150,-0.44,34000,34000,33850,118,4006500,6770000000,200000
20220617,001045,CJ우,KOSPI,,48850,-550,-1.11,49000,50700,48600,3339,163774350,110411893550,2260223
20220617,097950,CJ제일제당,KOSPI,,364000,500,0.14,361000,367000,357000,33990,12343986500,5479723704000,15054186
20220617,097955,CJ제일제당 우,KOSPI,,157500,-5500,-3.37,160000,164500,157500,3881,620520500,209070697500,1327433
20220617,000590,CS홀딩스,KOSPI,,61600,-6400,-9.41,66900,66900,61300,34541,2175120900,71116091200,1154482
20220617,012030,DB,KOSPI,,829,-13,-1.54,818,830,811,618513,506379426,166773190457,201173933
20220617,016610,DB금융투자,KOSPI,,5110,-140,-2.67,5090,5220,5050,72546,370204150,216901047790,42446389
20220617,005830,DB손해보험,KOSPI,,60400,-1700,-2.74,61100,61700,59700,219555,13257571200,4276320000000,70800000
20220617,000990,DB하이텍,KOSPI,,59000,100,0.17,57300,59100,57000,646313,37515357600,2619516692000,44398588
20220617,000995,DB하이텍1우,KOSPI,,99500,-1000,-1.00,97200,99600,97000,177,17398800,11175442000,112316
20220617,139130,DGB금융지주,KOSPI,,7870,-200,-2.48,7920,7990,7870,765846,6055474320,1331177705710,169145833
20220617,001530,DI동일,KOSPI,,19150,-150,-0.78,18650,19200,18500,135012,2537841550,489632370500,25568270
20220617,000210,DL,KOSPI,,67100,1400,2.13,64800,67800,63600,154491,10161352700,1406139816400,20955884
20220617,001880,DL건설,KOSPI,,20800,500,2.46,19600,20850,19300,41167,821447350,458708307200,22053284
20220617,000215,DL우,KOSPI,,39500,250,0.64,39300,39850,38300,1952,76611650,66601542500,1686115
20220617,375500,DL이앤씨,KOSPI,,44450,-500,-1.11,43500,44750,43300,356305,15731916150,1719931542350,38693623
20220617,37550L,DL이앤씨2우(전환),KOSPI,,35850,-150,-0.42,34450,36000,34450,4844,171349700,75713443350,2111951
20220617,37550K,DL이앤씨우,KOSPI,,30300,-150,-0.49,30000,30450,28900,4642,137771750,64050715500,2113885
20220617,004840,DRB동일,KOSPI,,4865,0,0.00,4855,4865,4750,8864,42601565,96959450000,19930000
20220617,155660,DSR,KOSPI,,5750,110,1.95,5570,5780,5410,57814,320572350,92000000000,16000000
20220617,069730,DSR제강,KOSPI,,5120,20,0.39,4895,5130,4835,90749,451742245,73728000000,14400000
20220617,017940,E1,KOSPI,,48150,650,1.37,46800,48150,46000,13315,628200500,330309000000,6860000
20220617,365550,ESR켄달스퀘어리츠,KOSPI,,5900,-150,-2.48,6140,6140,5800,906236,5345300260,1257225100000,213089000
20220617,383220,F&F,KOSPI,,138500,7000,5.32,128000,139000,128000,194673,26450485000,5305529887500,38307075
