BAS_DD,ISU_CD,ISU_NM,MKT_NM,SECT_TP_NM,TDD_CLSPRC,CMPPREVDD_PRC,FLUC_RT,TDD_OPNPRC,TDD_HGPRC,TDD_LWPRC,ACC_TRDVOL,ACC_TRDVAL,MKTCAP,LIST_SHRS
20210730,095570,AJ네트웍스,KOSPI,,5860,-30,-0.51,5890,5960,5820,88846,522502710,274378648700,46822295
20210730,006840,AK홀딩스,KOSPI,,27800,-150,-0.54,27950,28050,27550,12817,355228450,368282195800,13247561
20210730,027410,BGF,KOSPI,,6190,-60,-0.96,6290,6290,6170,158427,981323060,592486936290,95716791
20210730,282330,BGF리테일,KOSPI,,161500,-2000,-1.22,162500,164000,161000,40250,6517589500,2791350819000,17283906
20210730,138930,BNK금융지주,KOSPI,,7750,50,0.65,7840,7840,7680,1737370,13429618900,2525998156500,325935246
20210730,001460,BYC,KOSPI,,396000,1500,0.38,394500,397000,393000,463,182633000,247347540000,624615
20210730,001465,BYC우,KOSPI,,179000,0,0.00,179000,179000,178500,7,1250500,38553915000,215385
20210730,001040,CJ,KOSPI,,98000,-2500,-2.49,100000,100500,98000,109743,10885941000,2859345804000,29176998
20210730,079160,CJ CGV,KOSPI,,29450,-950,-3.13,29800,29850,29050,684045,20057663500,1082522098700,36757966
20210730,00104K,CJ4우(전환),KOSPI,,85300,-800,-0.93,86500,86500,84700,9524,811542100,360521473600,4226512
20210730,000120,CJ대한통운,KOSPI,,176000,-4000,-2.22,179000,179500,175000,38404,6781367000,4014972544000,22812344
20210730,011150,CJ씨푸드,KOSPI,,4695,-55,-1.16,4750,4790,4690,209194,987728695,168694979235,35930773
20210730,011155,CJ씨푸드1우,KOSPI,,40400,-1300,-3.12,42500,42500,39600,647,25944650,8080000000,200000
20210730,001045,CJ우,KOSPI,,62300,-1500,-2.35,63700,63800,62300,3876,243435700,140811892900,2260223
20210730,097950,CJ제일제당,KOSPI,,468000,-11000,-2.30,477500,477500,467500,38821,18278355500,7045359048000,15054186
20210730,097955,CJ제일제당 우,KOSPI,,210500,-2500,-1.17,213000,213000,209000,2473,519053000,279424646500,1327433
20210730,000590,CS홀딩스,KOSPI,,66800,-600,-0.89,67400,67500,66800,2372,159311000,77119397600,1154482
20210730,012030,DB,KOSPI,,1245,-35,-2.73,1295,1300,1220,3786525,4721523920,250461546585,201173933
20210730,016610,DB금융투자,KOSPI,,6800,-130,-1.88,6930,6940,6760,175851,1200230510,288635445200,42446389
20210730,005830,DB손해보험,KOSPI,,57100,300,0.53,56000,57700,55500,176587,10058493000,4042680000000,70800000
20210730,000990,DB하이텍,KOSPI,,61000,-300,-0.49,61600,61800,60600,499480,30532557600,2708313868000,44398588
20210730,000995,DB하이텍1우,KOSPI,,114000,-500,-0.44,116000,116000,114000,243,27883500,12804024000,112316
20210730,139130,DGB금융지주,KOSPI,,9450,160,1.72,9340,9470,9220,1716484,16093160760,1598428121850,169145833
20210730,001530,DI동일,KOSPI,,302500,6000,2.02,297000,309500,291500,67150,20198397000,759473137500,2510655
20210730,000210,DL,KOSPI,,78900,700,0.90,78900,79300,77900,185443,14576779400,1653419247600,20955884
20210730,001880,DL건설,KOSPI,,33500,-500,-1.47,34300,34300,33500,37099,1250487950,738785014000,22053284
20210730,000215,DL우,KOSPI,,45800,-450,-0.97,46650,46650,45250,10499,482664950,77224067000,1686115
20210730,375500,DL이앤씨,KOSPI,,146500,500,0.34,147000,147000,143500,177121,25667345000,2836055117000,19358738
20210730,37550K,DL이앤씨우,KOSPI,,80300,-200,-0.25,81000,81000,79800,9306,745196800,169744965500,2113885
20210730,004840,DRB동일,KOSPI,,7370,20,0.27,7310,7380,7310,15165,111460610,146884100000,19930000
20210730,155660,DSR,KOSPI,,6330,-210,-3.21,6540,6580,6300,137049,871790630,101280000000,16000000
20210730,069730,DSR제강,KOSPI,,6140,-100,-1.60,6240,6290,6050,68514,420717190,88416000000,14400000
20210730,017940,E1,KOSPI,,55900,100,0.18,55800,56000,55400,8448,471213900,383474000000,6860000
20210730,365550,ESR켄달스퀘어리츠,KOSPI,,6820,-210,-2.99,7030,7030,6820,327490,2251003490,977026380000,143259000
20210730,383220,F&F,KOSPI,,600000,-1000,-0.17,601000,611000,588000,19423,11598478000,4596849000000,7661415
20210730,007700,F&F홀딩스,KOSPI,,37300,-750,-1.97,38300,38300,37250,49071,1843416150,288649220500,7738585
20210730,114090,GKL,KOSPI,,15950,-150,-0.93,16000,16050,15850,206066,3285181450,986597936500,61855670
20210730,078930,GS,KOSPI,,42800,-1050,-2.39,43600,43600,42800,205976,8877629850,3976778178400,92915378
20210730,006360,GS건설,KOSPI,,44050,-1000,-2.22,44950,45050,43900,866785,38457896350,3769864634500,85581490
20210730,001250,GS글로벌,KOSPI,,2710,-65,-2.34,2775,2775,2700,446357,1214473410,223666500440,82533764
20210730,007070,GS리테일,KOSPI,,35300,-350,-0.98,35550,35700,35250,244010,8629075250,3696542646600,104717922
20210730,078935,GS우,KOSPI,,36500,-150,-0.41,36900,36900,36300,4148,151248500,65146149000,1784826
20210730,012630,HDC,KOSPI,,12200,-250,-2.01,12450,12450,12100,376874,4625935850,728848996200,59741721
20210730,039570,HDC아이콘트롤스,KOSPI,,14050,150,1.08,13900,14600,13800,134136,1900109850,231263000000,16460000
20210730,089470,HDC현대EP,KOSPI,,5890,0,0.00,5910,5950,5850,46684,275090630,187891000000,31900000
20210730,294870,HDC현대산업개발,KOSPI,,31050,-100,-0.32,31200,31200,30850,268197,8322599800,2046422596500,65907330
20210730,011200,HMM,KOSPI,,40000,-800,-1.96,40700,40800,39200,7263308,289659972350,16215699480000,405392487
20210730,082740,HSD엔진,KOSPI,,8500,80,0.95,8440,8630,8430,349114,2979803200,397130591000,46721246
20210730,003560,IHQ,KOSPI,,1835,-25,-1.34,1860,1870,1810,1186254,2176835010,268342597580,146235748
20210730,175330,JB금융지주,KOSPI,,7740,40,0.52,7780,7780,7640,481538,3707785950,1524647599560,196982894
20210730,234080,JW생명과학,KOSPI,,18350,-200,-1.08,18550,18650,18150,32967,607129950,290564065900,15834554
20210730,001060,JW중외제약,KOSPI,,28900,350,1.23,28500,28900,28400,62886,1805007150,622503861400,21539926
20210730,001067,JW중외제약2우B,KOSPI,,60800,-500,-0.82,61300,61300,60800,89,5448900,5656102400,93028
20210730,001065,JW중외제약우,KOSPI,,40900,0,0.00,41700,41700,40050,860,35065800,7259177400,177486
20210730,096760,JW홀딩스,KOSPI,,4435,-40,-0.89,4475,4475,4395,140118,621211645,303536642170,68441182
20210730,105560,KB금융,KOSPI,,51300,-1300,-2.47,50600,52000,50500,1698067,87190214400,21330946296000,415807920
20210730,002380,KCC,KOSPI,,355000,3000,0.85,357000,366500,351500,106798,38183823500,3154697205000,8886471
20210730,344820,KCC글라스,KOSPI,,74300,3000,4.21,71200,74900,70000,584022,42251458300,1186609041600,15970512
20210730,009070,KCTC,KOSPI,,7800,-260,-3.23,8050,8110,7780,506275,3981797500,234000000000,30000000
20210730,009440,KC그린홀딩스,KOSPI,,6390,60,0.95,6340,6460,6240,330956,2108912610,143359522200,22434980
20210730,119650,KC코트렐,KOSPI,,9520,-180,-1.86,9720,9720,9380,606929,5776046520,167552000000,17600000
20210730,092220,KEC,KOSPI,,2330,5,0.22,2340,2395,2310,1088373,2559733290,271927170200,116706940
20210730,016380,KG동부제철,KOSPI,,16750,550,3.40,16350,17050,16200,493545,8264553000,1675149024750,100008897
20210730,016385,KG동부제철우,KOSPI,,128500,2500,1.98,124000,129000,124000,235,30078000,6859972500,53385
20210730,001390,KG케미칼,KOSPI,,38450,2950,8.31,35700,38950,35450,944046,35584829900,533151391200,13866096
20210730,033180,KH 필룩스,KOSPI,,3270,-10,-0.30,3280,3315,3260,698334,2292629135,435870846990,133293837
20210730,001940,KISCO홀딩스,KOSPI,,21000,-150,-0.71,21150,21250,20600,31197,650562650,388003980000,18476380
20210730,025000,KPX케미칼,KOSPI,,64000,-1100,-1.69,65100,65100,63500,4768,305043200,309760000000,4840000
20210730,092230,KPX홀딩스,KOSPI,,68100,-1000,-1.45,69700,69700,68000,2524,172497100,287698392600,4224646
20210730,000040,KR모터스,KOSPI,,1235,-20,-1.59,1275,1275,1230,654306,814985605,118729649480,96137368
20210730,044450,KSS해운,KOSPI,,11800,-200,-1.67,12000,12000,11750,133366,1575909800,273593384000,23185880
20210730,030200,KT,KOSPI,,33800,0,0.00,33700,34100,33450,1210017,40810970800,8825579110400,261111808
20210730,033780,KT&G,KOSPI,,82300,-400,-0.48,82500,82600,82300,346804,28560815700,11299172503100,137292497
20210730,030210,KTB투자증권,KOSPI,,7550,-330,-4.19,7890,7940,7510,754556,5806127190,455371394600,60314092
20210730,058850,KTcs,KOSPI,,3105,-80,-2.51,3185,3195,3090,534629,1667630190,132536925000,42685000
20210730,058860,KTis,KOSPI,,2860,-65,-2.22,2925,2925,2845,181837,522746180,99533720000,34802000
20210730,093050,LF,KOSPI,,18450,-50,-0.27,18500,18500,18100,75033,1375218900,539478000000,29240000
20210730,003550,LG,KOSPI,,94200,-2200,-2.28,95800,96000,94200,417326,39552816400,14817753540600,157300993
20210730,034220,LG디스플레이,KOSPI,,22050,-450,-2.00,22500,22500,22000,3399034,75258958150,7889836185000,357815700
20210730,051900,LG생활건강,KOSPI,,1459000,-31000,-2.08,1481000,1481000,1458000,68301,99980053025,22786949423000,15618197
20210730,051905,LG생활건강우,KOSPI,,672000,-8000,-1.18,683000,683000,672000,9136,6169282000,1410996384000,2099697
20210730,003555,LG우,KOSPI,,73000,-100,-0.14,73500,73500,72600,13073,952396200,220578260000,3021620
20210730,032640,LG유플러스,KOSPI,,14550,-450,-3.00,14950,15000,14550,1515333,22286305400,6352695302550,436611361
20210730,011070,LG이노텍,KOSPI,,227000,-2500,-1.09,230000,230500,223500,204387,46382598000,5372433289000,23667107
20210730,066570,LG전자,KOSPI,,157500,-9000,-5.41,165000,165500,157500,2178044,348280424000,25774530705000,163647814
20210730,066575,LG전자우,KOSPI,,76200,-1600,-2.06,77500,77700,75700,121666,9290699200,1309572590400,17185992
20210730,037560,LG헬로비전,KOSPI,,7270,-130,-1.76,7440,7500,7270,593766,4353847600,563038708550,77446865
20210730,051910,LG화학,KOSPI,,842000,7000,0.84,845000,857000,836000,318555,269205465000,59438752806000,70592343
20210730,051915,LG화학우,KOSPI,,382500,3500,0.92,384500,387500,380500,28297,10874286500,2940966000000,7688800
20210730,079550,LIG넥스원,KOSPI,,42800,-450,-1.04,43000,43100,42200,144417,6147739900,941600000000,22000000
20210730,006260,LS,KOSPI,,72700,-800,-1.09,73500,73700,72100,135721,9887956800,2340940000000,32200000
20210730,010120,LS ELECTRIC,KOSPI,,64900,300,0.46,64300,65900,63500,314882,20443939400,1947000000000,30000000
20210730,000680,LS네트웍스,KOSPI,,4120,-55,-1.32,4175,4210,4095,172626,712828160,324668425920,78803016
20210730,229640,LS전선아시아,KOSPI,,9050,-120,-1.31,9150,9160,9020,156173,1414888950,277155154950,30624879
20210730,001120,LX인터내셔널,KOSPI,,30900,150,0.49,30900,31400,30350,356190,10971645000,1197684000000,38760000
20210730,108670,LX하우시스,KOSPI,,99900,-2600,-2.54,101000,102000,99000,86946,8690062700,895870233000,8967670
20210730,108675,LX하우시스우,KOSPI,,43600,-500,-1.13,44100,44100,41850,3143,136621850,45009588000,1032330
20210730,383800,LX홀딩스,KOSPI,,10450,-100,-0.95,10550,10550,10400,514075,5374280750,797133210500,76280690
20210730,38380K,LX홀딩스1우,KOSPI,,17400,-200,-1.14,17600,17600,17350,8784,152829750,25495959000,1465285
20210730,023150,MH에탄올,KOSPI,,11150,-150,-1.33,11300,11400,11050,65031,728829550,82270564900,7378526
20210730,035420,NAVER,KOSPI,,433500,-6000,-1.37,438000,440500,433000,628812,273860761500,71208181732500,164263395
20210730,181710,NHN,KOSPI,,77200,-700,-0.90,78500,78500,76300,72183,5556151500,1510419930000,19565025
20210730,005940,NH투자증권,KOSPI,,12700,-100,-0.78,12750,12750,12600,714388,9069070200,3573892864900,281408887
20210730,005945,NH투자증권우,KOSPI,,11400,-50,-0.44,11450,11450,11350,88723,1010629300,215129035200,18870968
20210730,338100,NH프라임리츠,KOSPI,,4920,-20,-0.40,4940,4940,4910,49052,241521170,91807200000,18660000
20210730,034310,NICE,KOSPI,,18650,-50,-0.27,18700,18750,18450,96858,1797416200,706504895000,37882300
20210730,008260,NI스틸,KOSPI,,5130,-10,-0.19,5100,5210,5100,110358,567568210,146718600210,28600117
20210730,004250,NPC,KOSPI,,5800,-110,-1.86,5810,5910,5740,1934233,11444757830,212976000000,36720000
20210730,004255,NPC우,KOSPI,,3380,-45,-1.31,3405,3405,3350,96287,327524905,17846400000,5280000
20210730,010060,OCI,KOSPI,,114000,-4000,-3.39,118500,118500,113500,506325,58422402500,2718828294000,23849371
20210730,005490,POSCO,KOSPI,,366500,7500,2.09,362000,368000,360500,700416,256199136260,31953975027500,87186835
20210730,010950,S-Oil,KOSPI,,98300,-2700,-2.67,100500,101000,98100,302481,29888486100,11066888453600,112582792
20210730,010955,S-Oil우,KOSPI,,56300,-1300,-2.26,58000,58000,55500,18665,1051582700,226434490100,4021927
20210730,034120,SBS,KOSPI,,48400,-2100,-4.16,50200,50200,48400,108450,5315865400,883424968800,18252582
20210730,101060,SBS미디어홀딩스,KOSPI,,2235,-70,-3.04,2295,2295,2225,543012,1222674710,312667984650,139896190
20210730,005090,SGC에너지,KOSPI,,51200,-1300,-2.48,52500,52500,50900,91797,4732148800,751462604800,14677004
20210730,001380,SG글로벌,KOSPI,,3100,-30,-0.96,3125,3150,3070,164748,511126820,139388843300,44964143
20210730,004060,SG세계물산,KOSPI,,825,3,0.36,829,829,812,954506,781870635,167000592000,202424960
20210730,001770,SHD,KOSPI,,26500,450,1.73,26050,26550,25850,11611,303712650,32194267000,1214878
20210730,002360,SH에너지화학,KOSPI,,1115,-10,-0.89,1120,1130,1110,522892,584341095,123914108950,111133730
20210730,009160,SIMPAC,KOSPI,,7010,40,0.57,6940,7200,6920,497114,3511873230,458660907160,65429516
20210730,123700,SJM,KOSPI,,5350,20,0.38,5370,5450,5220,172563,922056080,83486204300,15604898
20210730,025530,SJM홀딩스,KOSPI,,4630,65,1.42,4565,4700,4505,55291,251819210,69144457040,14934008
20210730,034730,SK,KOSPI,,268000,-5000,-1.83,271500,272000,268000,176072,47462879500,18856559596000,70360297
20210730,011790,SKC,KOSPI,,161500,0,0.00,160500,163000,159500,219441,35471718500,6115730127000,37868298
20210730,018670,SK가스,KOSPI,,116500,-1000,-0.85,117500,118500,115500,9053,1058294500,1075323426000,9230244
20210730,001740,SK네트웍스,KOSPI,,6200,20,0.32,6180,6200,6130,785580,4852973260,1538763411400,248187647
20210730,001745,SK네트웍스우,KOSPI,,114500,-1500,-1.29,116000,116000,112500,407,46171000,13012696000,113648
20210730,006120,SK디스커버리,KOSPI,,48800,-850,-1.71,49400,49500,48650,68365,3343190250,929047324000,19037855
20210730,006125,SK디스커버리우,KOSPI,,39000,-350,-0.89,39750,39750,38900,5572,217699700,52979745000,1358455
20210730,210980,SK디앤디,KOSPI,,36900,200,0.54,36650,36950,36550,52340,1924534550,745017051600,20190164
20210730,068400,SK렌터카,KOSPI,,14900,-50,-0.33,15100,15200,14800,76266,1137462000,704559016000,47285840
20210730,302440,SK바이오사이언스,KOSPI,,170500,-500,-0.29,171000,176000,167500,1001088,171780239500,13043250000000,76500000
20210730,326030,SK바이오팜,KOSPI,,119000,-1500,-1.24,120500,121000,118000,265906,31649928000,9319276750000,78313250
20210730,361610,SK아이이테크놀로지,KOSPI,,225500,500,0.22,225500,228500,220500,366042,82193321000,16077606996000,71297592
20210730,03473K,SK우,KOSPI,,243000,-2500,-1.02,245000,246500,243000,1873,457855500,137570805000,566135
20210730,096770,SK이노베이션,KOSPI,,253000,-5000,-1.94,258500,259000,253000,430150,109514040000,23393787692000,92465564
20210730,096775,SK이노베이션우,KOSPI,,167500,-2500,-1.47,169000,170000,167000,5539,928390000,209111355000,1248426
20210730,001510,SK증권,KOSPI,,973,0,0.00,976,976,961,3427017,3315234833,459830236383,472590171
20210730,001515,SK증권우,KOSPI,,4545,-55,-1.20,4575,4575,4545,14796,67441940,17782376130,3912514
20210730,285130,SK케미칼,KOSPI,,237000,-5000,-2.07,240500,242500,237000,83124,19771676500,2785080852000,11751396
20210730,28513K,SK케미칼우,KOSPI,,102500,-2500,-2.38,104500,105000,102500,8262,856055000,149513675000,1458670
20210730,017670,SK텔레콤,KOSPI,,301000,-11500,-3.68,312000,312000,301000,336238,102369906000,21690103043000,72060143
20210730,000660,SK하이닉스,KOSPI,,112500,-1500,-1.32,114000,114000,112500,2888566,326825146865,81900266062500,728002365
20210730,064960,SNT모티브,KOSPI,,61400,-3200,-4.95,64600,64900,60900,201228,12504608700,897860550400,14623136
20210730,100840,SNT에너지,KOSPI,,21550,-250,-1.15,21650,21900,21400,45728,986771450,161769622050,7506711
20210730,003570,SNT중공업,KOSPI,,10750,150,1.42,10650,10850,10600,51054,547305400,357466492750,33252697
20210730,036530,SNT홀딩스,KOSPI,,20700,350,1.72,20350,20700,20100,20174,411584300,337490440200,16303886
20210730,005610,SPC삼립,KOSPI,,82900,-600,-0.72,84400,85000,82500,15440,1292572300,715344846100,8629009
