BAS_DD,ISU_CD,ISU_NM,MKT_NM,SECT_TP_NM,TDD_CLSPRC,CMPPREVDD_PRC,FLUC_RT,TDD_OPNPRC,TDD_HGPRC,TDD_LWPRC,ACC_TRDVOL,ACC_TRDVAL,MKTCAP,LIST_SHRS
20200120,095570,AJ네트웍스,KOSPI,,4740,-135,-2.77,4805,4830,4670,126487,602381830,221937678300,46822295
20200120,006840,AK홀딩스,KOSPI,,34300,-100,-0.29,34750,35000,34200,16748,579393100,454391342300,13247561
20200120,027410,BGF,KOSPI,,5420,-20,-0.37,5450,5500,5420,111152,605311750,518785007220,95716791
20200120,282330,BGF리테일,KOSPI,,171000,0,0.00,171000,173000,170000,25568,4387920500,2955547926000,17283906
20200120,138930,BNK금융지주,KOSPI,,7220,-30,-0.41,7190,7300,7190,484725,3513972880,2353252476120,325935246
20200120,001460,BYC,KOSPI,,231500,-500,-0.22,232000,232500,230000,572,132053000,144598372500,624615
20200120,001465,BYC우,KOSPI,,122000,0,0.00,121000,122000,120000,358,43236500,26276970000,215385
20200120,001040,CJ,KOSPI,,91800,-600,-0.65,92400,93400,91700,39980,3697130000,2678448416400,29176998
20200120,079160,CJ CGV,KOSPI,,32850,-150,-0.45,32900,33300,32700,93948,3100161950,695149132050,21161313
20200120,00104K,CJ4우(전환),KOSPI,,68600,-200,-0.29,68600,69000,68400,3189,219150300,289938723200,4226512
20200120,000120,CJ대한통운,KOSPI,,145500,1500,1.04,143500,146500,143500,34966,5096332500,3319196052000,22812344
20200120,011150,CJ씨푸드,KOSPI,,2685,-25,-0.92,2725,2725,2675,218650,587139800,96474125505,35930773
20200120,011155,CJ씨푸드1우,KOSPI,,29950,-700,-2.28,30650,30700,29850,3323,99956000,5990000000,200000
20200120,001045,CJ우,KOSPI,,45200,-100,-0.22,45250,45650,45100,2618,118945100,102162079600,2260223
20200120,097950,CJ제일제당,KOSPI,,249500,-1000,-0.40,249000,252000,248000,29639,7421847000,3756019407000,15054186
20200120,097955,CJ제일제당 우,KOSPI,,107000,-3000,-2.73,110000,110500,106500,8953,966715000,142035331000,1327433
20200120,000590,CS홀딩스,KOSPI,,57200,-200,-0.35,57400,57400,56800,375,21364300,66036370400,1154482
20200120,012030,DB,KOSPI,,818,-1,-0.12,823,823,810,686885,558812978,164560277194,201173933
20200120,016610,DB금융투자,KOSPI,,4175,95,2.33,4080,4190,4075,67863,280755730,177213674075,42446389
20200120,005830,DB손해보험,KOSPI,,47350,-150,-0.32,47500,47850,46950,126446,5986861700,3352380000000,70800000
20200120,000990,DB하이텍,KOSPI,,29000,550,1.93,28700,29400,28300,538497,15572951300,1287559052000,44398588
20200120,000995,DB하이텍1우,KOSPI,,51700,100,0.19,51700,53200,51500,3061,159730900,5806737200,112316
20200120,139130,DGB금융지주,KOSPI,,6970,50,0.72,6930,7000,6900,548723,3819299280,1178946456010,169145833
20200120,001530,DI동일,KOSPI,,79100,300,0.38,80900,80900,78700,6212,492066500,191534322000,2421420
20200120,004840,DRB동일,KOSPI,,5490,-30,-0.54,5560,5560,5450,20828,114160030,109415700000,19930000
20200120,155660,DSR,KOSPI,,4680,-75,-1.58,4755,4760,4620,96904,453320100,74880000000,16000000
20200120,069730,DSR제강,KOSPI,,4655,-160,-3.32,4815,4815,4630,85006,398584375,67032000000,14400000
20200120,017940,E1,KOSPI,,46400,-350,-0.75,46750,46750,46300,5427,251650700,318304000000,6860000
20200120,007700,F&F,KOSPI,,113500,-7000,-5.81,120000,122000,113500,102133,11854334500,1747900000000,15400000
20200120,114090,GKL,KOSPI,,21850,-400,-1.80,22200,22900,21800,311346,6926012750,1351546389500,61855670
20200120,078930,GS,KOSPI,,48700,-150,-0.31,48550,48900,48300,129551,6293266650,4524978908600,92915378
20200120,006360,GS건설,KOSPI,,30650,550,1.83,30100,30950,30000,423298,12963893650,2454997692600,80097804
20200120,001250,GS글로벌,KOSPI,,2210,-5,-0.23,2220,2225,2205,125718,278234240,182399618440,82533764
20200120,007070,GS리테일,KOSPI,,39300,-50,-0.13,39400,39700,39100,71204,2806792350,3026100000000,77000000
20200120,078935,GS우,KOSPI,,36150,400,1.12,35750,38000,35700,2664,97614350,64521459900,1784826
20200120,012630,HDC,KOSPI,,11150,-100,-0.89,11300,11350,11100,210552,2358951600,666120189150,59741721
20200120,039570,HDC아이콘트롤스,KOSPI,,10750,-350,-3.15,11100,11100,10700,95668,1038108350,176945000000,16460000
20200120,089470,HDC현대EP,KOSPI,,4700,-70,-1.47,4750,4765,4685,33970,159977280,149930000000,31900000
20200120,294870,HDC현대산업개발,KOSPI,,23050,-350,-1.50,23350,23400,22900,550948,12710396700,1012775971000,43938220
20200120,082740,HSD엔진,KOSPI,,4550,-85,-1.83,4700,4700,4500,196211,895368790,149909496100,32947142
20200120,003560,IHQ,KOSPI,,1825,-30,-1.62,1860,1860,1805,1120509,2049316870,266880240100,146235748
20200120,175330,JB금융지주,KOSPI,,5300,30,0.57,5290,5320,5230,232664,1228828260,1044009338200,196982894
20200120,234080,JW생명과학,KOSPI,,19500,150,0.78,19550,19650,19300,43552,849931250,308773803000,15834554
20200120,001060,JW중외제약,KOSPI,,28000,-50,-0.18,28050,28350,27950,39853,1119933300,585761512000,20920054
20200120,001067,JW중외제약2우B,KOSPI,,41100,300,0.74,40500,41100,40250,950,38730250,3714371400,90374
20200120,001065,JW중외제약우,KOSPI,,26500,0,0.00,26450,26500,26150,705,18511650,4567566500,172361
20200120,096760,JW홀딩스,KOSPI,,5750,-70,-1.20,5820,5840,5700,146078,840681060,382099891250,66452155
20200120,105560,KB금융,KOSPI,,48300,400,0.84,47750,48700,47300,1039883,50125116600,20083522536000,415807920
20200120,002380,KCC,KOSPI,,233500,0,0.00,0,0,0,0,0,2464945785500,10556513
20200120,009070,KCTC,KOSPI,,2695,-30,-1.10,2770,2770,2695,22536,61256100,80850000000,30000000
20200120,009440,KC그린홀딩스,KOSPI,,5220,10,0.19,5240,5260,5140,40729,212488950,117110595600,22434980
20200120,119650,KC코트렐,KOSPI,,7010,60,0.86,7010,7050,6970,118346,829330920,91130000000,13000000
20200120,092220,KEC,KOSPI,,1060,-10,-0.93,1070,1075,1050,608272,645532225,123709356400,116706940
20200120,001390,KG케미칼,KOSPI,,12700,-100,-0.78,12900,13050,12650,311429,3988496350,165268046400,13013232
20200120,001940,KISCO홀딩스,KOSPI,,12550,-50,-0.40,12600,12600,12500,1530,19204250,231878569000,18476380
20200120,025000,KPX케미칼,KOSPI,,55400,100,0.18,55500,55500,54700,3586,197792200,268136000000,4840000
20200120,092230,KPX홀딩스,KOSPI,,53500,-200,-0.37,53600,53700,53300,1603,85641100,226018561000,4224646
20200120,000040,KR모터스,KOSPI,,264,-6,-2.22,270,270,259,1278925,336654131,50013235800,189444075
20200120,044450,KSS해운,KOSPI,,7430,-30,-0.40,7460,7490,7370,23877,177099120,172271088400,23185880
20200120,030200,KT,KOSPI,,26100,0,0.00,26150,26200,26050,571622,14930958450,6815018188800,261111808
20200120,033780,KT&G,KOSPI,,93000,-1000,-1.06,93600,94000,92900,276530,25820269400,12768202221000,137292497
20200120,030210,KTB투자증권,KOSPI,,2375,5,0.21,2380,2415,2355,417856,998022340,143245968500,60314092
20200120,058850,KTcs,KOSPI,,2205,5,0.23,2205,2220,2185,116812,257151220,94120425000,42685000
20200120,058860,KTis,KOSPI,,2260,-5,-0.22,2270,2270,2250,58420,132092420,78652520000,34802000
20200120,093050,LF,KOSPI,,16600,0,0.00,16600,16750,16550,100744,1677831100,485384000000,29240000
20200120,003550,LG,KOSPI,,73700,900,1.24,72700,73900,72600,307422,22584302500,12717460554700,172557131
20200120,034220,LG디스플레이,KOSPI,,15250,-600,-3.79,15900,15950,15250,2865369,44397430850,5456689425000,357815700
20200120,001120,LG상사,KOSPI,,14100,50,0.36,14050,14250,14000,83413,1179710850,546516000000,38760000
20200120,051900,LG생활건강,KOSPI,,1387000,-19000,-1.35,1407000,1423000,1377000,45475,63487787000,21662439239000,15618197
20200120,051905,LG생활건강우,KOSPI,,847000,-8000,-0.94,852000,852000,839000,1893,1603569000,1778443359000,2099697
20200120,003555,LG우,KOSPI,,50000,250,0.50,49750,50300,49750,4037,202080650,165733850000,3314677
20200120,032640,LG유플러스,KOSPI,,13650,150,1.11,13550,13850,13400,4533924,62066726725,5959745077650,436611361
20200120,011070,LG이노텍,KOSPI,,147500,-1000,-0.67,149500,151500,147500,124661,18621206000,3490898282500,23667107
20200120,066570,LG전자,KOSPI,,71200,2000,2.89,69600,71700,69400,894609,63468963900,11651724356800,163647814
20200120,066575,LG전자우,KOSPI,,28350,700,2.53,27700,28650,27650,53545,1518206800,487222873200,17185992
20200120,108670,LG하우시스,KOSPI,,50800,-100,-0.20,51000,51300,50500,40570,2063524500,455557636000,8967670
20200120,108675,LG하우시스우,KOSPI,,25650,0,0.00,25400,25950,25400,2323,59593950,26479264500,1032330
20200120,037560,LG헬로비전,KOSPI,,5770,-30,-0.52,5820,5850,5760,144918,839949530,446868411050,77446865
20200120,051910,LG화학,KOSPI,,354000,21000,6.31,340500,355000,340000,556519,194438647500,24989689422000,70592343
20200120,051915,LG화학우,KOSPI,,187500,8500,4.75,181500,189000,181500,49594,9247591000,1441650000000,7688800
20200120,079550,LIG넥스원,KOSPI,,29250,-350,-1.18,29600,29750,29050,159668,4681425950,643500000000,22000000
20200120,006260,LS,KOSPI,,44800,400,0.90,44350,45100,44300,62266,2783933550,1442560000000,32200000
