BAS_DD,ISU_CD,ISU_NM,MKT_NM,SECT_TP_NM,TDD_CLSPRC,CMPPREVDD_PRC,FLUC_RT,TDD_OPNPRC,TDD_HGPRC,TDD_LWPRC,ACC_TRDVOL,ACC_TRDVAL,MKTCAP,LIST_SHRS
20200625,095570,AJ네트웍스,KOSPI,,3045,-55,-1.77,3005,3085,3000,54235,164250710,142573888275,46822295
20200625,006840,AK홀딩스,KOSPI,,17250,-450,-2.54,17500,17500,16850,36627,625255400,228520427250,13247561
20200625,027410,BGF,KOSPI,,4135,-100,-2.36,4240,4250,4125,185396,773425415,395788930785,95716791
20200625,282330,BGF리테일,KOSPI,,135000,-2000,-1.46,135500,137000,134000,39425,5338419000,2333327310000,17283906
20200625,138930,BNK금융지주,KOSPI,,4945,-155,-3.04,5000,5020,4945,1237034,6155712355,1611749791470,325935246
20200625,001460,BYC,KOSPI,,210500,-4500,-2.09,210000,213500,208500,638,133922500,131481457500,624615
20200625,001465,BYC우,KOSPI,,122000,-5000,-3.94,126500,127000,122000,475,58401500,26276970000,215385
20200625,001040,CJ,KOSPI,,85400,-2900,-3.28,87300,87300,85200,66789,5732495700,2491715629200,29176998
20200625,079160,CJ CGV,KOSPI,,21100,-600,-2.76,21250,21700,21000,113764,2411777800,446503704300,21161313
20200625,00104K,CJ4우(전환),KOSPI,,59000,-2300,-3.75,60600,60600,58700,18724,1109199300,249364208000,4226512
20200625,000120,CJ대한통운,KOSPI,,159000,-500,-0.31,157500,161500,156500,38219,6068271500,3627162696000,22812344
20200625,011150,CJ씨푸드,KOSPI,,4020,260,6.91,3710,4080,3680,8879829,35360396045,144441707460,35930773
20200625,011155,CJ씨푸드1우,KOSPI,,50400,5500,12.25,44000,50900,42450,142225,6804733300,10080000000,200000
20200625,001045,CJ우,KOSPI,,43800,-1550,-3.42,44800,44950,43650,14159,624103850,98997767400,2260223
20200625,097950,CJ제일제당,KOSPI,,339500,-6500,-1.88,342500,345500,338000,52744,18028923000,5110896147000,15054186
20200625,097955,CJ제일제당 우,KOSPI,,143000,-4500,-3.05,144500,146500,142000,9144,1314569500,189822919000,1327433
20200625,000590,CS홀딩스,KOSPI,,64900,2900,4.68,62000,64900,60900,10903,684000700,74925881800,1154482
20200625,012030,DB,KOSPI,,694,-8,-1.14,691,701,691,246373,171102019,139614709502,201173933
20200625,016610,DB금융투자,KOSPI,,3300,-100,-2.94,3310,3385,3275,95355,315455290,140073083700,42446389
