BAS_DD,ISU_CD,ISU_NM,MKT_NM,SECT_TP_NM,TDD_CLSPRC,CMPPREVDD_PRC,FLUC_RT,TDD_OPNPRC,TDD_HGPRC,TDD_LWPRC,ACC_TRDVOL,ACC_TRDVAL,MKTCAP,LIST_SHRS
20250121,095570,AJ네트웍스,KOSPI,,4020,-50,-1.23,4095,4100,4015,151181,611112145,181916091180,45252759
20250121,006840,AK홀딩스,KOSPI,,10090,80,0.80,10010,10120,10010,4943,49803510,133667890490,13247561
20250121,027410,BGF,KOSPI,,3420,-10,-0.29,3435,3435,3400,9886,33724500,327351425220,95716791
20250121,282330,BGF리테일,KOSPI,,105600,2100,2.03,103900,106500,103700,42100,4438152419,1825180473600,17283906
20250121,138930,BNK금융지주,KOSPI,,11680,210,1.83,11550,11800,11480,651554,7605888360,3742700971360,320436727
20250121,001460,BYC,KOSPI,,28950,0,0.00,28950,29050,28600,1649,47389100,180826042500,6246150
20250121,001465,BYC우,KOSPI,,12900,-30,-0.23,13020,13020,12770,1024,13107010,27784665000,2153850
20250121,001040,CJ,KOSPI,,98200,1800,1.87,96400,99100,96000,49275,4819049600,2865181203600,29176998
20250121,079160,CJ CGV,KOSPI,,5110,-80,-1.54,5150,5190,5100,254032,1305757390,846114581830,165580153
20250121,00104K,CJ4우(전환),KOSPI,,79700,1100,1.40,78600,79700,77700,5303,418769400,336853006400,4226512
20250121,000120,CJ대한통운,KOSPI,,80400,200,0.25,80700,80800,79500,60702,4867064300,1834112457600,22812344
20250121,011150,CJ씨푸드,KOSPI,,3010,-15,-0.50,3035,3060,2990,111088,334839210,108151626730,35930773
20250121,011155,CJ씨푸드1우,KOSPI,,17430,-240,-1.36,17750,17750,17410,1179,20573920,3486000000,200000
20250121,001045,CJ우,KOSPI,,57500,0,0.00,57900,57900,56700,1533,87537700,129962822500,2260223
20250121,097950,CJ제일제당,KOSPI,,242000,-2000,-0.82,246500,247000,240000,40946,9915517500,3643113012000,15054186
20250121,097955,CJ제일제당 우,KOSPI,,126500,500,0.40,127000,127000,125600,1108,139921800,167920274500,1327433
20250121,000480,CR홀딩스,KOSPI,,5630,30,0.54,5600,5640,5580,6079,34130460,263993458700,46890490
20250121,000590,CS홀딩스,KOSPI,,67200,200,0.30,67100,67200,66400,179,11994100,77581190400,1154482
20250121,012030,DB,KOSPI,,1254,-2,-0.16,1256,1261,1242,108514,135396837,252272111982,201173933
20250121,016610,DB금융투자,KOSPI,,5350,60,1.13,5280,5360,5250,19193,101484390,227088181150,42446389
20250121,005830,DB손해보험,KOSPI,,93300,-500,-0.53,94300,94800,93000,134327,12585074700,6605640000000,70800000
20250121,000990,DB하이텍,KOSPI,,34150,50,0.15,34200,34650,33500,137499,4670785300,1516211780200,44398588
20250121,139130,DGB금융지주,KOSPI,,9050,40,0.44,9030,9100,8950,361518,3268047530,1530769788650,169145833
20250121,001530,DI동일,KOSPI,,49800,-150,-0.30,49850,49900,49000,27693,1373507800,1067379435600,21433322
