BAS_DD,ISU_CD,ISU_NM,MKT_NM,SECT_TP_NM,TDD_CLSPRC,CMPPREVDD_PRC,FLUC_RT,TDD_OPNPRC,TDD_HGPRC,TDD_LWPRC,ACC_TRDVOL,ACC_TRDVAL,MKTCAP,LIST_SHRS
20190516,095570,AJ네트웍스,KOSPI,,5670,-110,-1.90,5970,5990,5580,31910,180849990,265482412650,46822295
20190516,068400,AJ렌터카,KOSPI,,10700,-300,-2.73,10900,11050,10600,62456,673950700,236965410000,22146300
20190516,006840,AK홀딩스,KOSPI,,49400,0,0.00,49550,49950,49050,12961,638086800,654429513400,13247561
20190516,027410,BGF,KOSPI,,7730,120,1.58,7660,7750,7580,186760,1431824840,737203753670,95369179
20190516,282330,BGF리테일,KOSPI,,202000,-1000,-0.49,201000,205000,199500,14918,3020651000,3491349012000,17283906
20190516,138930,BNK금융지주,KOSPI,,6890,-120,-1.71,6940,7000,6770,733695,5043066310,2245693844940,325935246
20190516,001460,BYC,KOSPI,,247500,1500,0.61,246000,251000,246000,916,226699500,154592212500,624615
20190516,001465,BYC우,KOSPI,,136500,-1500,-1.09,131000,137500,131000,274,36777000,29400052500,215385
20190516,001040,CJ,KOSPI,,105000,-2000,-1.87,107000,107500,104000,64234,6762596500,3063584790000,29176998
20190516,079160,CJ CGV,KOSPI,,38600,50,0.13,38550,39350,38350,92688,3586778100,816826681800,21161313
20190516,000120,CJ대한통운,KOSPI,,152500,-1500,-0.97,154000,155000,150500,37323,5661615000,3478882460000,22812344
20190516,011150,CJ씨푸드,KOSPI,,2665,-245,-8.42,2935,2995,2595,2070837,5674211410,95755510045,35930773
20190516,011155,CJ씨푸드1우,KOSPI,,33850,50,0.15,34200,35700,33800,27303,941286150,6770000000,200000
20190516,001045,CJ우,KOSPI,,56700,-1300,-2.24,57700,57900,56000,8398,476074700,128154644100,2260223
20190516,097950,CJ제일제당,KOSPI,,286500,1000,0.35,286500,288500,285000,45620,13076152000,4313024289000,15054186
20190516,097955,CJ제일제당 우,KOSPI,,128000,0,0.00,129000,129000,126500,3413,435890000,169911424000,1327433
20190516,037560,CJ헬로,KOSPI,,8250,60,0.73,8200,8290,8150,68066,558597140,638936636250,77446865
20190516,000590,CS홀딩스,KOSPI,,62900,1400,2.28,61500,62900,60800,305,18846300,72616917800,1154482
20190516,012030,DB,KOSPI,,922,54,6.22,885,934,871,5020230,4569244188,185482366226,201173933
20190516,016610,DB금융투자,KOSPI,,4955,-35,-0.70,5070,5110,4935,260158,1300701090,210321857495,42446389
20190516,005830,DB손해보험,KOSPI,,61300,-700,-1.13,61400,62000,61200,124171,7634678865,4340040000000,70800000
20190516,000990,DB하이텍,KOSPI,,14050,-400,-2.77,14600,14600,13900,431084,6111119500,623800161400,44398588
20190516,000995,DB하이텍1우,KOSPI,,48800,-850,-1.71,49650,51200,47650,10172,503464900,5481020800,112316
20190516,139130,DGB금융지주,KOSPI,,8340,-70,-0.83,8410,8450,8330,688629,5778058380,1410676247220,169145833
20190516,001530,DI동일,KOSPI,,90000,-3500,-3.74,92700,93400,89000,9850,894381100,217927800000,2421420
20190516,004840,DRB동일,KOSPI,,6190,-170,-2.67,6360,6360,6140,33788,209075250,123366700000,19930000
20190516,155660,DSR,KOSPI,,4260,-40,-0.93,4300,4315,4225,30130,128049635,68160000000,16000000
20190516,069730,DSR제강,KOSPI,,4685,-105,-2.19,4795,4850,4650,84119,397881795,67464000000,14400000
