BAS_DD,ISU_CD,ISU_NM,MKT_NM,SECT_TP_NM,TDD_CLSPRC,CMPPREVDD_PRC,FLUC_RT,TDD_OPNPRC,TDD_HGPRC,TDD_LWPRC,ACC_TRDVOL,ACC_TRDVAL,MKTCAP,LIST_SHRS
20240223,095570,AJ네트웍스,KOSPI,,4965,35,0.71,4965,5030,4885,114310,568203720,224679948435,45252759
20240223,006840,AK홀딩스,KOSPI,,17230,-10,-0.06,17080,17400,17030,5417,93257760,228255476030,13247561
20240223,027410,BGF,KOSPI,,4010,-70,-1.72,4080,4100,4000,138841,562459615,383824331910,95716791
20240223,282330,BGF리테일,KOSPI,,132700,700,0.53,132000,133000,130700,38583,5089452900,2293574326200,17283906
20240223,138930,BNK금융지주,KOSPI,,7950,70,0.89,7880,7960,7860,1522582,12056598900,2560603082100,322088438
20240223,001460,BYC,KOSPI,,405500,-1500,-0.37,410000,410000,405500,57,23216500,253281382500,624615
20240223,001465,BYC우,KOSPI,,144500,700,0.49,142800,145100,142800,33,4756300,31123132500,215385
20240223,001040,CJ,KOSPI,,100300,-1500,-1.47,101800,101800,98700,119180,11896865700,2926452899400,29176998
20240223,079160,CJ CGV,KOSPI,,5600,40,0.72,5570,5600,5540,228446,1273010030,685617430400,122431684
20240223,00104K,CJ4우(전환),KOSPI,,76300,-300,-0.39,76700,76700,75400,5459,414903800,322482865600,4226512
20240223,000120,CJ대한통운,KOSPI,,128300,-900,-0.70,129000,132600,127200,136717,17767147600,2926823735200,22812344
20240223,011150,CJ씨푸드,KOSPI,,2850,0,0.00,2870,2870,2840,49033,139742170,102402703050,35930773
20240223,011155,CJ씨푸드1우,KOSPI,,21050,0,0.00,20800,21400,20800,100,2087000,4210000000,200000
20240223,001045,CJ우,KOSPI,,55000,0,0.00,55000,55400,54900,2424,133455300,124312265000,2260223
20240223,097950,CJ제일제당,KOSPI,,308000,4500,1.48,303500,308000,301500,23545,7210474000,4636689288000,15054186
20240223,097955,CJ제일제당 우,KOSPI,,141200,800,0.57,140400,141800,139800,3825,538869000,187433539600,1327433
20240223,000480,CR홀딩스,KOSPI,,6420,-270,-4.04,6700,6750,6420,58564,382381740,301036945800,46890490
20240223,000590,CS홀딩스,KOSPI,,67100,200,0.30,66700,67100,66500,973,64964900,77465742200,1154482
20240223,012030,DB,KOSPI,,1582,-18,-1.13,1600,1600,1580,442491,702694457,318257162006,201173933
20240223,016610,DB금융투자,KOSPI,,4650,0,0.00,4610,4695,4600,38382,178769250,197375708850,42446389
20240223,005830,DB손해보험,KOSPI,,97800,4200,4.49,94100,97800,93000,310502,29887889400,6924240000000,70800000
