BAS_DD,ISU_CD,ISU_NM,MKT_NM,SECT_TP_NM,TDD_CLSPRC,CMPPREVDD_PRC,FLUC_RT,TDD_OPNPRC,TDD_HGPRC,TDD_LWPRC,ACC_TRDVOL,ACC_TRDVAL,MKTCAP,LIST_SHRS
20190221,095570,AJ네트웍스,KOSPI,,5200,150,2.97,5070,5650,5070,214918,1152933460,243475934000,46822295
20190221,068400,AJ렌터카,KOSPI,,11550,-150,-1.28,11750,11800,11500,163769,1903346950,255789765000,22146300
20190221,006840,AK홀딩스,KOSPI,,54900,-200,-0.36,55100,55700,54500,14495,797982400,727291098900,13247561
20190221,027410,BGF,KOSPI,,8650,220,2.61,8410,8660,8380,338457,2891840190,824943398350,95369179
20190221,282330,BGF리테일,KOSPI,,208000,2500,1.22,203500,210500,203500,26441,5514772000,3595052448000,17283906
20190221,138930,BNK금융지주,KOSPI,,7190,-80,-1.10,7220,7260,7170,683702,4922294900,2343474418740,325935246
20190221,001460,BYC,KOSPI,,239500,-1000,-0.42,240000,240500,238500,834,199383000,149595292500,624615
20190221,001465,BYC우,KOSPI,,109500,-1000,-0.90,110500,110500,108000,116,12663000,23584657500,215385
20190221,001040,CJ,KOSPI,,125000,-1000,-0.79,125500,126000,124000,43961,5492126000,3647124750000,29176998
20190221,079160,CJ CGV,KOSPI,,44500,-150,-0.34,44650,45250,44150,201478,8994436800,941678428500,21161313
20190221,000120,CJ대한통운,KOSPI,,183000,2000,1.10,180500,183000,179000,60174,10940714000,4174658952000,22812344
20190221,011150,CJ씨푸드,KOSPI,,2480,0,0.00,2480,2500,2455,61644,152725460,89108317040,35930773
20190221,011155,CJ씨푸드1우,KOSPI,,28200,-200,-0.70,28400,28800,28000,1544,43827150,5640000000,200000
20190221,001045,CJ우,KOSPI,,57000,0,0.00,56700,57300,56500,3238,184180100,128832711000,2260223
20190221,097950,CJ제일제당,KOSPI,,332500,-2500,-0.75,334500,334500,332000,28239,9406755500,5005516845000,15054186
20190221,097955,CJ제일제당 우,KOSPI,,131000,0,0.00,131000,131500,129500,8276,1082891500,173893723000,1327433
20190221,037560,CJ헬로,KOSPI,,9970,190,1.94,9770,9970,9590,821587,8092480970,772145244050,77446865
20190221,000590,CS홀딩스,KOSPI,,65400,-700,-1.06,66000,66500,64600,155,10148800,75503122800,1154482
20190221,012030,DB,KOSPI,,884,-4,-0.45,888,888,870,767870,674644678,177837756772,201173933
20190221,016610,DB금융투자,KOSPI,,4895,65,1.35,4830,4900,4760,59400,287093590,207775074155,42446389
20190221,005830,DB손해보험,KOSPI,,72100,-1000,-1.37,72500,72800,71600,106556,7690081100,5104680000000,70800000
20190221,000990,DB하이텍,KOSPI,,12600,-300,-2.33,12900,13100,12550,481231,6107391900,559422208800,44398588
20190221,000995,DB하이텍1우,KOSPI,,35350,-350,-0.98,35700,35900,34800,1987,69875050,3970370600,112316
20190221,139130,DGB금융지주,KOSPI,,8680,-60,-0.69,8700,8700,8630,375293,3247836580,1468185830440,169145833
20190221,004840,DRB동일,KOSPI,,6750,10,0.15,6730,6780,6670,15668,105110320,131490000000,19480000
20190221,155660,DSR,KOSPI,,5990,-90,-1.48,6080,6300,5950,1221409,7463579740,95840000000,16000000
20190221,069730,DSR제강,KOSPI,,6450,-380,-5.56,6840,7480,6450,2921479,20098265330,92880000000,14400000
20190221,017940,E1,KOSPI,,58900,500,0.86,58400,59200,58000,3594,210505700,404054000000,6860000
20190221,007700,F&F,KOSPI,,62000,-2200,-3.43,63300,65000,61100,222165,13917134900,954800000000,15400000
20190221,114090,GKL,KOSPI,,23600,-200,-0.84,23900,24000,23550,224580,5312519050,1459793812000,61855670
20190221,078930,GS,KOSPI,,53600,-400,-0.74,53900,54000,53200,116566,6233699900,4980264260800,92915378
20190221,006360,GS건설,KOSPI,,46100,550,1.21,45550,46100,45300,326488,14929525600,3670921286900,79629529
20190221,001250,GS글로벌,KOSPI,,2810,-40,-1.40,2850,2850,2805,297474,837512945,231919876840,82533764
20190221,007070,GS리테일,KOSPI,,37000,-250,-0.67,37100,37500,36600,147617,5459129250,2849000000000,77000000
