BAS_DD,ISU_CD,ISU_NM,MKT_NM,SECT_TP_NM,TDD_CLSPRC,CMPPREVDD_PRC,FLUC_RT,TDD_OPNPRC,TDD_HGPRC,TDD_LWPRC,ACC_TRDVOL,ACC_TRDVAL,MKTCAP,LIST_SHRS
20190605,095570,AJ네트웍스,KOSPI,,5260,20,0.38,5260,5340,5230,17333,91102560,246285271700,46822295
20190605,068400,AJ렌터카,KOSPI,,10350,300,2.99,10100,10350,10100,64078,657406800,229214205000,22146300
20190605,006840,AK홀딩스,KOSPI,,47450,-300,-0.63,47850,48400,47100,17763,843397700,628596769450,13247561
20190605,027410,BGF,KOSPI,,7120,0,0.00,7160,7390,7120,151975,1090872510,679028554480,95369179
20190605,282330,BGF리테일,KOSPI,,190000,1500,0.80,189000,192000,185000,23586,4468456850,3283942140000,17283906
20190605,138930,BNK금융지주,KOSPI,,7110,-30,-0.42,7140,7190,7080,651150,4640955950,2317399599060,325935246
20190605,001460,BYC,KOSPI,,235500,0,0.00,236000,241000,235000,594,140331000,147096832500,624615
20190605,001465,BYC우,KOSPI,,144000,5000,3.60,138500,145000,136000,223,31306000,31015440000,215385
20190605,001040,CJ,KOSPI,,101500,1500,1.50,101000,102000,100000,42464,4304690000,2961465297000,29176998
20190605,079160,CJ CGV,KOSPI,,35500,550,1.57,35350,35550,34950,127789,4516628200,751226611500,21161313
20190605,000120,CJ대한통운,KOSPI,,153500,-6000,-3.76,160000,160000,153000,72137,11225301500,3501694804000,22812344
20190605,011150,CJ씨푸드,KOSPI,,2840,10,0.35,2890,2910,2825,691991,1987607325,102043395320,35930773
20190605,011155,CJ씨푸드1우,KOSPI,,36950,450,1.23,36050,37250,35800,8895,326136050,7390000000,200000
20190605,001045,CJ우,KOSPI,,52500,600,1.16,51900,52700,51800,3098,161555500,118661707500,2260223
20190605,097950,CJ제일제당,KOSPI,,282000,0,0.00,282500,284000,280000,17866,5027892000,4245280452000,15054186
20190605,097955,CJ제일제당 우,KOSPI,,126000,-500,-0.40,127000,127000,124000,1128,141517000,167256558000,1327433
20190605,037560,CJ헬로,KOSPI,,7190,10,0.14,7190,7320,7170,199219,1447181140,556842959350,77446865
20190605,000590,CS홀딩스,KOSPI,,63000,100,0.16,62900,63000,62500,148,9281400,72732366000,1154482
20190605,012030,DB,KOSPI,,996,27,2.79,980,1005,973,2102640,2094431118,200369237268,201173933
20190605,016610,DB금융투자,KOSPI,,4945,15,0.30,4985,5070,4930,39228,194782260,209897393605,42446389
20190605,005830,DB손해보험,KOSPI,,61300,-2400,-3.77,62600,63600,61200,91185,5639215000,4340040000000,70800000
20190605,000990,DB하이텍,KOSPI,,14600,-250,-1.68,15250,15300,14600,608658,9058470050,648219384800,44398588
20190605,000995,DB하이텍1우,KOSPI,,44000,-300,-0.68,44400,44850,43700,906,40132500,4941904000,112316
20190605,139130,DGB금융지주,KOSPI,,8260,50,0.61,8270,8350,8250,973826,8086995990,1397144580580,169145833
20190605,001530,DI동일,KOSPI,,87700,-800,-0.90,88500,88600,86900,2323,203800800,212358534000,2421420
20190605,004840,DRB동일,KOSPI,,6000,50,0.84,6010,6010,5930,1457,8687010,119580000000,19930000
20190605,155660,DSR,KOSPI,,4785,50,1.06,4780,4880,4740,129547,619487810,76560000000,16000000
20190605,069730,DSR제강,KOSPI,,4610,45,0.99,4600,4630,4570,79450,365690255,66384000000,14400000
20190605,017940,E1,KOSPI,,57800,-500,-0.86,58300,58300,57600,3960,228883600,396508000000,6860000
20190605,007700,F&F,KOSPI,,75600,-200,-0.26,78000,78000,75100,109585,8335120500,1164240000000,15400000
20190605,114090,GKL,KOSPI,,20050,100,0.50,20100,20200,19850,103216,2072669450,1240206183500,61855670
20190605,078930,GS,KOSPI,,50800,700,1.40,50200,51000,50000,149465,7582629100,4720101202400,92915378
20190605,006360,GS건설,KOSPI,,41300,350,0.85,41400,41800,40950,426361,17652962050,3299443825300,79889681
20190605,001250,GS글로벌,KOSPI,,2655,25,0.95,2650,2670,2640,150513,399427745,219127143420,82533764
20190605,007070,GS리테일,KOSPI,,35600,500,1.42,35150,36200,35000,172887,6180538950,2741200000000,77000000
20190605,078935,GS우,KOSPI,,36900,350,0.96,37150,37150,36600,1115,41139200,65860079400,1784826
20190605,012630,HDC,KOSPI,,15600,-50,-0.32,15900,16050,15500,204795,3215476000,931970847600,59741721
20190605,039570,HDC아이콘트롤스,KOSPI,,9930,80,0.81,9850,9950,9810,9923,97966090,163447800000,16460000
20190605,089470,HDC현대EP,KOSPI,,5290,-130,-2.40,5450,5460,5210,75687,399663400,168751000000,31900000
20190605,294870,HDC현대산업개발,KOSPI,,43550,-450,-1.02,44100,44150,43000,90340,3931914600,1913509481000,43938220
20190605,082740,HSD엔진,KOSPI,,3770,30,0.80,3820,3820,3735,46204,174712100,124210725340,32947142
20190605,003560,IHQ,KOSPI,,2110,110,5.50,2010,2165,2010,3909742,8209060020,308557428280,146235748
20190605,175330,JB금융지주,KOSPI,,5680,-100,-1.73,5760,5790,5660,343268,1958560790,1118862837920,196982894
20190605,234080,JW생명과학,KOSPI,,25650,-750,-2.84,26600,26600,25600,76678,1984672100,406156310100,15834554
20190605,001060,JW중외제약,KOSPI,,31500,-250,-0.79,32200,32200,31500,25209,800984300,640017693000,20318022
20190605,001067,JW중외제약2우B,KOSPI,,45200,0,0.00,44750,45600,44750,186,8403750,3968108000,87790
20190605,001065,JW중외제약우,KOSPI,,27400,100,0.37,27600,27900,27050,611,16635400,4586075000,167375
20190605,096760,JW홀딩스,KOSPI,,6120,-30,-0.49,6170,6250,6090,49164,302659770,394867932480,64520904
20190605,105560,KB금융,KOSPI,,44450,-900,-1.98,44900,45200,44300,1163113,51841079150,18585057819650,418111537
20190605,002380,KCC,KOSPI,,263000,-4000,-1.50,270500,270500,261500,13894,3670422500,2776362919000,10556513
