BAS_DD,ISU_CD,ISU_NM,MKT_NM,SECT_TP_NM,TDD_CLSPRC,CMPPREVDD_PRC,FLUC_RT,TDD_OPNPRC,TDD_HGPRC,TDD_LWPRC,ACC_TRDVOL,ACC_TRDVAL,MKTCAP,LIST_SHRS
20241125,095570,AJ네트웍스,KOSPI,,4635,25,0.54,4610,4650,4590,74279,342072370,209746537965,45252759
20241125,006840,AK홀딩스,KOSPI,,11270,180,1.62,11090,11290,11030,3878,43290190,149300012470,13247561
20241125,027410,BGF,KOSPI,,3520,5,0.14,3510,3555,3500,67612,237953080,336923104320,95716791
20241125,282330,BGF리테일,KOSPI,,106800,-1200,-1.11,108100,108100,105800,21634,2312840900,1845921160800,17283906
20241125,138930,BNK금융지주,KOSPI,,9960,0,0.00,10010,10010,9810,1120671,11162118120,3191549800920,320436727
20241125,001460,BYC,KOSPI,,28700,50,0.17,28600,29200,28600,869,25076850,179264505000,6246150
20241125,001465,BYC우,KOSPI,,13010,10,0.08,12990,13020,12910,848,11020200,28021588500,2153850
20241125,001040,CJ,KOSPI,,99200,2600,2.69,97800,99500,96300,60220,5941534800,2894358201600,29176998
20241125,079160,CJ CGV,KOSPI,,5400,230,4.45,5190,5480,5180,376337,2030322310,894132399600,165580074
20241125,00104K,CJ4우(전환),KOSPI,,77300,1600,2.11,76500,77400,75700,3439,263304600,326709377600,4226512
20241125,000120,CJ대한통운,KOSPI,,80000,600,0.76,80200,80800,79400,44999,3607560900,1824987520000,22812344
20241125,011150,CJ씨푸드,KOSPI,,2950,50,1.72,2905,2965,2905,192771,568156080,105995780350,35930773
20241125,011155,CJ씨푸드1우,KOSPI,,16630,-70,-0.42,17000,17000,16560,371,6153790,3326000000,200000
20241125,001045,CJ우,KOSPI,,57300,500,0.88,56700,57300,56700,2597,148001900,129510777900,2260223
20241125,097950,CJ제일제당,KOSPI,,270500,-1500,-0.55,272000,275500,270500,60344,16386442000,4072157313000,15054186
20241125,097955,CJ제일제당 우,KOSPI,,132500,300,0.23,132400,134000,131400,1817,240009800,175884872500,1327433
20241125,000480,CR홀딩스,KOSPI,,5660,-10,-0.18,5610,5690,5610,6617,37455240,265400173400,46890490
20241125,000590,CS홀딩스,KOSPI,,69500,-500,-0.71,70000,70000,69200,818,56899200,80236499000,1154482
20241125,012030,DB,KOSPI,,1405,61,4.54,1344,1414,1344,582329,812405097,282649375865,201173933
20241125,016610,DB금융투자,KOSPI,,5090,-10,-0.20,5100,5130,5060,58427,297228550,216052120010,42446389
20241125,005830,DB손해보험,KOSPI,,109300,800,0.74,109200,110600,107100,266565,29162751900,7738440000000,70800000
20241125,000990,DB하이텍,KOSPI,,33600,450,1.36,33150,33600,32650,182169,6060388550,1491792556800,44398588
20241125,139130,DGB금융지주,KOSPI,,8560,80,0.94,8500,8620,8480,675881,5786063990,1447888330480,169145833
20241125,001530,DI동일,KOSPI,,42500,0,0.00,0,0,0,0,0,1071666060000,25215672
20241125,000210,DL,KOSPI,,35950,450,1.27,35850,36100,35650,43886,1575643800,753364029800,20955884
20241125,000215,DL우,KOSPI,,21050,100,0.48,21300,21550,20450,4247,89500000,35492720750,1686115
