BAS_DD,ISU_CD,ISU_NM,MKT_NM,SECT_TP_NM,TDD_CLSPRC,CMPPREVDD_PRC,FLUC_RT,TDD_OPNPRC,TDD_HGPRC,TDD_LWPRC,ACC_TRDVOL,ACC_TRDVAL,MKTCAP,LIST_SHRS
20230829,095570,AJ네트웍스,KOSPI,,4190,80,1.95,4095,4300,4095,119514,501640030,196185416050,46822295
20230829,006840,AK홀딩스,KOSPI,,19440,60,0.31,19390,19690,19390,3898,76119370,257532585840,13247561
20230829,027410,BGF,KOSPI,,3680,40,1.10,3605,3685,3605,43147,157959855,352237790880,95716791
20230829,282330,BGF리테일,KOSPI,,160500,300,0.19,161300,161300,159600,19601,3141913100,2774066913000,17283906
20230829,138930,BNK금융지주,KOSPI,,6700,0,0.00,6690,6740,6670,429572,2880284250,2157992534600,322088438
20230829,001460,BYC,KOSPI,,421500,9000,2.18,427500,427500,412500,27,11381000,263275222500,624615
20230829,001465,BYC우,KOSPI,,139000,-2000,-1.42,138200,139000,137300,163,22535900,29938515000,215385
20230829,001040,CJ,KOSPI,,67000,-2000,-2.90,69100,69400,66500,281795,18917898500,1954858866000,29176998
20230829,079160,CJ CGV,KOSPI,,7470,-30,-0.40,7500,7560,7430,120648,903467670,356541673230,47729809
20230829,00104K,CJ4우(전환),KOSPI,,56400,-1100,-1.91,57500,57500,56000,13886,783661500,238375276800,4226512
20230829,000120,CJ대한통운,KOSPI,,80600,-400,-0.49,81100,82200,80400,29817,2420754400,1838674926400,22812344
20230829,011150,CJ씨푸드,KOSPI,,3620,80,2.26,3485,3650,3480,1026214,3668291955,130069398260,35930773
20230829,011155,CJ씨푸드1우,KOSPI,,19890,-70,-0.35,19950,19950,19890,481,9572210,3978000000,200000
20230829,001045,CJ우,KOSPI,,43700,-450,-1.02,44500,44500,43600,2766,121471050,98771745100,2260223
20230829,097950,CJ제일제당,KOSPI,,303000,-5500,-1.78,308500,310000,302500,15618,4755906000,4561418358000,15054186
20230829,097955,CJ제일제당 우,KOSPI,,137800,-200,-0.14,138400,138400,137100,571,78620100,182920267400,1327433
20230829,000480,CR홀딩스,KOSPI,,8820,-250,-2.76,9000,9010,8730,270710,2394619610,248237418240,28144832
20230829,000590,CS홀딩스,KOSPI,,57600,500,0.88,57000,57600,56900,524,30022100,66498163200,1154482
20230829,012030,DB,KOSPI,,1828,35,1.95,1787,1847,1787,549392,1005823486,367745949524,201173933
20230829,016610,DB금융투자,KOSPI,,4085,15,0.37,4070,4105,4060,31697,129312650,173393499065,42446389
20230829,005830,DB손해보험,KOSPI,,83300,1000,1.22,82400,83500,81900,144511,11947977100,5897640000000,70800000
20230829,000990,DB하이텍,KOSPI,,53600,1100,2.10,52900,54100,52700,274122,14677267600,2379764316800,44398588
20230829,139130,DGB금융지주,KOSPI,,7450,20,0.27,7450,7490,7420,167281,1247541670,1260136455850,169145833
20230829,001530,DI동일,KOSPI,,21950,800,3.78,21350,22000,21300,100840,2191488150,571592860150,26040677
20230829,000210,DL,KOSPI,,39200,1200,3.16,38050,39250,38050,51838,2007528850,821470652800,20955884
20230829,001880,DL건설,KOSPI,,11770,50,0.43,11620,11890,11620,7504,88535250,259567152680,22053284
20230829,000215,DL우,KOSPI,,19850,270,1.38,19700,20000,19480,4610,90423670,33469382750,1686115
20230829,375500,DL이앤씨,KOSPI,,31150,300,0.97,31000,31600,30800,145905,4552855500,1205306356450,38693623
20230829,37550L,DL이앤씨2우(전환),KOSPI,,21850,250,1.16,21750,22000,21600,4289,93414250,46146129350,2111951
20230829,37550K,DL이앤씨우,KOSPI,,18230,80,0.44,18440,18440,18140,2520,45900900,38536123550,2113885
20230829,007340,DN오토모티브,KOSPI,,90800,600,0.67,90300,91200,89900,17805,1610423100,907455654000,9994005
20230829,004840,DRB동일,KOSPI,,5320,100,1.92,5270,5350,5270,8815,46842690,106027600000,19930000
20230829,155660,DSR,KOSPI,,4625,-10,-0.22,4635,4665,4605,12708,58874350,74000000000,16000000
