date,market_return_1d,market_return_5d,market_return_20d,market_volatility_20d,market_drawdown,volume_change_1d,trading_value_change_1d,trading_value_ratio_20d,base_rate,usdkrw,bond3y,usdkrw_return_1d,usdkrw_return_5d,usdkrw_return_20d,bond3y_change_1d,bond3y_change_5d,bond3y_change_20d,base_rate_change,rate_spread_3y
2018-02-05,,,,,0.0,,,,1.5,1088.5,2.287,,,,,,,,0.7869999999999999
2018-02-06,-0.014045830228076928,,,,-0.014045830228076928,0.3874777950652264,0.2550854845291175,,1.5,1091.5,2.253,0.002756086357372567,,,-0.03399999999999981,,,0.0,0.7530000000000001
2018-02-07,-0.026333172170052266,,,,-0.04000913113246196,-0.2240703111292115,-0.10344488168802268,,1.5,1086.6,2.248,-0.004489234997709701,,,-0.004999999999999893,,,0.0,0.7480000000000002
2018-02-08,0.007910086584325349,,,,-0.03241552023955796,0.026311602896704978,0.12177761116476904,,1.5,1087.9,2.272,0.001196392416712877,,,0.023999999999999577,,,0.0,0.7719999999999998
2018-02-09,-0.020282694829751646,,,,-0.05204074096454303,-0.12798323824353142,-0.21264041864232675,,1.5,1092.1,2.278,0.003860648956705459,,,0.006000000000000227,,,0.0,0.778
2018-02-12,0.011084354416035058,-0.04153322456543207,,,-0.04153322456543207,-0.1758123454104289,-0.22089062659278025,,1.5,1084.6,2.302,-0.006867502975917983,-0.0035829122645844036,,0.02400000000000002,0.015000000000000124,,0.0,0.802
2018-02-13,0.0047844208609155725,-0.023227941627113502,,,-0.036947516130548363,0.0013251373093996488,0.057871953243947116,,1.5,1084.5,2.278,-9.219988936004508e-05,-0.006413192853870875,,-0.02400000000000002,0.02499999999999991,,0.0,0.778
2018-02-14,0.014131541153669103,0.017365822271334874,,,-0.023338100321603883,-0.15705172189620764,-0.13862257492434982,,1.5,1077.2,2.265,-0.006731212540341147,-0.00865083747469153,,-0.0129999999999999,0.016999999999999904,,0.0,0.7650000000000001
2018-02-19,0.00998865706527341,0.01946389291736339,,,-0.01358255953699783,0.050676069338537744,0.06184714661496615,,1.5,1067.6,2.302,-0.008911994058670714,-0.018659803290743793,,0.03699999999999992,0.03000000000000025,,0.0,0.802
2018-02-20,-0.013558583699750937,0.026460797506905553,,,-0.02695698296640958,-0.15709981828854935,-0.2158897923875075,,1.5,1073.5,2.316,0.005526414387411194,-0.01703140738027642,,0.01399999999999979,0.03799999999999981,,0.0,0.8159999999999998
