date,base_rate,usdkrw,bond3y,usdkrw_return_1d,bond3y_change_1d,base_rate_change,usdkrw_return_5d,usdkrw_return_20d,bond3y_change_5d,bond3y_change_20d,rate_spread_3y
2018-02-05,1.5,1088.5,2.287,,,,,,,,0.7869999999999999
2018-02-06,1.5,1091.5,2.253,0.002756086357372567,-0.03399999999999981,0.0,,,,,0.7530000000000001
2018-02-07,1.5,1086.6,2.248,-0.004489234997709701,-0.004999999999999893,0.0,,,,,0.7480000000000002
2018-02-08,1.5,1087.9,2.272,0.001196392416712877,0.023999999999999577,0.0,,,,,0.7719999999999998
2018-02-09,1.5,1092.1,2.278,0.003860648956705459,0.006000000000000227,0.0,,,,,0.778
2018-02-12,1.5,1084.6,2.302,-0.006867502975917983,0.02400000000000002,0.0,-0.0035829122645844036,,0.015000000000000124,,0.802
2018-02-13,1.5,1084.5,2.278,-9.219988936004508e-05,-0.02400000000000002,0.0,-0.006413192853870875,,0.02499999999999991,,0.778
2018-02-14,1.5,1077.2,2.265,-0.006731212540341147,-0.0129999999999999,0.0,-0.00865083747469153,,0.016999999999999904,,0.7650000000000001
2018-02-19,1.5,1067.6,2.302,-0.008911994058670714,0.03699999999999992,0.0,-0.018659803290743793,,0.03000000000000025,,0.802
2018-02-20,1.5,1073.5,2.316,0.005526414387411194,0.01399999999999979,0.0,-0.01703140738027642,,0.03799999999999981,,0.8159999999999998
2018-02-21,1.5,1076.2,2.306,0.002515137401024825,-0.009999999999999787,0.0,-0.0077447907062510035,,0.0040000000000000036,,0.806
2018-02-22,1.5,1084.3,2.303,0.007526482066530393,-0.0030000000000001137,0.0,-0.00018441678192715472,,0.02499999999999991,,0.8029999999999999
2018-02-23,1.5,1079.0,2.285,-0.004887946140367028,-0.017999999999999794,0.0,0.0016709988860006408,,0.020000000000000018,,0.7850000000000001
2018-02-26,1.5,1073.4,2.263,-0.005189990732159311,-0.02200000000000024,0.0,0.005432746346946571,,-0.039000000000000146,,0.7629999999999999
2018-02-27,1.5,1071.3,2.258,-0.0019564002235886724,-0.004999999999999893,0.0,-0.0020493712156497423,,-0.05799999999999983,,0.758
2018-02-28,1.5,1082.8,2.266,0.010734621487911822,0.008000000000000007,0.0,0.006132689091246979,,-0.040000000000000036,,0.766
2018-03-02,1.5,1080.3,2.29,-0.0023088289619505042,0.02400000000000002,0.0,-0.003689015954994046,,-0.0129999999999999,,0.79
2018-03-05,1.5,1082.0,2.311,0.0015736369526984095,0.020999999999999908,0.0,0.002780352177942591,,0.0259999999999998,,0.8109999999999999
2018-03-06,1.5,1076.1,2.312,-0.0054528650646951116,0.0009999999999998899,0.0,0.002515371716042214,,0.04899999999999993,,0.8119999999999998
2018-03-07,1.5,1069.1,2.297,-0.00650497165690922,-0.01499999999999968,0.0,-0.002053579762904878,,0.039000000000000146,,0.7970000000000002
2018-03-08,1.5,1070.2,2.286,0.001028902815452426,-0.01100000000000012,0.0,-0.011636497968230408,-0.016812126779972347,0.020000000000000018,-0.0009999999999998899,0.786
2018-03-09,1.5,1069.8,2.293,-0.0003737619136611192,0.007000000000000117,0.0,-0.009719522354901367,-0.019880897846999535,0.0030000000000001137,0.040000000000000036,0.7930000000000001
2018-03-12,1.5,1065.2,2.305,-0.0042998691344176,0.01200000000000001,0.0,-0.015526802218114533,-0.019694459782808593,-0.005999999999999783,0.05699999999999994,0.8050000000000002
2018-03-13,1.5,1067.5,2.301,0.002159218926023332,-0.0040000000000000036,0.0,-0.007991822321345543,-0.018751723503998563,-0.010999999999999677,0.02900000000000036,0.8010000000000002
2018-03-14,1.5,1064.6,2.274,-0.002716627634660518,-0.027000000000000135,0.0,-0.004209147881395592,-0.02518084424503253,-0.02300000000000013,-0.0040000000000000036,0.774
2018-03-15,1.5,1065.4,2.268,0.0007514559458954295,-0.006000000000000227,0.0,-0.004485142963931987,-0.01770237875714531,-0.018000000000000238,-0.03400000000000025,0.7679999999999998
2018-03-16,1.5,1066.2,2.276,0.0007508916838745439,0.008000000000000007,0.0,-0.0033651149747615516,-0.016874135546334657,-0.017000000000000348,-0.002000000000000224,0.7759999999999998
2018-03-19,1.5,1071.6,2.275,0.00506471581316803,-0.0009999999999998899,0.0,0.006008261359369049,-0.005198663200891351,-0.03000000000000025,0.009999999999999787,0.7749999999999999
2018-03-20,1.5,1068.6,2.286,-0.0027995520716684874,0.01100000000000012,0.0,0.0010304449648710357,0.0009366804046460064,-0.015000000000000124,-0.016000000000000014,0.786
2018-03-21,1.5,1072.3,2.291,0.0034624742653939222,0.004999999999999893,0.0,0.007232763479241067,-0.00111783884489991,0.016999999999999904,-0.02499999999999991,0.7909999999999999
2018-03-22,1.5,1072.7,2.256,0.0003730299356523581,-0.03500000000000014,0.0,0.00685188661535574,-0.0032521836089945966,-0.01200000000000001,-0.050000000000000266,0.7559999999999998
2018-03-23,1.5,1082.2,2.223,0.008856157359932837,-0.03299999999999992,0.0,0.015006565372350344,-0.0019367333763717909,-0.052999999999999936,-0.08000000000000007,0.7229999999999999
2018-03-26,1.5,1081.1,2.244,-0.0010164479763445922,0.02100000000000035,0.0,0.00886524822695045,0.0019462465245596583,-0.030999999999999694,-0.040999999999999925,0.7440000000000002
2018-03-27,1.5,1070.3,2.232,-0.009989825178059353,-0.01200000000000001,0.0,0.0015908665543702405,-0.0028880193776785745,-0.053999999999999826,-0.030999999999999694,0.7320000000000002
2018-03-28,1.5,1070.8,2.222,0.00046715874054004125,-0.010000000000000231,0.0,-0.0013988622586962318,-0.0004667226733874319,-0.06899999999999995,-0.03600000000000003,0.722
2018-03-29,1.5,1065.9,2.227,-0.004576017930519094,0.004999999999999893,0.0,-0.006339144215530834,-0.015607683782785209,-0.028999999999999915,-0.039000000000000146,0.7269999999999999
2018-03-30,1.5,1063.5,2.216,-0.0022516183506896548,-0.010999999999999677,0.0,-0.01727961559785629,-0.01555123576784223,-0.006999999999999673,-0.07399999999999984,0.7160000000000002
2018-04-02,1.5,1056.6,2.225,-0.006488011283497963,0.008999999999999897,0.0,-0.022662103413190304,-0.02347504621072094,-0.019000000000000128,-0.08599999999999985,0.7250000000000001
2018-04-03,1.5,1054.2,2.193,-0.0022714366837023325,-0.03200000000000003,0.0,-0.01504251144538904,-0.020351268469472994,-0.039000000000000146,-0.11899999999999977,0.6930000000000001
2018-04-04,1.5,1059.8,2.168,0.005312084993359889,-0.02499999999999991,0.0,-0.01027269331341052,-0.008698905621550845,-0.053999999999999826,-0.129,0.6680000000000001
2018-04-05,1.5,1059.7,2.175,-9.435742592933671e-05,0.006999999999999673,0.0,-0.005816680739281432,-0.009811250233601188,-0.052000000000000046,-0.11100000000000021,0.6749999999999998
2018-04-06,1.5,1069.6,2.156,0.009342266679248645,-0.018999999999999684,0.0,0.005735778091208177,-0.00018695083193120965,-0.06000000000000005,-0.137,0.6560000000000001
2018-04-09,1.5,1067.1,2.167,-0.0023373223635003715,0.010999999999999677,0.0,0.009937535491198135,0.0017837025910625304,-0.058000000000000274,-0.13800000000000034,0.6669999999999998
2018-04-10,1.5,1066.4,2.185,-0.000655983506700264,0.018000000000000238,0.0,0.01157275659267687,-0.0010304449648711467,-0.008000000000000007,-0.1160000000000001,0.685
2018-04-11,1.5,1066.3,2.165,-9.377344336092275e-05,-0.020000000000000018,0.0,0.0061332326854124375,0.0015968438850273436,-0.0030000000000001137,-0.10899999999999999,0.665
2018-04-12,1.5,1069.5,2.156,0.0030010316046140684,-0.008999999999999897,0.0,0.009247900349155458,0.0038483198798573426,-0.018999999999999684,-0.11199999999999966,0.6560000000000001
