STAT_CODE,STAT_NAME,ITEM_CODE1,ITEM_NAME1,ITEM_CODE2,ITEM_NAME2,ITEM_CODE3,ITEM_NAME3,ITEM_CODE4,ITEM_NAME4,UNIT_NAME,WGT,TIME,DATA_VALUE
731Y003,"3.1.1.3. 원화의 대미달러, 원화의 대위안/대엔 환율",0000003,원/달러(종가 15:30),,,,,,,원,,20180406,1069.6
731Y003,"3.1.1.3. 원화의 대미달러, 원화의 대위안/대엔 환율",0000003,원/달러(종가 15:30),,,,,,,원,,20180409,1067.1
731Y003,"3.1.1.3. 원화의 대미달러, 원화의 대위안/대엔 환율",0000003,원/달러(종가 15:30),,,,,,,원,,20180410,1066.4
731Y003,"3.1.1.3. 원화의 대미달러, 원화의 대위안/대엔 환율",0000003,원/달러(종가 15:30),,,,,,,원,,20180411,1066.3
731Y003,"3.1.1.3. 원화의 대미달러, 원화의 대위안/대엔 환율",0000003,원/달러(종가 15:30),,,,,,,원,,20180412,1069.5
731Y003,"3.1.1.3. 원화의 대미달러, 원화의 대위안/대엔 환율",0000003,원/달러(종가 15:30),,,,,,,원,,20180413,1069.5
731Y003,"3.1.1.3. 원화의 대미달러, 원화의 대위안/대엔 환율",0000003,원/달러(종가 15:30),,,,,,,원,,20180416,1074
731Y003,"3.1.1.3. 원화의 대미달러, 원화의 대위안/대엔 환율",0000003,원/달러(종가 15:30),,,,,,,원,,20180417,1067
731Y003,"3.1.1.3. 원화의 대미달러, 원화의 대위안/대엔 환율",0000003,원/달러(종가 15:30),,,,,,,원,,20180418,1068.7
731Y003,"3.1.1.3. 원화의 대미달러, 원화의 대위안/대엔 환율",0000003,원/달러(종가 15:30),,,,,,,원,,20180419,1061.5
731Y003,"3.1.1.3. 원화의 대미달러, 원화의 대위안/대엔 환율",0000003,원/달러(종가 15:30),,,,,,,원,,20180420,1067.3
731Y003,"3.1.1.3. 원화의 대미달러, 원화의 대위안/대엔 환율",0000003,원/달러(종가 15:30),,,,,,,원,,20180423,1069
731Y003,"3.1.1.3. 원화의 대미달러, 원화의 대위안/대엔 환율",0000003,원/달러(종가 15:30),,,,,,,원,,20180424,1076.8
731Y003,"3.1.1.3. 원화의 대미달러, 원화의 대위안/대엔 환율",0000003,원/달러(종가 15:30),,,,,,,원,,20180425,1080.6
731Y003,"3.1.1.3. 원화의 대미달러, 원화의 대위안/대엔 환율",0000003,원/달러(종가 15:30),,,,,,,원,,20180426,1080.9
731Y003,"3.1.1.3. 원화의 대미달러, 원화의 대위안/대엔 환율",0000003,원/달러(종가 15:30),,,,,,,원,,20180427,1076.6
731Y003,"3.1.1.3. 원화의 대미달러, 원화의 대위안/대엔 환율",0000003,원/달러(종가 15:30),,,,,,,원,,20180430,1068
731Y003,"3.1.1.3. 원화의 대미달러, 원화의 대위안/대엔 환율",0000003,원/달러(종가 15:30),,,,,,,원,,20180502,1076.1
731Y003,"3.1.1.3. 원화의 대미달러, 원화의 대위안/대엔 환율",0000003,원/달러(종가 15:30),,,,,,,원,,20180503,1076.3
731Y003,"3.1.1.3. 원화의 대미달러, 원화의 대위안/대엔 환율",0000003,원/달러(종가 15:30),,,,,,,원,,20180504,1077.2
731Y003,"3.1.1.3. 원화의 대미달러, 원화의 대위안/대엔 환율",0000003,원/달러(종가 15:30),,,,,,,원,,20180508,1076.5
731Y003,"3.1.1.3. 원화의 대미달러, 원화의 대위안/대엔 환율",0000003,원/달러(종가 15:30),,,,,,,원,,20180509,1080.9
731Y003,"3.1.1.3. 원화의 대미달러, 원화의 대위안/대엔 환율",0000003,원/달러(종가 15:30),,,,,,,원,,20180510,1073.1
731Y003,"3.1.1.3. 원화의 대미달러, 원화의 대위안/대엔 환율",0000003,원/달러(종가 15:30),,,,,,,원,,20180511,1069.3
731Y003,"3.1.1.3. 원화의 대미달러, 원화의 대위안/대엔 환율",0000003,원/달러(종가 15:30),,,,,,,원,,20180514,1068
731Y003,"3.1.1.3. 원화의 대미달러, 원화의 대위안/대엔 환율",0000003,원/달러(종가 15:30),,,,,,,원,,20180515,1073.8
731Y003,"3.1.1.3. 원화의 대미달러, 원화의 대위안/대엔 환율",0000003,원/달러(종가 15:30),,,,,,,원,,20180516,1077.6
731Y003,"3.1.1.3. 원화의 대미달러, 원화의 대위안/대엔 환율",0000003,원/달러(종가 15:30),,,,,,,원,,20180517,1081.2
731Y003,"3.1.1.3. 원화의 대미달러, 원화의 대위안/대엔 환율",0000003,원/달러(종가 15:30),,,,,,,원,,20180518,1077.6
731Y003,"3.1.1.3. 원화의 대미달러, 원화의 대위안/대엔 환율",0000003,원/달러(종가 15:30),,,,,,,원,,20180521,1085.4
731Y003,"3.1.1.3. 원화의 대미달러, 원화의 대위안/대엔 환율",0000003,원/달러(종가 15:30),,,,,,,원,,20180523,1080.7
731Y003,"3.1.1.3. 원화의 대미달러, 원화의 대위안/대엔 환율",0000003,원/달러(종가 15:30),,,,,,,원,,20180524,1079.6
731Y003,"3.1.1.3. 원화의 대미달러, 원화의 대위안/대엔 환율",0000003,원/달러(종가 15:30),,,,,,,원,,20180525,1078
731Y003,"3.1.1.3. 원화의 대미달러, 원화의 대위안/대엔 환율",0000003,원/달러(종가 15:30),,,,,,,원,,20180528,1074.2
731Y003,"3.1.1.3. 원화의 대미달러, 원화의 대위안/대엔 환율",0000003,원/달러(종가 15:30),,,,,,,원,,20180529,1076.8
731Y003,"3.1.1.3. 원화의 대미달러, 원화의 대위안/대엔 환율",0000003,원/달러(종가 15:30),,,,,,,원,,20180530,1080.9
731Y003,"3.1.1.3. 원화의 대미달러, 원화의 대위안/대엔 환율",0000003,원/달러(종가 15:30),,,,,,,원,,20180531,1077.7
731Y003,"3.1.1.3. 원화의 대미달러, 원화의 대위안/대엔 환율",0000003,원/달러(종가 15:30),,,,,,,원,,20180601,1075
731Y003,"3.1.1.3. 원화의 대미달러, 원화의 대위안/대엔 환율",0000003,원/달러(종가 15:30),,,,,,,원,,20180604,1071.9
731Y003,"3.1.1.3. 원화의 대미달러, 원화의 대위안/대엔 환율",0000003,원/달러(종가 15:30),,,,,,,원,,20180605,1070.7
731Y003,"3.1.1.3. 원화의 대미달러, 원화의 대위안/대엔 환율",0000003,원/달러(종가 15:30),,,,,,,원,,20180607,1069
731Y003,"3.1.1.3. 원화의 대미달러, 원화의 대위안/대엔 환율",0000003,원/달러(종가 15:30),,,,,,,원,,20180608,1075.9
731Y003,"3.1.1.3. 원화의 대미달러, 원화의 대위안/대엔 환율",0000003,원/달러(종가 15:30),,,,,,,원,,20180611,1075.2
731Y003,"3.1.1.3. 원화의 대미달러, 원화의 대위안/대엔 환율",0000003,원/달러(종가 15:30),,,,,,,원,,20180612,1077.2
731Y003,"3.1.1.3. 원화의 대미달러, 원화의 대위안/대엔 환율",0000003,원/달러(종가 15:30),,,,,,,원,,20180614,1083.1
731Y003,"3.1.1.3. 원화의 대미달러, 원화의 대위안/대엔 환율",0000003,원/달러(종가 15:30),,,,,,,원,,20180615,1097.7
731Y003,"3.1.1.3. 원화의 대미달러, 원화의 대위안/대엔 환율",0000003,원/달러(종가 15:30),,,,,,,원,,20180618,1104.8
731Y003,"3.1.1.3. 원화의 대미달러, 원화의 대위안/대엔 환율",0000003,원/달러(종가 15:30),,,,,,,원,,20180619,1109.1
731Y003,"3.1.1.3. 원화의 대미달러, 원화의 대위안/대엔 환율",0000003,원/달러(종가 15:30),,,,,,,원,,20180620,1105.1
