date,ticker,index_code,index_name,member_count
2018-02-28,005930,5300,KRX 300,305
2018-02-28,000660,5300,KRX 300,305
2018-02-28,068270,5300,KRX 300,305
2018-02-28,005380,5300,KRX 300,305
2018-02-28,005490,5300,KRX 300,305
2018-02-28,207940,5300,KRX 300,305
2018-02-28,051910,5300,KRX 300,305
2018-02-28,105560,5300,KRX 300,305
2018-02-28,035420,5300,KRX 300,305
2018-02-28,028260,5300,KRX 300,305
2018-02-28,032830,5300,KRX 300,305
2018-02-28,055550,5300,KRX 300,305
2018-02-28,012330,5300,KRX 300,305
2018-02-28,015760,5300,KRX 300,305
2018-02-28,034730,5300,KRX 300,305
2018-02-28,017670,5300,KRX 300,305
2018-02-28,096770,5300,KRX 300,305
2018-02-28,018260,5300,KRX 300,305
2018-02-28,051900,5300,KRX 300,305
2018-02-28,090430,5300,KRX 300,305
2018-02-28,091990,5300,KRX 300,305
2018-02-28,066570,5300,KRX 300,305
2018-02-28,011170,5300,KRX 300,305
2018-02-28,003550,5300,KRX 300,305
2018-02-28,086790,5300,KRX 300,305
2018-02-28,010950,5300,KRX 300,305
2018-02-28,000270,5300,KRX 300,305
2018-02-28,033780,5300,KRX 300,305
2018-02-28,000810,5300,KRX 300,305
2018-02-28,251270,5300,KRX 300,305
2018-02-28,006400,5300,KRX 300,305
2018-02-28,000030,5300,KRX 300,305
2018-02-28,034220,5300,KRX 300,305
2018-02-28,002790,5300,KRX 300,305
2018-02-28,035720,5300,KRX 300,305
2018-02-28,010130,5300,KRX 300,305
2018-02-28,024110,5300,KRX 300,305
2018-02-28,139480,5300,KRX 300,305
2018-02-28,036570,5300,KRX 300,305
2018-02-28,009540,5300,KRX 300,305
2018-02-28,030200,5300,KRX 300,305
2018-02-28,161390,5300,KRX 300,305
2018-02-28,267250,5300,KRX 300,305
2018-02-28,004020,5300,KRX 300,305
2018-02-28,215600,5300,KRX 300,305
2018-02-28,009150,5300,KRX 300,305
2018-02-28,018880,5300,KRX 300,305
2018-02-28,021240,5300,KRX 300,305
2018-02-28,006800,5300,KRX 300,305
2018-02-28,035250,5300,KRX 300,305
2018-02-28,078930,5300,KRX 300,305
2018-02-28,023530,5300,KRX 300,305
2018-02-28,088350,5300,KRX 300,305
2018-02-28,032640,5300,KRX 300,305
2018-02-28,009830,5300,KRX 300,305
2018-02-28,086280,5300,KRX 300,305
2018-02-28,008930,5300,KRX 300,305
2018-02-28,128940,5300,KRX 300,305
2018-02-28,097950,5300,KRX 300,305
2018-02-28,047810,5300,KRX 300,305
2018-02-28,001040,5300,KRX 300,305
2018-02-28,005830,5300,KRX 300,305
2018-02-28,004990,5300,KRX 300,305
2018-02-28,004800,5300,KRX 300,305
2018-02-28,079440,5300,KRX 300,305
2018-02-28,000720,5300,KRX 300,305
2018-02-28,036460,5300,KRX 300,305
2018-02-28,271560,5300,KRX 300,305
2018-02-28,071050,5300,KRX 300,305
2018-02-28,029780,5300,KRX 300,305
2018-02-28,005940,5300,KRX 300,305
2018-02-28,002380,5300,KRX 300,305
2018-02-28,010060,5300,KRX 300,305
2018-02-28,138930,5300,KRX 300,305
2018-02-28,012750,5300,KRX 300,305
2018-02-28,084990,5300,KRX 300,305
2018-02-28,001450,5300,KRX 300,305
2018-02-28,016360,5300,KRX 300,305
2018-02-28,009240,5300,KRX 300,305
2018-02-28,241560,5300,KRX 300,305
2018-02-28,010140,5300,KRX 300,305
2018-02-28,004170,5300,KRX 300,305
2018-02-28,130960,5300,KRX 300,305
2018-02-28,000880,5300,KRX 300,305
2018-02-28,086900,5300,KRX 300,305
2018-02-28,028670,5300,KRX 300,305
2018-02-28,008770,5300,KRX 300,305
2018-02-28,282330,5300,KRX 300,305
2018-02-28,003490,5300,KRX 300,305
2018-02-28,000120,5300,KRX 300,305
2018-02-28,011070,5300,KRX 300,305
2018-02-28,012630,5300,KRX 300,305
2018-02-28,008560,5300,KRX 300,305
2018-02-28,068760,5300,KRX 300,305
2018-02-28,011780,5300,KRX 300,305
2018-02-28,007070,5300,KRX 300,305
2018-02-28,016170,5300,KRX 300,305
2018-02-28,026960,5300,KRX 300,305
2018-02-28,003670,5300,KRX 300,305
2018-02-28,000210,5300,KRX 300,305
2018-02-28,000100,5300,KRX 300,305
