Strategy,Return (%),MDD (%),Sharpe
Regime-Aware V1,22.89035905557317,-33.37134830628945,0.85087056546794
Static MVO,93.9628683907886,-43.83233948602597,1.6049604965326185
Equal Weight,62.59996770715024,-33.13762928872739,1.525032071144483
EIIE 40ep,-12.100830510327821,-32.58010376635794,-0.05116374770761488
Cash,0.0,0.0,
