date,Breadth_20D,Momentum_20D,Dispersion_20D,Leader,Leader_Momentum_20D,Leadership_Gap_20D,NAVER_Momentum_20D,Semiconductor_Momentum_20D,Auto_Momentum_20D,Finance_Momentum_20D,NAVER_Relative_Strength,Semiconductor_Relative_Strength,Auto_Relative_Strength,Finance_Relative_Strength
2025-04-16,0.45,-0.0882749375372112,0.0190667892578808,105560.KS,-0.014778235093479308,0.04462366743381685,-0.11346153247638324,-0.10634332667930663,-0.10931370778675864,-0.014778235093479308,-0.02341350673333635,-0.016295300936259735,-0.01926568204371175,0.07526979064956758
2025-04-17,0.45,-0.0963300467379255,0.0185482282207988,105560.KS,-0.024301321926639807,0.054978343519745954,-0.1173077041320233,-0.1229731598176213,-0.10271591981451222,-0.024301321926639807,-0.019253451030339708,-0.024918906715937716,-0.004661666712828638,0.07375293117504378
2025-04-18,0.45,-0.0922607475025475,0.0184493546029269,105560.KS,0.013530010388383973,0.1003592897698069,-0.10501196770937993,-0.14316887371823628,-0.08682927938142293,0.013530010388383973,-0.012082170881601642,-0.05023907689045799,0.006100517446355355,0.10645980721616226
2025-04-21,0.4699999999999999,-0.0884248254092596,0.0174084349975399,105560.KS,0.012224881039797575,0.0910820431046121,-0.09420291734336195,-0.12193453738103749,-0.12065722845920301,0.012224881039797575,-0.00490204943839348,-0.03263366947606902,-0.03135636055423455,0.10152574894476604
2025-04-22,0.4599999999999999,-0.0884651662371139,0.017420526571863,105560.KS,0.018314929206580288,0.08482096016043184,-0.06650603095385155,-0.11961318766923462,-0.15636361792090914,0.018314929206580288,0.022250188047478386,-0.03085696866790469,-0.0676073989195792,0.10707114820791022
2025-04-23,0.47,-0.0801002865821487,0.0172866739387381,105560.KS,0.039119799744729455,0.09353154623938742,-0.054411746494657964,-0.1208249485307275,-0.14414423603550464,0.039119799744729455,0.025805469474719664,-0.04060773256134988,-0.06392702006612701,0.11933701571410708
2025-04-24,0.4600000000000001,-0.0638414723478764,0.0166152900340881,105560.KS,0.05486295404723851,0.08671333566447503,-0.03185038161723652,-0.11599906074197508,-0.11105882665442723,0.05486295404723851,0.03215849352443856,-0.0519901856003,-0.04704995151275215,0.11887182918891359
2025-04-25,0.49,-0.025749157529456,0.0169036925168447,105560.KS,0.10419325644777988,0.11035661338425684,-0.00616335693647696,-0.0747562550715879,-0.07902438774503151,0.10419325644777988,0.019938042738903917,-0.04865485539620702,-0.05292298806965064,0.13029465612316077
2025-04-28,0.51,0.0008882848564379,0.0163417844623319,105560.KS,0.0962025390024388,0.07264234451010121,0.023560194492337594,-0.040111693446017616,-0.04158207887678622,0.0962025390024388,0.023968740947146606,-0.0397031469912086,-0.04117353242197721,0.09661108545724781
2025-04-29,0.49,-0.0113682515798652,0.0162681410422371,105560.KS,0.10301519106015844,0.10403197257061236,-0.0010167815104539235,-0.06662690129386778,-0.029204421531887625,0.10301519106015844,0.01107518140352981,-0.054534938379884046,-0.017112458617903892,0.11510715397414217
2025-04-30,0.4899999999999999,-0.0086093264359859,0.0168320946118547,105560.KS,0.12049680647687833,0.0954456855292205,0.025051120947657823,-0.07960243522116339,-0.029037207906187912,0.12049680647687833,0.033589951132453534,-0.07106360503636769,-0.0204983777213922,0.12903563666167403
2025-05-02,0.5,0.0144444239049743,0.0173549755875931,105560.KS,0.20881983465309073,0.21486207956558745,-0.006042244912496719,-0.050742383735215946,-0.022703815922914483,0.20881983465309073,-0.021760046181946248,-0.06646018500466547,-0.03842161719236401,0.1931020333836412
2025-05-07,0.53,0.0415572963844326,0.0166022468616752,105560.KS,0.20463350449165274,0.1574326963339332,0.006572285764118613,0.010231452175775313,-0.021897783991791986,0.20463350449165274,-0.035381896358987384,-0.031722729947330684,-0.06385196611489799,0.16267932236854674
2025-05-08,0.54,0.1005234862953006,0.016621077731303,105560.KS,0.3070540722504851,0.15232105119554373,-0.016162621805993593,0.09052446924073887,0.04466767634688651,0.3070540722504851,-0.11948423486056474,-0.012797143813832276,-0.05865393670768464,0.20373245919591393
2025-05-09,0.5399999999999999,0.1153386236661322,0.0154988019025663,105560.KS,0.3176812899430759,0.1961473271839962,0.06347441954061539,0.07291656233497978,0.05970991386308033,0.3176812899430759,-0.05386533006273084,-0.04442318726836644,-0.057629835740265895,0.20034154033972965
2025-05-12,0.5700000000000001,0.1509252839755936,0.0160328307440941,105560.KS,0.31309556712225484,0.13127763651018065,0.0751837595253586,0.13430525731467435,0.10000001843663253,0.31309556712225484,-0.07619421241736032,-0.017072714628044577,-0.0513779535060864,0.1617175951795359
2025-05-13,0.55,0.0795429817372059,0.0153032023289505,105560.KS,0.2319153080127463,0.14840013139684127,0.02338233945655155,0.04619024907710545,0.05187171246655331,0.2319153080127463,-0.05652763216146087,-0.033719722540906966,-0.028038259151459105,0.15200533639473388
2025-05-14,0.6,0.1175373460025246,0.0150794235895614,105560.KS,0.2541244784197625,0.11474399804365798,0.04480877937846217,0.0896177002783054,0.1104225968745447,0.2541244784197625,-0.07290947166741386,-0.028100550767570634,-0.007295654171331337,0.13640622737388647
2025-05-15,0.5800000000000001,0.0968222294821143,0.0152362057936777,105560.KS,0.24194623869423326,0.12929336321838414,0.03557739781117886,0.06611296708388159,0.07585047435774017,0.24194623869423326,-0.06154261119500423,-0.031007041922301498,-0.021269534648442917,0.14482622968805017
2025-05-16,0.55,0.0805705133798777,0.0149631967931847,105560.KS,0.21169376688212083,0.07935719578938083,0.021207234118399754,0.06793506341489419,0.0363635661664119,0.21169376688212083,-0.05981970468094441,-0.013091875384449975,-0.04466337263293227,0.13066682808277666
