date,Regime-Aware V1,Static MVO,Equal Weight,EIIE 40ep,Cash
2026-01-05,103.22762861094293,105.86456637297647,103.22762861094293,100.87062240707981,100.0
2026-01-06,105.27814029927198,107.16589832797756,105.27814029927198,104.52566671835267,100.0
2026-01-07,108.07535944137344,111.09751929054727,108.07535944137344,101.92680770998538,100.0
2026-01-08,107.19283190173677,109.69328219789234,107.19283190173677,101.40249277000915,100.0
2026-01-09,109.28332898731131,110.91585888359819,109.28332898731131,102.45281086532962,100.0
2026-01-12,109.39765168039386,110.96813881992604,109.39765168039386,102.9769650632981,100.0
2026-01-13,112.50596384967207,112.04078713654914,112.50596384967207,106.12639206752384,100.0
2026-01-14,113.01894925879373,113.8889254724806,113.01894925879373,104.38439919515822,100.0
2026-01-15,113.55412749977289,116.53381333388471,113.55412749977289,100.18677549344481,100.0
2026-01-16,114.02727239372679,119.05055177454726,114.02727239372679,99.48178395675784,100.0
2026-01-19,117.08892199126166,122.68520569873071,117.08892199126166,96.83301012349492,100.0
2026-01-20,116.99472654210803,119.8361054554816,116.99472654210803,98.96362004353689,100.0
2026-01-21,121.13568694381928,125.11976930388349,121.13568694381928,97.01824427494388,100.0
2026-01-22,121.53709622096495,126.33810765291071,121.53709622096495,99.50528871929485,100.0
2026-01-23,123.21063219630628,125.76455196078086,123.21063219630628,106.76168669626698,100.0
2026-01-26,121.95308898147871,124.28750573237461,121.95308898147871,109.04212022924371,100.0
2026-01-27,127.21816709333085,129.86250200130428,127.21816709333085,112.18829777640357,100.0
2026-01-28,127.92413248189453,132.64508183411226,127.92413248189453,110.79963374289792,100.0
2026-01-29,130.9662577874798,133.7623579345152,130.9662577874798,114.10020745815083,100.0
2026-01-30,129.4154724504726,133.5712281943563,129.4154724504726,109.95786969931206,100.0
2026-02-02,123.45236407785158,125.11228761006956,123.45236407785158,107.53405018738545,100.0
2026-02-03,130.28142638471752,137.16069785702112,130.28142638471752,107.88081905600424,100.0
2026-02-04,131.17550760629746,138.48287394212548,131.17550760629746,106.3238249387177,100.0
