Transition,Days,Mean_Daily_Return,Median_Daily_Return,Volatility,Cumulative_Return
EIIE 40ep → Static MVO,1,-6.232053721323754,-6.232053721323754,,-6.23205372132375
Cash → EIIE 40ep,1,-4.576977063665377,-4.576977063665377,,-4.576977063665377
Equal Weight → EIIE 40ep,2,-3.5126805938725676,-3.5126805938725676,5.5029976611976705,-7.0533868544951694
EIIE 40ep → Equal Weight,2,-2.398721897968461,-2.398721897968461,4.467853523235311,-4.839713704024417
Static MVO → Equal Weight,4,-1.7299461174616924,-1.5952171012017193,1.3581994014631817,-6.769034470655133
Static MVO → Cash,2,0.0,0.0,0.0,0.0
Equal Weight → Cash,9,0.0,0.0,0.0,0.0
Cash → Equal Weight,9,0.03868831874555441,0.55815002062932,2.672237094564103,0.059841883397160345
Equal Weight → Static MVO,5,0.34294655286394277,2.76849151878224,4.875640697643278,1.2276026085739744
