date,Breadth_20D,Momentum_20D,Dispersion_20D
2025-04-16,0.45,-0.08827493753721127,0.01906678925788089
2025-04-17,0.45,-0.09633004673792556,0.018548228220798837
2025-04-18,0.45,-0.09226074750254754,0.018449354602926914
2025-04-21,0.4699999999999999,-0.08842482540925967,0.01740843499753999
2025-04-22,0.45999999999999996,-0.08846516623711398,0.017420526571863
2025-04-23,0.47000000000000003,-0.08010028658214874,0.017286673938738173
2025-04-24,0.4600000000000001,-0.0638414723478764,0.016615290034088143
2025-04-25,0.49000000000000005,-0.025749157529456057,0.016903692516844794
2025-04-28,0.51,0.000888284856437993,0.01634178446233198
2025-04-29,0.49000000000000005,-0.011368251579865207,0.016268141042237182
2025-04-30,0.48999999999999994,-0.008609326435985998,0.01683209461185472
2025-05-02,0.5,0.014444423904974357,0.017354975587593118
2025-05-07,0.53,0.04155729638443262,0.01660224686167526
2025-05-08,0.54,0.10052348629530061,0.016621077731303037
2025-05-09,0.5399999999999999,0.11533862366613223,0.015498801902566315
2025-05-12,0.5700000000000001,0.15092528397559368,0.016032830744094194
2025-05-13,0.55,0.07954298173720598,0.01530320232895056
2025-05-14,0.6,0.11753734600252463,0.015079423589561491
2025-05-15,0.5800000000000001,0.09682222948211439,0.01523620579367779
2025-05-16,0.55,0.08057051337987775,0.01496319679318478
2025-05-19,0.54,0.08392002211587157,0.014366907027865975
2025-05-20,0.54,0.08522463610221642,0.014605257660166692
2025-05-21,0.51,0.06736146376852492,0.014449648756803301
2025-05-22,0.4699999999999999,0.0452414270435173,0.014653685776496634
2025-05-23,0.47000000000000003,0.0469058283434185,0.014483087743923448
2025-05-26,0.48,0.046801185706030646,0.014129013545778274
2025-05-27,0.48,0.04517027354616343,0.014354030072622828
2025-05-28,0.49000000000000005,0.05080280208327226,0.014421614117556996
2025-05-29,0.51,0.07072258918190677,0.01472773832311539
2025-05-30,0.5000000000000001,0.05160556179719333,0.015261175852903597
2025-06-02,0.5,0.04302903757052712,0.015357545063850047
2025-06-04,0.52,0.06632906809664685,0.015481690880433358
2025-06-05,0.52,0.07801971408843444,0.015806351686096825
2025-06-09,0.56,0.12212699619197065,0.015293333331743434
2025-06-10,0.56,0.11967300312146456,0.01503028577985146
2025-06-11,0.56,0.10630855964663843,0.015272765002539912
2025-06-12,0.54,0.09531428438553391,0.015042575769679063
2025-06-13,0.51,0.07442130515550516,0.01491778211514369
2025-06-16,0.5399999999999999,0.11066586087908892,0.01573098764541643
2025-06-17,0.55,0.11240291118005175,0.015841022562852403
2025-06-18,0.5700000000000001,0.17024914742983488,0.019024698544702505
2025-06-19,0.56,0.17173969004645406,0.019428516579606085
2025-06-20,0.5900000000000001,0.2032022269959648,0.02039952767149566
2025-06-23,0.62,0.23211793965419725,0.0222528964024492
2025-06-24,0.65,0.2733646857827299,0.02278462234172301
2025-06-25,0.6300000000000001,0.2613909634285705,0.023997751580503858
2025-06-26,0.65,0.2452829815951263,0.025482277820181514
2025-06-27,0.63,0.21067000011568604,0.025596609463240542
2025-06-30,0.61,0.19523527889469605,0.02578683553049895
2025-07-01,0.61,0.21238780572638083,0.02569750392440339
2025-07-02,0.62,0.2168494835300243,0.025946731405572836
2025-07-03,0.62,0.2016933739512956,0.025355658715760083
2025-07-04,0.58,0.1540002691070943,0.02504065807586702
2025-07-07,0.5599999999999999,0.12287981794553593,0.02542325030050379
2025-07-08,0.5700000000000001,0.1498480017892121,0.026492020092977315
2025-07-09,0.53,0.1231964329316746,0.025628812789130796
2025-07-10,0.55,0.14889740281960617,0.026635138963912487
2025-07-11,0.55,0.1536604782725064,0.02700415015025568
2025-07-14,0.54,0.1414941655229005,0.026685669307853994
2025-07-15,0.5399999999999999,0.1372884665932006,0.0268796811498485
2025-07-16,0.53,0.08050025535687544,0.024173117222150986
2025-07-17,0.5399999999999999,0.06181425582964861,0.02568541964273714
2025-07-18,0.52,0.032086174207776264,0.024545480375704594
2025-07-21,0.52,0.030388530490314203,0.022856731628325456
2025-07-22,0.47000000000000003,-0.021599163871953264,0.021960321004455514
2025-07-23,0.48,-0.0158433813928881,0.02201050440691995
2025-07-24,0.4800000000000001,-0.0004973066799922599,0.020800619349066067
2025-07-25,0.48,0.013751841289969757,0.020734963011191057
2025-07-28,0.4800000000000001,0.007772017324430447,0.022296548083871152
2025-07-29,0.49000000000000005,0.004861750076775362,0.021656434252330006
2025-07-30,0.51,0.021530580683886136,0.02085285504347463
2025-07-31,0.49000000000000005,-0.0030025064780807575,0.021300951234784114
2025-08-01,0.49000000000000005,-0.019407450021712402,0.02144526922767064
2025-08-04,0.5,-0.008332657233029783,0.021034600187851044
2025-08-05,0.48999999999999994,-0.020994237289195805,0.02045940329016352
2025-08-06,0.5,-0.01093703358923348,0.020942697464374445
2025-08-07,0.51,-0.009894671501851526,0.02024301481336411
2025-08-08,0.5,-0.015870349607812195,0.020185699568803603
