market,records,newest_date,oldest_date,reaches_2018,raw_path
KOSPI,2200,2026-09-18,2017-09-26,True,C:\code\portfolio_optimization\data\raw\toss\market_flow\kospi_investor_trading.json.gz
KOSDAQ,2200,2026-09-18,2017-09-26,True,C:\code\portfolio_optimization\data\raw\toss\market_flow\kosdaq_investor_trading.json.gz
