ticker,http_status,toss_supported_now,name,market,listing_status
000030,200,True,,,
000060,200,True,,,
000070,200,True,삼양홀딩스,KOSPI,ACTIVE
000080,200,True,하이트진로,KOSPI,ACTIVE
000100,200,True,유한양행,KOSPI,ACTIVE
000120,200,True,CJ대한통운,KOSPI,ACTIVE
000150,200,True,두산,KOSPI,ACTIVE
000210,200,True,DL,KOSPI,ACTIVE
000240,200,True,한국앤컴퍼니,KOSPI,ACTIVE
000250,200,True,삼천당제약,KOSDAQ,ACTIVE
000270,200,True,기아,KOSPI,ACTIVE
000370,200,True,한화손해보험,KOSPI,ACTIVE
000400,200,True,롯데손해보험,KOSPI,ACTIVE
000500,200,True,가온전선,KOSPI,ACTIVE
000640,200,True,동아쏘시오홀딩스,KOSPI,ACTIVE
000660,200,True,SK하이닉스,KOSPI,ACTIVE
000670,200,True,영풍,KOSPI,ACTIVE
000720,200,True,현대건설,KOSPI,ACTIVE
000810,200,True,삼성화재,KOSPI,ACTIVE
000880,200,True,한화,KOSPI,ACTIVE
000990,200,True,DB하이텍,KOSPI,ACTIVE
001040,200,True,CJ,KOSPI,ACTIVE
001060,200,True,JW중외제약,KOSPI,ACTIVE
001120,200,True,LX인터내셔널,KOSPI,ACTIVE
001230,200,True,동국홀딩스,KOSPI,ACTIVE
001430,200,True,세아베스틸지주,KOSPI,ACTIVE
001440,200,True,대한전선,KOSPI,ACTIVE
001450,200,True,현대해상,KOSPI,ACTIVE
001520,200,True,동양,KOSPI,ACTIVE
001530,200,True,DI동일,KOSPI,ACTIVE
001570,200,True,금양,KOSPI,ACTIVE
001630,200,True,종근당홀딩스,KOSPI,ACTIVE
001680,200,True,대상,KOSPI,ACTIVE
001720,200,True,신영증권,KOSPI,ACTIVE
001740,200,True,SK네트웍스,KOSPI,ACTIVE
001800,200,True,오리온홀딩스,KOSPI,ACTIVE
001820,200,True,삼화콘덴서,KOSPI,ACTIVE
002020,200,True,코오롱,KOSPI,ACTIVE
002270,200,True,,,
002320,200,True,한진,KOSPI,ACTIVE
002350,200,True,넥센타이어,KOSPI,ACTIVE
002380,200,True,KCC,KOSPI,ACTIVE
002710,200,True,TCC스틸,KOSPI,ACTIVE
002790,200,True,아모레퍼시픽홀딩스,KOSPI,ACTIVE
003000,200,True,부광약품,KOSPI,ACTIVE
003030,200,True,세아제강지주,KOSPI,ACTIVE
003090,200,True,대웅,KOSPI,ACTIVE
003100,200,True,선광,KOSDAQ,ACTIVE
003230,200,True,삼양식품,KOSPI,ACTIVE
003240,200,True,태광산업,KOSPI,ACTIVE
003300,200,True,한일홀딩스,KOSPI,ACTIVE
003380,200,True,하림지주,KOSDAQ,ACTIVE
003410,200,True,,,
003470,200,True,유안타증권,KOSPI,ACTIVE
003490,200,True,대한항공,KOSPI,ACTIVE
003520,200,True,영진약품,KOSPI,ACTIVE
003530,200,True,한화투자증권,KOSPI,ACTIVE
003540,200,True,대신증권,KOSPI,ACTIVE
003550,200,True,LG,KOSPI,ACTIVE
003570,200,True,SNT다이내믹스,KOSPI,ACTIVE
003620,200,True,KG모빌리티,KOSPI,ACTIVE
003670,200,True,포스코퓨처엠,KOSPI,ACTIVE
003690,200,True,코리안리,KOSPI,ACTIVE
003850,200,True,보령,KOSPI,ACTIVE
004000,200,True,롯데정밀화학,KOSPI,ACTIVE
004020,200,True,현대제철,KOSPI,ACTIVE
004170,200,True,신세계,KOSPI,ACTIVE
004360,200,True,세방,KOSPI,ACTIVE
004370,200,True,농심,KOSPI,ACTIVE
004430,200,True,송원산업,KOSPI,ACTIVE
004490,200,True,세방전지,KOSPI,ACTIVE
004690,200,True,삼천리,KOSPI,ACTIVE
004800,200,True,효성,KOSPI,ACTIVE
004990,200,True,롯데지주,KOSPI,ACTIVE
005070,200,True,코스모신소재,KOSPI,ACTIVE
005180,200,True,빙그레,KOSPI,ACTIVE
005250,200,True,녹십자홀딩스,KOSPI,ACTIVE
005290,200,True,동진쎄미켐,KOSDAQ,ACTIVE
005300,200,True,롯데칠성,KOSPI,ACTIVE
005380,200,True,현대차,KOSPI,ACTIVE
005420,200,True,코스모화학,KOSPI,ACTIVE
005440,200,True,현대지에프홀딩스,KOSPI,ACTIVE
005490,200,True,POSCO홀딩스,KOSPI,ACTIVE
